,sentence,label,predicted_label
0,they feel like small little flashbacks when i try to think back.,0,0
1,by that i mean i want to educate myself more biochemistry.,1,1
2,but knowing that god is with me throughout my academic journey and this thing called life is comforting.,0,0
3,i hope to continue my long but heartfelt journey so that i can have a career and a life that i am proud of.,0,0
4,i naturally enjoy helping other people and helping people in need.,0,0
5,i really hope that this course will help me expand my understanding of physics by introducing new techniques like using calculus to solve problems.,0,1
6,"i am here as i will be graduating in just a few months and all my family members will be able to see me graduate, virtually or on stage.",0,1
7,"i am taking this science course because the first 2 weeks of organic chemistry, i had a few panic attacks and was extremely worried for how i will end up doing do in the course.",0,0
8,i am here because i want to further my education and expand my knowledge.,1,1
9,i'm here because i worked very hard in my first two years of college in order to change my major to something i liked more than what it was before.,0,0
10,i want to have more knowledge about everything.,1,1
11,"honestly, if it wasn't required i probably wouldn't be in this class.",0,0
12,i am a handson learner so this is the best learning experience for me.,0,0
13,i also am here because i like to work hard and push my mind to its limits.,0,0
14,this is my first semester in sf state coming from community college.,0,0
15,they work so hard to support me and my siblings to send us all to college.,0,0
16,i am here to do my best and learn as much as possible.,1,1
17,i am here because i am a biology major going into human genetics.,0,0
18,although i know i am barely scratching the surface of my full potential in life and wherever it is that i may end up is still unknown.,0,0
19,"it definitely is a difficult journey and comes with many challenges, but in the end, i will achieve something that is going to benefit me for the rest of my life.",0,0
20,i think my purpose is to travel to third world countries and help people who really need it.,0,0
21,"in my freshman year of college, i started researching and eventually interviewed a civil engineer and it reinforced in my brain that this is what i want to become, it fascinates me and i feel like i will be happy in this field of work for the rest of my life.",1,1
22,"i also want my life to have meaning, i want to give back to my community and to help with some of the problems like helping the homeless, and just trying to help out in any way possible.",1,0
23,i don't want to be stuck with a major and be unhappy.,0,0
24,all while not having enough at the end of the day to provide the life i want to my family and myself.,0,0
25,i care about my grades and i really enjoy the topics although its difficult.,0,0
26,after seeing them it made me really interested in physics or possibly majoring in physics but after starting class last month i realized that physics is actually really hard.,0,0
27,to be able to do so i need to first accomplish my goal of obtaining a bachelors in kinesiology which requires me to take physics.,0,1
28,the thing is ive always liked math and science but i never really had a clear path of what i wanted to do with it all.,0,0
29,"there is no reason or rhyme to why each of us are here, but it is our duty to discover what that means for us, individually.",0,0
30,"i often ask myself this question, ""why am i here?"" and i start to think about all i have done to be here, how far i have come.",0,0
31,"we can learn more about mechanics in physics and how it applies to everyday life, like in our machinery and other stuff.",0,0
32,for each one i always end up saying so that i dont miss class and can graduate.,0,0
33,im here because i need help to pass ochem. i would like help from my science community because its hard to get help and noticed when we are so many students.,0,0
34,in order to be able to invent anything i know i need to understand the physics behind it.,0,0
35,i am at sfsu because i wanted to run cross country in college.,0,0
36,"this class can teach you how to work with others, which i think is a critical skill to learn.",0,0
37,i figured that it would help me really understand the base concepts of physics.,0,0
38,i am in sci230 because i needed it to reach full time student status.,0,0
39,"this course along with other are actually really important for me i take, this class is a designated class for my specific major.",0,0
40,i want to be able to provide for my family and especially to give back to my parents.,0,1
41,"for example, while a systems net force is not equal to zero, it occurs acceleration by the newton's 2nd law.",0,0
42,"i am not just here but i am present, to learn what i can to help the world in my own way through science, through justice, and from the heart.",0,0
43,i wouldnt bother to try to explain because ive accepted one true fact that we all can live with: im here right now because i have to be.why am i here right now?,0,0
44,i am here because i want to do good in school and get a job in computer science.,1,1
45,"i remember in class we did the ekg lab and i think this is one of the closest things to the career i want to pursue, i work as a medical assistant now and i do ekg for patients almost every time i have a shift and getting to understand it from a different perspective, a physics perspective is really interesting because i'm always focused on biology and this part of science but i never expand my knowledge outside my box or my ""comfort zone"" because in the past i didn't do very good in physics classes or they weren't my favorite classes i have a bad memory with these classes so that is why i moved away from trying to understand it.",1,1
46,i am here because i believe this class with give me help and understanding to succeed and move on to other chemistry classes.,0,0
47,i took physics when i was in my freshman year of high school which was almost five years ago.,0,0
48,"i am here to make sure that i graduate and make my family proud, i am also the first generation of my family to attend college.",0,1
49,the concepts that are taught in physics are harder for me to comprehend than the other science courses.,0,0
50,i'm here cause my parents brought me here.,0,0
51,"i am an international student from china, and my parents send me here because they want me to have better education resources.",0,0
52,"this is my third year here at sfsu, and i am starting to take more and more major classes as well as classes (like this one) for prerequisites for doctorate of physical therapy programs.",1,1
53,my goal is to work hard and grasp an understanding of the topics taught so that i have a good foundation for when i take the next physics course needed.,0,0
54,so i hope this class will help me succeed in this semester and in my biology major.,0,0
55,my primary goal is to understand how the universe works and function.,0,0
56,i need because it's required or else i wouldn't be in this particular class.,0,0
57,i want to be successful and happy in my career as a marine biologist and i want to make my parents proud.,1,1
