sentence,label,phrase
why am i here?,0,"['to better one self and be able to succeed later on in life.', ""I always wanted to be able to help people and I always had an intrest in medicine and the human body. I guess I here so I'll be able to help people in the future.""]"
well why does anyone pursue a higher education?,0,"['to better one self and be able to succeed later on in life.', ""I always wanted to be able to help people and I always had an intrest in medicine and the human body. I guess I here so I'll be able to help people in the future.""]"
to better one self and be able to succeed later on in life.,0,"['to better one self and be able to succeed later on in life.', ""I always wanted to be able to help people and I always had an intrest in medicine and the human body. I guess I here so I'll be able to help people in the future.""]"
"ever since i was little i wanted to be a doctor, so much so that i can't see myself doing anything else.",0,"['to better one self and be able to succeed later on in life.', ""I always wanted to be able to help people and I always had an intrest in medicine and the human body. I guess I here so I'll be able to help people in the future.""]"
i always wanted to be able to help people and i always had an intrest in medicine and the human body.,0,"['to better one self and be able to succeed later on in life.', ""I always wanted to be able to help people and I always had an intrest in medicine and the human body. I guess I here so I'll be able to help people in the future.""]"
i guess i here so i'll be able to help people in the future.,0,"['to better one self and be able to succeed later on in life.', ""I always wanted to be able to help people and I always had an intrest in medicine and the human body. I guess I here so I'll be able to help people in the future.""]"
i'm here because my parents came here during the vietnam war for a better life.,0,"['I am also here because the formula to being successful is getting knowledge to do better, be better and to reinvent.']"
i mean my mother wouldn't have been on a boat for 2 weeks for me to not work hard for a better life.,0,"['I am also here because the formula to being successful is getting knowledge to do better, be better and to reinvent.']"
she made a lot of sacrifices for me to be here.,0,"['I am also here because the formula to being successful is getting knowledge to do better, be better and to reinvent.']"
i guess you can say the same for my fathers sacrifices i am to be here as well.,0,"['I am also here because the formula to being successful is getting knowledge to do better, be better and to reinvent.']"
"i am also here because the formula to being successful is getting knowledge to do better, be better and to reinvent.",0,"['I am also here because the formula to being successful is getting knowledge to do better, be better and to reinvent.']"
i am here because i saw my mother struggle to feed my 7 siblings i. i'm here because i don't want to be poor.,0,"['I am also here because the formula to being successful is getting knowledge to do better, be better and to reinvent.']"
"i am here because i want to better myself my family, not only financially but in health.",0,"['I am here because I want to better myself my family, not only financially but in health.']"
being in this instituion will pave a way for me to become a professional.,0,"['I am here because I want to better myself my family, not only financially but in health.']"
