sentence,label,phrase
that is my dream and hopefully my purpose.,0,['Physically i am in this class I am here because I want to graduate from college and I need these credits plus I like learning about astronomy. I want to travel the world and learn about different cultures. That is my dream and hopefully my purpose. Maybe I am here to become a famous activist for human rights or maybe Im going to find something else like criminal justice and follow that path to become a lawyer. Whatever it is that I end up doing I hope that it is something that makes me happy.']
im here because i want a better future for my family and i. i am here because i would be the first in my family to have attended and hope to graduate from college.,0,"['Im here because I want a better future for my family and I. I am here because I would be the first in my family to have attended and hope to graduate from college. I am here because I want a better future myself and for my future generations. I want to live the life I deserve and I dont want my future generations to go through what I went through. Overall, I want to make an impact in my community and be seen as a role model and I am here for a better future for my family and I.']"
one thing that routed me to that career field was being involved with sports my whole life up until high school.,0,"[""Also, I am here for myself knowing the life I want to live and that I'm going to chase my dreams staying dedicated. Additionally, I am here because I want to major in Kinesiology and became a Sports Medicine PhysicianTherapist or an Athletic Trainer for a Professional Sports Team.""]"
"specifically, i want to see how magnetic fields impact electricity.",1,"['Im here because I want to learn more about the properties of electricity and magnetism. Specifically, I want to see how magnetic fields impact electricity.']"
i would probably start to relate everything i see with the concepts and formulas i have learned and started to explain to my friends.,0,['It would be wonderful if I can learn to love physics after taking his course.']
i am looking forward to applying the knowledge i learn here in my future courses.,0,"['I am here because I believe that by getting my degree I will be able to better my life and my personal growth by starting a career in civil engineering.', 'I am looking forward to applying the knowledge I learn here in my future courses.']"
i just needed a break from where i grew up.,0,['I have been around my home for almost two decades and I wanted to reinvent myself.']
this is my second semester of physics and do i like it?,0,"['However, I am here because I have goals and I want to pursue a career in the medical field hopefully leading my way to becoming a neonatal doctor.']"
"more specifically, i aspire to be a physician assistant and hope to get into a graduate program for that once i graduate from sf state.",1,"['More specifically, I aspire to be a Physician Assistant and hope to get into a graduate program for that once I graduate from SF State. If that doesnt work out, being a Biology major allows for a wide variety of career options such as a different career in the medical field, I could go into research, another option would be a CSI (crime scene investigator), dentistry, veterinary studies, etc. Not only does my major allow me a path to my dream job but also opens several pathways to many other backup plans, either way, this major will hopefully help me succeed in life.']"
i am here because i care about my education and supporting my family back home.,0,"['My goal is to peruse pediatric psychiatrist as a private practice. I would hope to learn about mental illness and destigmatize those who are victims of stereotypes. I hope that being here, studying hard, going to school, will allow my to someday provide better care for my mother and father as well as others who struggle with mental illness.']"
chemistry so far is going pretty well i think.,0,['I am here mainly to help myself with my chemistry class and to better master the material. I am hoping that this class will also take some stress off of the studying aspect of Chem 180 and will allow me to study better by having perfect opportunities to discuss the material with the instructors and with my classmates.']
"going to college, especially one like san francisco state university, has really allowed me to expand my horizons and become an even more open minded and curious person.",1,['The reason Im majoring in Biochemistry and seeking a higher education is in hopes of attending medical school. Besides hoping to one day become a doctor I also really enjoy learning.']
"secondly, i am in college because my mother wasn't and experienced many difficulties because of that.",0,"[""I am here to do what she didn't and prove to my family and friends I can go through a higher education.""]"
it made me more confident in myself to choose what is best for me.,0,['Now I want to continue my path to getting into medical school and learning more along the way.']
im here because i want to pursue a career in environmental science .,1,['Im here because I want to pursue a career in environmental science .']
this class is a required course i have to take in order to graduate within my major so that is why i am taking it.,0,"['My career goal is to become a cosmeticplastic surgeon so I am unsure about how I will integrate physics with that. Overall, I am excited to learn some new things in this class and I will work hard to make sure that I understand what is being taught.']"
"second on my list is italy, once i get my hands on pasta from italy i can die a happy woman.",0,['I would like to get my masters in psychology and start my own practice.']
jose castillo reflection honestly im only here because is part of my requirement for my major.,0,['Also part of it is for my mom Im only here because im just trying to make her proud and also make myself proud that I can get a degree. Hopefully im able to graduated in 4 years just because I do want to work for my master degree in the future I feel like its going to benefit me and especially for my mom and family.']
"overall, i am here to learn more about how the concepts of physics coincide and work with one another.",1,"['I am hoping to learn some new concepts and apply them in this physics lab course.', 'Overall, I am here to learn more about how the concepts of physics coincide and work with one another. For my major, I am mainly applying it to the movement and physiology of the body, how it move and perform exercises correctly and without hurting ones self.']"
if i do not do this then i will not be in upper division standing which will then prevent me from entering into my major.,0,['I am here so I can graduate and make my parents proud and never have to listen to them nag at me. Ultimately I am here so I can have a better future.']
i am here because i'm majoring in computer science and this is a prerequisite to the other classes i'm going to have to take later on.,0,"[""I believe i'm here to better my understanding of physics so it will benefit me in the career I am studying for. My purpose would be to become a video game programmer which requires me to understand physics.""]"
"i hope to reach a position in which i can inspire and prove to all of the ""immigrants"" in the usa that achieving and surpassing struggle is possible.",0,"['I am here because I want to better myself my family, not only financially but in health.']"
"i have struggled with understanding physics since high school, yet i enter every class with the mindset that maybe today it will click.",0,['I hope to use this skill for my current classes and see how this impacts my ability to learn and understand.']
"i know my purpose for being here, and hopefully i fulfill it while i am.",0,"['I am a student in university for a reason, that reason being to be able to succeed in my future career and lifestyle. I will definitely fulfill my schooling requirements so hopefully I can be the best I can be in my career. I want to be in the medical field for animal care, and that is also for a good reason.']"
i am here to do my best and learn as much as possible.,1,['I am here to do my best and learn as much as possible. It is my 5th year here and hopefully by the end of 2021 I will have completed all my required classes for civil engineering.']
now with that out of the way i will talk about why i am literally here right now.,0,"['I am here studying Mechanical Engineering to obtain the skills and knowledge required to pursue a career in Aeronautical engineering.', ""I still hope to obtain a pilot's license for recreational use but until then I will study to get a step closer to my goals.""]"
"when i graduated with my high school and college diploma, it has really gave me a boost in my education because this helps me get a step closer to my goal which is becoming a pediatrician.",1,"['When I graduated with my high school and college diploma, it has really gave me a boost in my education because this helps me get a step closer to my goal which is becoming a pediatrician. My purpose is to better my education and get the knowledge that I need to help me get through life. I am also here to learn about physics. I am here because I have always wanted to see what physics was about.']"
it's also something very motivating for me to be a first generation in college and the first to be majoring as an engineer so that continues to push me to continue being in the stem field despite how challenging this field is.,1,"[""The reason why I want to go into the STEM field is because it's a place where I can potentially help improve the world through the engineering aspects. So for me, that would allow me to be part of the workforce and be able to find a job in this area. I want to be part of the new young generation of engineers going into the industry with new ideas and better technology usage to improve how fast a project can be completed.""]"
i wish more people could see that.,0,"['As I go through college, and think about what Im passionate about or what I want to do later in life, my answer always leads me to being an educator.']"
"i am here because i want to learn and gather experiences so that when i need them someday, i am able to apply it in life and help make me a wiser and better version of myself.",1,"['I am here because I want to learn and gather experiences so that when I need them someday, I am able to apply it in life and help make me a wiser and better version of myself. Now that I am here, I am one step closer to my dream to become a successful Physical Therapist in the future.']"
working at my hospital shows me the different types of doctors as well as far as personality and work load preference.,0,['Based on what I have seen and experienced so far I am here also because I believe I can become a doctor that brings people who are excited about working with animals together in a fun yet professional work space.']
optometric has so many physics calculation to determine patient eye number so what i need is to improve my skill from physics base to achieve my goal.,0,['I need is to improve my skill from physics base to achieve my goal.']
"i dont have any prior experience with physics classes, but i am looking forward to learning and strengthening my knowledge on this subject.",0,['I knew I wanted to go to college since I was in kindergartenwhen I realized that my dream career was to become a veterinarian.']
"specifically speakers, im here today in this sci class because i need help with calculating valence electrons,atomic orbitals, and electron configuration.",0,['Im at sfsu because I am pursuing a bachelors of science degree in biochemistry. I want to obtain this degree to then attend a medical school and declare my field of specialty in paininternal medicine. I want to become an anesthesiologist in the near future.']
i think my purpose is to help others just because i always tend to do that.,0,['I will graduate from SFSU with a bachelors in biology with a concertation in physiology. I know I want to help sick children; my goal is to attend medical school and become a successful pediatrician.']
"so, i chose to go back to school.",0,['Planning to become a physical therapist requires a degree or some form of education']
i am here in this physics lab so i can fulfill a requirement for my major in biology and move one step closer to getting a degree in biology.,0,"[""I want to get a degree in Biology emphasizing in Marine Biology. I am here in this class also to learn more about Physics because to be honest I feel like I know very little about Physics. I hopefully will figure out more of my purpose at SF State the longer I'm here.""]"
"we are all here for a purpose, and as of right now my purpose is obtaining the best possible grade in this class and learning as much as i can.",0,['I am here to gather as much knowledge as I can from this class so that I can use it in my future career. I am here for a purpose and I am here to learn. I am at the university to get a quality education so that I can accomplish my goal of becoming a Dermatologist and Plastic Surgeon.']
thank you for reading.,0,"[""I'm hoping its usefulness will become more apparent as I continue with my undergraduate studies"", 'Additionally, I hope for a productive school year, and I hope to be mentally and physically healthy as I study and go to work.']"
i want to help people also live their best lives.,0,['I guess I want my life to be exciting and fun. Some of my goals are to become a brain surgeon or a researcher. I want to help people also live their best lives. I want to find cures to these diseases or at least prevent them.']
i dont think i like astronomy as much really any science except for biology and chemistry as they focus more on our bodiesare relevant to the human bodiesexperience.,0,['Taking this class will help me finish my BA which will get me to a masters program and eventually phd which will hopefully be in double major of psychology and child development and minors in Jewish studies and Cwl.']
i'm here at sfsu because i want to do something i enjoy doing and make it into a career.,1,"[""I'm here at SFSU because I want to do something I enjoy doing and make it into a career."", 'To learn and grow from the things that spark my interest.']"
i have always wanted to pursue some sort of career in either botany or astronomy.,1,"['Some day when I graduate I hope to work at NASA, charting stars and galaxies and discovering the secrets of the universe.']"
"but for san francisco state as a whole, the reason that i applied to attend was that i needed something different from the consistencies and the same things that i had left in san jose.",0,"['I think firstly that I had a good time learning physics in high school, so I already had an interest in this so I can also complete my requirements to graduate. I am here for my growth and learning so I can be better than I was before this class.']"
"in addition, i have always enjoyed watching shows on animal planet such as dog whisper, pitbulls parolees, animal cops, pit boss and aspca. these shows further made me realize that i wanted to pursue a career that involved helping animals of any size.",1,['The reason for why I am at San Francisco State University is to reach my goal of working in a wildlife rehabilitation or conservation center. These shows further made me realize that I wanted to pursue a career that involved helping animals of any size. My dream goal is to have an animal sanctuary or rehabilitation center of my own.']
this is a new adventure for me where i will make mistakes and learn from them.,0,['I am here to learn myself.']
the reason im in this class is to fill my requirement.,0,"['I just hope ill get a good grade in this class, i know i will because Ill be working hard trying my best to pass this class.']"
as years pass i tried to figure out a career path i want to follow and be successful financially as well enjoying it too.,0,"['So, I want to be a software engineer for a video company one day, enjoying my favorite hobby and learning at the same time.']"
"i grew up obsessed with comic book movies, and seeing real world applications of the technology in these films is also very rewarding and interesting to know that the concepts and studying in my classes can be combined and reworked into something that can truly benefit society.",0,"['I am still dreading the difficulty of my upcoming classes, but I am ready for the challenge and hope to come out on the other side much smarter and ready to apply this knowledge for good.']"
