sentence,label,phrase,keyword_count,sentence_length
reflection 1: why am i here?,0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']",0,28
"why am i here? is quite a general question that can be taken in many directions, but i assume that it is intended for us to make our connections to this class.",0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']",0,159
"for me personally, i am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study.",0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']",2,142
"more specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.",1,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']",1,209
sports have always been a big part of my life ever since i was in elementary school and i have played in a couple basketball leagues growing up.,0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']",1,144
"this fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology.",0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']",0,126
"particularly, it was all the injuries that i have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.",1,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']",0,226
i am here because my future goal is to heal people.,0,"['I am here because my future goal is to heal people. I would like to become a physical therapist, specifically for athletes.']",0,51
i am taking this course as a prereq for the kin major.,0,"['I am here because my future goal is to heal people. I would like to become a physical therapist, specifically for athletes.']",1,54
"i would like to become a physical therapist, specifically for athletes.",1,"['I am here because my future goal is to heal people. I would like to become a physical therapist, specifically for athletes.']",0,71
i am very passionate about sports and being in that atmosphere will keep me motivated and able to understand the physical and mental struggles that athletes go through.,0,"['I am here because my future goal is to heal people. I would like to become a physical therapist, specifically for athletes.']",0,168
karla martinez why i am here?,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],0,29
one of the main reasons why i am here is because i want to help my family.,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],0,74
i want to have the opportunity to have a stable job and be able to support my family economically.,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],0,98
i am also here because i want to have the opportunity to finish college something that my parents were not able to do it because they didnt have the money or the support.,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],0,170
i want to be the first one from my family to graduate from college.,1,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],1,67
i am also here because i want to be a nurse.,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],0,44
i always wanted to study medicine and help people.,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],0,50
become a nurse has always been my dream job and i hope to make it real even though sometimes is hard to keep going but not impossible.,1,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],0,134
jose castillo reflection honestly im only here because is part of my requirement for my major.,0,['Also part of it is for my mom Im only here because im just trying to make her proud and also make myself proud that I can get a degree. Hopefully im able to graduated in 4 years just because I do want to work for my master degree in the future I feel like its going to benefit me and especially for my mom and family.'],2,94
also part of it is for my mom im only here because im just trying to make her proud and also make myself proud that i can get a degree.,1,['Also part of it is for my mom Im only here because im just trying to make her proud and also make myself proud that I can get a degree. Hopefully im able to graduated in 4 years just because I do want to work for my master degree in the future I feel like its going to benefit me and especially for my mom and family.'],1,135
not going to lie sometimes i dont feel like i can just because most of the classes are hard and especially doing every class online makes it harder for me.,0,['Also part of it is for my mom Im only here because im just trying to make her proud and also make myself proud that I can get a degree. Hopefully im able to graduated in 4 years just because I do want to work for my master degree in the future I feel like its going to benefit me and especially for my mom and family.'],0,155
honestly dont even know how long im going to be here it really depends how much effort in time i actually put in all my classes.,0,['Also part of it is for my mom Im only here because im just trying to make her proud and also make myself proud that I can get a degree. Hopefully im able to graduated in 4 years just because I do want to work for my master degree in the future I feel like its going to benefit me and especially for my mom and family.'],0,128
hopefully im able to graduated in 4 years just because i do want to work for my master degree in the future i feel like its going to benefit me and especially for my mom and family.,1,['Also part of it is for my mom Im only here because im just trying to make her proud and also make myself proud that I can get a degree. Hopefully im able to graduated in 4 years just because I do want to work for my master degree in the future I feel like its going to benefit me and especially for my mom and family.'],3,181
overall taking this class and so many other labs its not bad i mean i dont usually do good but it does help you learned new things that you havent before and thats something im trying to expend my mindset and what i can get out of in order to help me in the long run.,0,['Also part of it is for my mom Im only here because im just trying to make her proud and also make myself proud that I can get a degree. Hopefully im able to graduated in 4 years just because I do want to work for my master degree in the future I feel like its going to benefit me and especially for my mom and family.'],0,267
i am here because i am a prekinesiology major and it is a prerequisite for my major.,0,"['I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",2,84
