sentence,label
i want to be able to work together with my peers during lab so that i can learn from them and develop my skills as an engineer.,0
"being biracial has been a huge part of my identity and experience of who i am growing up and so learning that sfsu was so hyperaware (example, i took a mixed race identity class) was a huge reason why i love sfsu. also",0
i am here to help the environment!,0
i want to one day be able to save hundreds and even thousands of lives and especially travel to third world countries and help out kids who do not have the resources to medicine.,1
i want to expand my growth because i would like to contribute to the world as my career and help people and the environment in ways such as art and communication.,1
i am here because i am a first generation student and i want to make my parents proud.,1
earlier in life i couldn't decide what i wanted to major in but recently computer majors have expanded beyond computer science which was the catch all of the computer degree.,0
"i believe my purpose in life is to help people, and this is how i want to help people.",1
i am here in this physics lab so i can fulfill a requirement for my major in biology and move one step closer to getting a degree in biology.,0
i am here for my growth and learning so i can be better than i was before this class.,1
