sentence,label,phrase
holly enrile physics lab reection1 sept.,0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. I will be rst generation university graduate. I am also a mother of 2 who I want to set a good example for and that hard work does and will pay o.']"
"10, 2020 i am here because it is a requirement for my major and i think physics is a really cool subject to learn.",0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. I will be rst generation university graduate. I am also a mother of 2 who I want to set a good example for and that hard work does and will pay o.']"
to have knowledge about the way things work and relate to each other is a powerful skill.,0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. I will be rst generation university graduate. I am also a mother of 2 who I want to set a good example for and that hard work does and will pay o.']"
"in general, im in school because i want to make my parents proud and break the generational cycle.",0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. I will be rst generation university graduate. I am also a mother of 2 who I want to set a good example for and that hard work does and will pay o.']"
i will be rst generation university graduate.,0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. I will be rst generation university graduate. I am also a mother of 2 who I want to set a good example for and that hard work does and will pay o.']"
i am also a mother of 2 who i want to set a good example for and that hard work does and will pay o.,0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. I will be rst generation university graduate. I am also a mother of 2 who I want to set a good example for and that hard work does and will pay o.']"
"there will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.",0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. I will be rst generation university graduate. I am also a mother of 2 who I want to set a good example for and that hard work does and will pay o.']"
karla martinez why i am here?,0,['One of the main reasons why I am here is because I want to help my family. I want to have the opportunity to have a stable job and be able to support my family economically. I am also here because I want to have the opportunity to finish college something that my parents were not able to do it because they didnt have the money or the support. I want to be the first one from my family to graduate from college.']
one of the main reasons why i am here is because i want to help my family.,0,['One of the main reasons why I am here is because I want to help my family. I want to have the opportunity to have a stable job and be able to support my family economically. I am also here because I want to have the opportunity to finish college something that my parents were not able to do it because they didnt have the money or the support. I want to be the first one from my family to graduate from college.']
i want to have the opportunity to have a stable job and be able to support my family economically.,1,['One of the main reasons why I am here is because I want to help my family. I want to have the opportunity to have a stable job and be able to support my family economically. I am also here because I want to have the opportunity to finish college something that my parents were not able to do it because they didnt have the money or the support. I want to be the first one from my family to graduate from college.']
i am also here because i want to have the opportunity to finish college something that my parents were not able to do it because they didnt have the money or the support.,1,['One of the main reasons why I am here is because I want to help my family. I want to have the opportunity to have a stable job and be able to support my family economically. I am also here because I want to have the opportunity to finish college something that my parents were not able to do it because they didnt have the money or the support. I want to be the first one from my family to graduate from college.']
i want to be the first one from my family to graduate from college.,1,['One of the main reasons why I am here is because I want to help my family. I want to have the opportunity to have a stable job and be able to support my family economically. I am also here because I want to have the opportunity to finish college something that my parents were not able to do it because they didnt have the money or the support. I want to be the first one from my family to graduate from college.']
