sentence,label,phrase,updated_label,reason
every time i have to spend more effort and time to understand the physics concept and finish my homework.,0.0,"['I am an International student from China, and my parents send me here because they want me to have better education resources.']",0.0,
there is a big need for people of color in the medical field and i want to start to make a difference.,0.0,"[""I am also here to advance my education and make my family proud. I'll be the first in my family to graduate from college and to attend college in general but I want to make them proud.""]",0.0,
i enjoy the process of breaking down problems to a point that they can be solved.,0.0,['I decided to follow my parents lead.'],0.0,
"furthermore, i am here learning physics because it is not only a requirement for my major, but because i am excited to learn the subject itself and how it applies to our everyday lives.",0.0,['I am here because I want to honor the sacrifices that both my parents had to take in order for me to get an education here in the United States.'],0.0,
this class was a requirement in my major which is why i am here taking it.,0.0,['I wouldnt be here without my parents who sacrificed a lot for me to be here. I am part of the first generation in my family to go to college and hopefully get a degree and I am trying to make my parents proud but also learn things for myself and get a career that will give me financial stability and also a career where I will help tons of people.'],0.0,
"every day, i am encouraged by my family and friends to continue on and remind myself of that i am very close to the finishing line.",1.0,"['Every day, I am encouraged by my family and friends to continue on and remind myself of that I am very close to the finishing line']",1.0,
"i took the jc route; college tuition was too expensive, and it was just economically better for me to go to a junior college.",0.0,['my parents came to this country to give their future children a better life than the one they had in Mexico.'],0.0,
"this semester i feel lucky that im happy with all of my professors, i remember ive had some notsopleasant experiences with some.",0.0,"['I almost attended a city college after graduating high school but my mom preferred me to attend school elsewhere. Im honestly glad she did, I feel as though Ive gained more confidence and Ive found that I like being independent']",0.0,
i decided to come to sf state because my sister went here about 8 years ago and she told me what a great school it is.,1.0,['I decided to come to SF State because my sister went here about 8 years ago and she told me what a great school it is.'],0.0,Removed familial label because the sentence is purely aspirational or social without mention of family.
"i have wilson at quarterback and at wr i have adams, jones and cooks.",0.0,['I am here at SFSU because I always had family here so I have always had a connection to the city.'],0.0,
being there really pushed me and helped me realize how fortunate i am with the education opportunities that i have.,0.0,['I made a choice to go to college because I see how difficult my parents and grandparents work without a college education.'],0.0,
i am also attending school because there is an expectation of me to go since i am a first generation.,1.0,['I am also attending school because there is an expectation of me to go since I am a first generation. I am here to help make a better life for my parents.'],0.0,Removed familial label because the sentence is purely aspirational or social without mention of family.
a future where i don't have to struggle at the end of the month to pay bills or provide for my family.,1.0,"[""pay for a house for my mother so that she doesn't have to work another day in her life""]",1.0,
my dad is 70 and he's still doing hard labor to earn a living.,0.0,"['', ""I'm here cause my parents brought me here. Which I want to eventually repay them for everything they've done for me. They want me to have a better life than they did in which I appreciate them so much. This is why I want to be able to get a good stable job to be able to support my family since they're getting old."", '']",1.0,Added familial label because family is mentioned in the sentence.
the reason why i am here can be because of many reasons.,0.0,"[""I want to be a better role model for my younger siblings because I know they'll follow. I want to be able to show my loved ones that anything is possible with hard work.""]",0.0,
in science i really enjoy learning about that body and health of science because i feel in life your wellbeing is the most important thing to worry about.,0.0,"['I am here before of my family; I want to make them proud showing them my accomplishments and being the best, I can.']",0.0,
shes someone who highly supports me getting a college education and she is one of the reasons i continue to push myself even when things get difficult.,0.0,"['In conclusion, that is why Im here, to work with sonography and to make my family and even myself proud.']",0.0,
i also want them to know that chemistry isnt that scary or bad of a subject.,0.0,"[""I'm here because my family wanted me to have a better life than they did back in china.""]",0.0,
"i am here to also show to my family, friends, and other latinx women that it is possible to do this and to pursue a career in a stem major.",1.0,"['', 'My parents have sacrificed so much to get me to where I am today. Therefore, my education and gradutating college, is not only my goal and dream, but it is also theirs.', '']",1.0,
