,sentence,phrase,label,comments,review,predicted_label
426,i am here hopefully to gain extra practice to make me more confident in my work and to prepare me for exams.,"['I am in this SCI class to get support for my PHYS 111 course. I have never taken a physics course', 'I am here hopefully to gain extra practice to make me more confident in my work and to prepare me for exams.']",1,Reviewed; no issues found.,True,0
5654,i don't think i'll ever use physics in my field but i have always thought it was rad.,"[""So I am here in this class because it is a requirement for my major. My major is microbiology and to get my degree in that, I need to take this class. I also hope that once getting done with school for micro and working for a bit I'll probably go back to school to either get a pHD in micro or go to medical school.""]",0,Reviewed; no issues found.,True,0
5701,"i'm somewhat confident in my skills in mathematics currently, but i hope that by the end of the semester i will gain more confidence and not be afraid to ask questions and make errors.","['I am taking ScI 227 because I found out about taking sci classes during my second semester of freshman year during a biology course. I realized by taking the sci class I was able to get more help on understanding the concepts outside of the classroom and office hours. The reason why I am taking Math 227 in general is because of completing the requirements for my major and hopefully one day in the future, be accepted into a medical school. I hope to become of some profession in the medical field, but Im not entirely sure of what I want to be yet, I have most interest in being a dermatologist. This is the last math class I will have to take to fulfill my degree requirements, but I hope to gain a better understanding of the material as it may help me at some point later in life.']",0,Reviewed; no issues found.,True,0
213,this is why i decided to sign up for sci 111 and receive the extra help i knew was necessary in order for me to pass this class.,"['It started as one of those careers that elementary school kids talk about when their teacher asks them what they want to be in the future, and my answer was always a brain surgeon, because how awesome does that sound. But this dream ended up sticking with me for the duration of my educational career and is the reason that I am attending San Francisco State today. Unfortunately I no longer want to be a brain surgeon, but I have finally decided that I want to study anesthesiology. I find the field to be very interesting to me and I can see myself enjoying it for the rest of my life. However, I need to make it through a long hard path of schooling to chase this dream.']",0,Reviewed; no issues found.,True,0
2246,and now i am out of my words.,"['I am actually a Chinese and I went to the U.S. when I was 15 years old. I went to high school in LA and I chose to go to SF state is because it is close to the Silicon Valley and my father said it is very easy to find a job there based on my major. That is the reason why I am at this school, then I am going to talk about why I am in this class. I am here because I have to take this class. Actually, this class comes with the PHY230 but whatever.']",0,Reviewed; no issues found.,True,0
537,"in a lot of ways, i guess, my intentions for wanting to become a surgeon are a little selfish.","['I am here to gain the skills I need to pass the Physics portion of the MCAT and enter Medical School. My goal is to become a surgeon, either Cardio or General Surgery. The reason I desire to go to Medical School is because I feel that it is what I meant to do.', 'Taking this course is a first step to understanding the intricacies of the world we live in, which will help me grow as an individual.', 'I also want a job that I love, and this is a first step in that particular direction. Again I hope this works out.']",0,Reviewed; no issues found.,True,0
4426,"i want to become a surgeon and i still think that physics is important because it helps people get an understanding of how much force to use and at what angle to use tools, such as how one should angle a blade or saw and how much pressure to use.",['Im also here because I need to take this class as a prerequisite for my biology major.'],0,Reviewed; no issues found.,True,0
7346,"i want a job that doesn't necessarily make me happy but does in fact make those around me happy whether it be with the product i help produce, my work ethic, or my personal actions.","[""Although times and opportunities have significantly, I still see university as the gateway to at least a stable job in the engineering field.I want a job that doesn't necessarily make me happy but does in fact make those around me happy whether it be with the product I help produce, my work ethic, or my personal actions. I feel university can help me accomplish that and so far it has. he world.""]",0,Reviewed; no issues found.,True,0
6848,i want to be here and i am happy i am here even when i feel sick and tired.,['I am here to get credit for science. I am here because I want to get an education so that I can get a good job.'],0,Reviewed; no issues found.,True,0
5761,the last time i took a sci course was about a year ago and it was for csc220.,['The reason why Im taking this tutoring course for Calculus 2 is because I felt as though my foundation for Calculus 1 may not be as strong as I need it do be. The last time I took a SCI course was about a year ago and it was for CSC220. I was able to pass the class with a high B. I believe that because I took a SCI course before and received a good grade it will happen again this year'],0,Reviewed; no issues found.,True,0
6774,i want people to be comfortable even in difficult times and ill do whatever it takes in order for that to happen.,['Im in this class to complete my courses and get where i need to be.'],0,Reviewed; no issues found.,True,0
6027,another reason i am here is to one day hopefully graduate and make my parents proud.,['The reason I am here is because this is one of the schools that accepted me and it was more economically convenient to come to this school. The reason I am enrolled in this class is because its a prerequirement for my major.'],0,Reviewed; no issues found.,True,0
1845,"i am a transfer student and this is my first semeter at sfsu. of course, i'm here because this is a class on the request list of my degree.","[""I am a transfer student and this is my first semeter at SFSU. Of course, I'm here because this is a class on the request list of my degree.""]",1,Reviewed; no issues found.,True,1
3031,i want to be a physical therapist.,['I want to be a physical therapist. In order to apply to grad school I need ochem as a remaining prerequisite. In order For me to succeed in OCAM lecture I believe this SCI course will help in doing so.'],0,Reviewed; no issues found.,True,0
2745,"but as the school year went on, i discovered things about college and about myself and thought, maybe theres more to just going to class and taking naps. that was my thinking for the first semester of my freshmen year here at sf state.","['The reason I am here at SF state was, at first, confusing. At first, I thought that I was here because I had to be here. Not because I wanted too. But as the school year went on, I discovered things about college and about myself and thought, maybe theres more to just going to class and taking naps. Cut to the current day, my sophomore year standing, I was able to step back and see the bigger picture. I was able to see that not only am I here in college to make money, but also to establish myself as an adult. I needed, and I stress needed, to learn how to manage my time, personal time, and find my motivation to get through these school days and finish this degree.']",0,Reviewed; no issues found.,True,0
1939,the difference is: chinese high school emphasize physical theory much more than physical lab.,"['To be honest, Im here only because my major requires me to pass this class']",0,Reviewed; no issues found.,True,0
1518,i dont know i didn't feel very prepared for the second one maybe because my professor delayed all the material and we got pushed back.,"['Well the first reason I am here is because this class is a requirement for my major.', 'I really want to be a video gamer programmer and I know that physics is really important in that industry because of animation etc. I feel like learning physics is going to further help me in my future endeavors.']",0,Reviewed; no issues found.,True,0
3243,im excited to see what is in store for this lab.,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0,Reviewed; no issues found.,True,0
461,"three years later, i came back to this school to finish what i have started and i am not stopping and definitely do not plan to repeat any of my major required courses.","['Well, in order for me to achieve the above mentioned goal, I must first get through these science and mathematics classes.']",0,Reviewed; no issues found.,True,0
2788,"i also learned a lot more things throughout the course, such as what the big dipper is, where polaris is, and even how to observe the stars at night and use a compass to see which direction im in and what the altitude is.","['Im here in the Astronomy 116 class because of all the general education lab choices, Astronomy piqued my interest the most. Ive always found stars and galaxies to be fascinating and never understood the complexity behind them. When I was younger, my sister introduced astrology to me, and I thought that Astronomy was the exact same thing. Being in this class has taught me that theyre very different concepts']",0,Reviewed; no issues found.,True,0
2954,"ive always tried to take the class but being a popular ge class, it was hard.","['I am here because sfsu requires a science lab class but that doesnt mean I am not interested in astronomy. Ive always tried to take the class but being a popular GE class, it was hard.']",0,Reviewed; no issues found.,True,0
4971,"also, another reason i wanted to take physics is because i want to be a music producer and i know that dealing with frequencies and sound waves is a big part of that so i figured that understanding the science behind it would help me improve.","[""If I'm being completely honest, I'm really only here in this class to fulfill SF State requirements. I wanted to take physics 111 because I took physics in high school and I'm more familiar with these concepts then say chemistry or biology. However, because PHYS 112 is mandatory with PHYS 111, here I am.""]",0,Reviewed; no issues found.,True,0
6045,"i have never taken a physics class before, so when i was enrolling in physics 111 i was super nervous about how i was going to succeed and do in this course.","['The reason I am here is because I am continuing my path as a biology major. I have never taken a physics class before, so when I was enrolling in Physics 111 I was super nervous about how I was going to succeed and do in this course.']",0,Reviewed; no issues found.,True,0
3921,what make the car run?,"['I am here in this Physic class because first of all it is one of my required class for my degree, also I do want to learn more about physic ideas and concepts.']",0,Reviewed; no issues found.,True,0
3948,"one of the main reasons being that i want to pursue a higher education, and cultivate my love for biology.","['Aya AlazzehI am enrolled in Physics 122 lab to fulfill an undergraduate requirement pertaining to my major. One of the main reasons being that I want to pursue a higher education, and cultivate my love for Biology. San Francisco State University has a special place in my heart and in my family. When my dad was only 18 years old he traveled to the United States alone to attend San Francisco State University in order to pursue a degree in engineering. My dad attended this school, all my uncles attended this school, and many of my siblings older than me have attended. I feel like there is a part of my familys history here at San Francisco State University, and so I feel special that I am able to attend as well.']",0,Reviewed; no issues found.,True,0
6683,i am here to be the best version of myself.,"[""I am here today in Astronomy Lab simply because it's general education course I have to fulfill in order to continue on with upper division courses or to even graduate.""]",0,Reviewed; no issues found.,True,0
5459,i am going to answer why i am at sfsu because i feel like that is something i have figured out.,"[""I always feel like when Im asked why Im here I think there is a lot of pressure for me to answer that question a certain way. I feel like I have to have this big purpose in my life already figured out. I am going to answer why I am at SFSU because I feel like that is something I have figured out. I want to get a degree in Biology emphasizing in Marine Biology. I am here in this Physics lab so I can fulfill a requirement for my major in Biology and move one step closer to getting a degree in Biology. I am here in this class also to learn more about Physics because to be honest I feel like I know very little about Physics. I hopefully will figure out more of my purpose at SF State the longer I'm here.""]",0,Reviewed; no issues found.,True,0
5925,i was very unhappy with what i was pursuing and became very unmotivated; this led to me dropping out of school.,"['One day, a friend approached me about joining a construction trade. I took the job and as soon as I set foot on my first big construction site, I knew there was something there for me. The first three years I was an apprentice, and I learned a lot about my trade. With a lot of hard work and dedication, I was able to master my craft and was given more responsibilities by my superiors. I was made a foreman and had the responsibility of running a project, along with a crew of carpenters. I became fascinated with managing projects and wanted to learn more about it apart from the bluecollar aspect of the job. I quickly realized that if wanted to do this, I was going to have to return to college. I enrolled and spent one year at a junior college and transferred to SFSU. I am now on track to earning a bachelors in civil engineering.']",0,Reviewed; no issues found.,True,0
4545,so another reason i am in the class is to better understand physics a topic i have a long history of problems with.,"['The reason I am here (this class PHYS112) is because it is a requirement for my planned major, in Earth and Climate Science. I am worried about my grade in the class because I did not do well in Advanced Placement Physics when I was in High school (I got a B, however the class was weighted so I was worse).']",0,Reviewed; no issues found.,True,0
971,i am here to pass physics so that i can move on with my major and graduate faster.,['I am here to pass Physics so that I can move on with my major and graduate faster.'],1,Reviewed; no issues found.,True,0
