sentence,label,phrase,updated_label,comments,review
"i am here because i want to better myself my family, not only financially but in health.",0,['Being in this instituion will pave a way for me to become a professional.'],0,"Better fits Aspirational, Familial, or Social themes.",False
being in this instituion will pave a way for me to become a professional.,1,['Being in this instituion will pave a way for me to become a professional.'],1,Reviewed; no issues found.,True
i know that as a child i never thought of education and a career for someone who is undocumented.,0,['Being in this instituion will pave a way for me to become a professional.'],0,Reviewed; no issues found.,True
"i hope to reach a position in which i can inspire and prove to all of the ""immigrants"" in the usa that achieving and surpassing struggle is possible.",0,['Being in this instituion will pave a way for me to become a professional.'],0,Reviewed; no issues found.,True
"also, statistics have shown that people with higher education and wealth tend to be healthier.",0,['Being in this instituion will pave a way for me to become a professional.'],0,Reviewed; no issues found.,True
with my career diploma i can improve my health the health of my family.,0,['Being in this instituion will pave a way for me to become a professional.'],0,"Better fits Aspirational, Familial, or Social themes.",False
i am here to help myself grow.,0,['Learn and apply my skills to progress towards my career goal.'],0,Reviewed; no issues found.,True
learn and apply my skills to progress towards my career goal.,1,['Learn and apply my skills to progress towards my career goal.'],0,Better fits Aspirational or Attainment; lacks systemic navigation.,False
understand my purpose.,0,['Learn and apply my skills to progress towards my career goal.'],0,Reviewed; no issues found.,True
meet people who have (similar) aspirationsgoals network be helpful to experience explore improve,0,['Learn and apply my skills to progress towards my career goal.'],0,Better fits Aspirational or Attainment; lacks systemic navigation.,False
that depends how you define here.,0,['The road to success was always college. You need to get a degree to get where you want to go.'],0,Reviewed; no issues found.,True
why am i here in sci 111?,0,['The road to success was always college. You need to get a degree to get where you want to go.'],0,Reviewed; no issues found.,True
i'm here in sci 111 because i want to successed in phys 111.,0,['The road to success was always college. You need to get a degree to get where you want to go.'],0,Reviewed; no issues found.,True
more specifically i would like to be able to thrive not just survive.,0,['The road to success was always college. You need to get a degree to get where you want to go.'],0,Reviewed; no issues found.,True
why am i here at sfsu?,0,['The road to success was always college. You need to get a degree to get where you want to go.'],0,Reviewed; no issues found.,True
the road to success was always college.,0,['The road to success was always college. You need to get a degree to get where you want to go.'],0,Reviewed; no issues found.,True
you need to get a degree to get where you want to go.,0,['The road to success was always college. You need to get a degree to get where you want to go.'],0,Reviewed; no issues found.,True
"specifically to me, my reasons for being here now have change.",0,['The road to success was always college. You need to get a degree to get where you want to go.'],0,Reviewed; no issues found.,True
i'm now here to better myself whereas before it felt like i was blindly following.,0,['The road to success was always college. You need to get a degree to get where you want to go.'],0,Reviewed; no issues found.,True
why am i here in stem?,0,['The road to success was always college. You need to get a degree to get where you want to go.'],0,Reviewed; no issues found.,True
i can't really think of where else i would be.,0,['The road to success was always college. You need to get a degree to get where you want to go.'],0,Reviewed; no issues found.,True
i am here to better myself and hopefully give myself a better future.,0,"['I am in this class because I want to pass physics and getting an A is part of that journey.', 'Also the reason why I am here in San Francisco is to experience new things and figure myself out.']",0,Better fits Aspirational or Attainment; lacks systemic navigation.,False
i am in this class because i want to pass physics and getting an a is part of that journey.,1,"['I am in this class because I want to pass physics and getting an A is part of that journey.', 'Also the reason why I am here in San Francisco is to experience new things and figure myself out.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",True
also the reason why i am here in san francisco is to experience new things and figure myself out.,1,"['I am in this class because I want to pass physics and getting an A is part of that journey.', 'Also the reason why I am here in San Francisco is to experience new things and figure myself out.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",True
"im a psychology major, however im unsure what exactly i want to do with that, therefore im taking a physics class which pretty unecessary for my major.",0,"['I am in this class because I want to pass physics and getting an A is part of that journey.', 'Also the reason why I am here in San Francisco is to experience new things and figure myself out.']",0,Reviewed; no issues found.,True
i am here in this class because i want a little extra help in my physics course.,0,"[""The reason I am taking physics is because it's a required course for my biology major. I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field."", ""The reason I came to SF State is because I wante to be in a new environment away from where I'm from (LA). I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away""]",0,Reviewed; no issues found.,True
the reason i am taking physics is because it's a required course for my biology major.,0,"[""The reason I am taking physics is because it's a required course for my biology major. I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field."", ""The reason I came to SF State is because I wante to be in a new environment away from where I'm from (LA). I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away""]",0,Reviewed; no issues found.,True
i am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.,0,"[""The reason I am taking physics is because it's a required course for my biology major. I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field."", ""The reason I came to SF State is because I wante to be in a new environment away from where I'm from (LA). I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away""]",0,Better fits Aspirational or Attainment; lacks systemic navigation.,False
the reason i came to sf state is because i wante to be in a new environment away from where i'm from (la).,0,"[""The reason I am taking physics is because it's a required course for my biology major. I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field."", ""The reason I came to SF State is because I wante to be in a new environment away from where I'm from (LA). I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away""]",0,Reviewed; no issues found.,True
