sentence,label,phrase,updated_label,comments,review
reflection 1: why am i here?,0,"['For me personally, I am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study. Sports have always been a big part of my life ever since I was in elementary school and I have played in a couple basketball leagues growing up. This fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology. Particularly, it was all the injuries that I have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.']",0,Reviewed; no issues found.,True
"why am i here? is quite a general question that can be taken in many directions, but i assume that it is intended for us to make our connections to this class.",0,"['For me personally, I am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study. Sports have always been a big part of my life ever since I was in elementary school and I have played in a couple basketball leagues growing up. This fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology. Particularly, it was all the injuries that I have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.']",0,Reviewed; no issues found.,True
"for me personally, i am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study.",0,"['For me personally, I am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study. Sports have always been a big part of my life ever since I was in elementary school and I have played in a couple basketball leagues growing up. This fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology. Particularly, it was all the injuries that I have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.']",0,Reviewed; no issues found.,True
"more specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.",0,"['For me personally, I am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study. Sports have always been a big part of my life ever since I was in elementary school and I have played in a couple basketball leagues growing up. This fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology. Particularly, it was all the injuries that I have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",True
sports have always been a big part of my life ever since i was in elementary school and i have played in a couple basketball leagues growing up.,0,"['For me personally, I am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study. Sports have always been a big part of my life ever since I was in elementary school and I have played in a couple basketball leagues growing up. This fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology. Particularly, it was all the injuries that I have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.']",0,Reviewed; no issues found.,True
"this fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology.",0,"['For me personally, I am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study. Sports have always been a big part of my life ever since I was in elementary school and I have played in a couple basketball leagues growing up. This fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology. Particularly, it was all the injuries that I have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",True
"particularly, it was all the injuries that i have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.",0,"['For me personally, I am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study. Sports have always been a big part of my life ever since I was in elementary school and I have played in a couple basketball leagues growing up. This fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology. Particularly, it was all the injuries that I have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",True
i am here because my future goal is to heal people.,0,['I am taking this course as a prereq for the Kin major.'],1,"Matches Navigational theme: systemic navigation, temporal markers.",True
i am taking this course as a prereq for the kin major.,1,['I am taking this course as a prereq for the Kin major.'],1,Reviewed; no issues found.,True
"i would like to become a physical therapist, specifically for athletes.",0,['I am taking this course as a prereq for the Kin major.'],0,Reviewed; no issues found.,True
i am very passionate about sports and being in that atmosphere will keep me motivated and able to understand the physical and mental struggles that athletes go through.,0,['I am taking this course as a prereq for the Kin major.'],0,Reviewed; no issues found.,True
holly enrile physics lab reection1 sept.,0,['I am here because it is a requirement for my major and I think Physics is a really cool subject to learn.'],0,Reviewed; no issues found.,True
"10, 2020 i am here because it is a requirement for my major and i think physics is a really cool subject to learn.",1,['I am here because it is a requirement for my major and I think Physics is a really cool subject to learn.'],1,"Matches Navigational theme: systemic navigation, temporal markers.",True
to have knowledge about the way things work and relate to each other is a powerful skill.,0,['I am here because it is a requirement for my major and I think Physics is a really cool subject to learn.'],0,Reviewed; no issues found.,True
"in general, im in school because i want to make my parents proud and break the generational cycle.",0,['I am here because it is a requirement for my major and I think Physics is a really cool subject to learn.'],0,Reviewed; no issues found.,True
i will be rst generation university graduate.,0,['I am here because it is a requirement for my major and I think Physics is a really cool subject to learn.'],0,Reviewed; no issues found.,True
i am also a mother of 2 who i want to set a good example for and that hard work does and will pay o.,0,['I am here because it is a requirement for my major and I think Physics is a really cool subject to learn.'],0,Reviewed; no issues found.,True
"there will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.",0,['I am here because it is a requirement for my major and I think Physics is a really cool subject to learn.'],0,Reviewed; no issues found.,True
why am i here?,0,"['. I am here at college because the career choices I want to take, require me to to get a degree in Biology and also, more importantly, because my parents have sacrificed a lot to make it in this country as far as they could have and they would want me to be better off than they are.']",0,Reviewed; no issues found.,True
"i am here in this lab because, honestly, there wasnt any other lab that was available for me to take.",0,"['. I am here at college because the career choices I want to take, require me to to get a degree in Biology and also, more importantly, because my parents have sacrificed a lot to make it in this country as far as they could have and they would want me to be better off than they are.']",0,Reviewed; no issues found.,True
but also because science has always been my favorite subject and so taking a physics lab interested me a lot more than other labs that were available.,0,"['. I am here at college because the career choices I want to take, require me to to get a degree in Biology and also, more importantly, because my parents have sacrificed a lot to make it in this country as far as they could have and they would want me to be better off than they are.']",0,Reviewed; no issues found.,True
"i am here at college because the career choices i want to take, require me to to get a degree in biology and also, more importantly, because my parents have sacrificed a lot to make it in this country as far as they could have and they would want me to be better off than they are.",1,"['. I am here at college because the career choices I want to take, require me to to get a degree in Biology and also, more importantly, because my parents have sacrificed a lot to make it in this country as far as they could have and they would want me to be better off than they are.']",1,Reviewed; no issues found.,True
"and to be honest, i am here because there is nothing else for me to do besides work, especially because of the whole pandemic situation that is going on, this helps to further progress my study, as well as help occupy my time.",0,"['. I am here at college because the career choices I want to take, require me to to get a degree in Biology and also, more importantly, because my parents have sacrificed a lot to make it in this country as far as they could have and they would want me to be better off than they are.']",0,Reviewed; no issues found.,True
jose castillo reflection honestly im only here because is part of my requirement for my major.,1,['Honestly Im only here because is part of my requirement for my major.'],1,"Matches Navigational theme: systemic navigation, temporal markers.",True
also part of it is for my mom im only here because im just trying to make her proud and also make myself proud that i can get a degree.,0,['Honestly Im only here because is part of my requirement for my major.'],0,Reviewed; no issues found.,True
not going to lie sometimes i dont feel like i can just because most of the classes are hard and especially doing every class online makes it harder for me.,0,['Honestly Im only here because is part of my requirement for my major.'],0,Reviewed; no issues found.,True
honestly dont even know how long im going to be here it really depends how much effort in time i actually put in all my classes.,0,['Honestly Im only here because is part of my requirement for my major.'],0,Reviewed; no issues found.,True
hopefully im able to graduated in 4 years just because i do want to work for my master degree in the future i feel like its going to benefit me and especially for my mom and family.,0,['Honestly Im only here because is part of my requirement for my major.'],1,"Matches Navigational theme: systemic navigation, temporal markers.",True
overall taking this class and so many other labs its not bad i mean i dont usually do good but it does help you learned new things that you havent before and thats something im trying to expend my mindset and what i can get out of in order to help me in the long run.,0,['Honestly Im only here because is part of my requirement for my major.'],0,Reviewed; no issues found.,True
i am here because i am a prekinesiology major and it is a prerequisite for my major.,0,"['I am here because I am a prekinesiology major and it is a prerequisite for my major. I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I am taking this class because I am also in physics lecture and intriguing and it seemed interesting. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",0,Reviewed; no issues found.,True
