,sentence,label,phrase,updated_label,comments,review,predicted_label
1774,"however, because phys 112 is mandatory with phys 111, here i am.",0,"[""If I'm being completely honest, I'm really only here in this class to fulfill SF State requirements. I wanted to take physics 111 because I took physics in high school and I'm more familiar with these concepts then say chemistry or biology. However, because PHYS 112 is mandatory with PHYS 111, here I am.""]",0,Reviewed; no issues found.,TRUE,0
3916,this is a great way to help my gpa as well as give me the knowledge i need in order to do better in my class.,0,"['Im here to help me with O chem 2. This is my first SCI class and it has so far really helped me learn the topics I have seen in class. I would like to get an A in O chem 2 because I struggled with O Chem 1. This is a great way to help my GPA as well as give me the knowledge I need in order to do better in my class. Im also here, in college to get a degree and get the information I need in order to pursue the career I want to go into, which is PA school.']",0,Reviewed; no issues found.,TRUE,0
1650,"in terms of physics, i'm here because i am hoping to go to medical school and become a pediatrician.",0,"[""In terms of physics, I'm here because I am hoping to go to medical school and become a pediatrician. Even though I'm a psychology major hahaha. In terms of SFSU, I'm here to save money. With SFSU I'm able to live at home and save a lot of money that way, even though it does affect my mental health to be honest. It definitely was not my top choice school, but if I'm trying to apply and go to medical school I definitely need to save as much money as I can.""]",0,Reviewed; no issues found.,TRUE,0
505,"i was scared that i would not understand anything, but im doing better than i thought.",0,"['I am in this SCI class because physics is a new subject for me. I am a STEM major, but I have never taken physics before. I was really nervous coming into physics because I didnt know anything. I was scared that I would not understand anything, but Im doing better than I thought. I decided to go into the SCI class because I was talking to my friend about it.']",0,Reviewed; no issues found.,TRUE,0
38,being here is also important for my growth and development.,0,"['My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist. All in all, I am here because it is a pre requisite but I also enjo y the ext ra knowledge to further enhance my brain.']",0,Reviewed; no issues found.,TRUE,0
2787,i never knew about the constellation called ophiuchus before taking astronomy 116.,0,"['Im here in the Astronomy 116 class because of all the general education lab choices, Astronomy piqued my interest the most. Ive always found stars and galaxies to be fascinating and never understood the complexity behind them. When I was younger, my sister introduced astrology to me, and I thought that Astronomy was the exact same thing. Being in this class has taught me that theyre very different concepts']",0,Reviewed; no issues found.,TRUE,0
117,elena mena why am i here i am here because this is a required class for my major.,0,['I am here because this is a required class for my major. I am a kinesiology major and physics is one of the required classes to take.'],0,Reviewed; no issues found.,TRUE,1
2668,"after thinking for awhile, she told me to read the books on planets because they were, kind of similar. listening to her instructions, i began to read about jupiter,mars, and saturn.",0,['Im here taking Astronomy because I have a love for space and I am able to take it while fulfilling my general education.'],0,Reviewed; no issues found.,TRUE,0
3888,"i believe that you must be challenged in different ways in order to grow in life, and with organic chemistry, it challenges you in all the different ways.",0,"['There are many reasons why am I here, the first being that I really want the extra support in order to do well in my academics especially in my science classes.']",0,Reviewed; no issues found.,TRUE,0
431,"i also feel compelled to diversify the field of science with more women, since it is predominantly men.",0,"['I was always drawn towards sciences throughout my former schooling. I have always wanted to pursue some sort of career in either botany or astronomy. Later on in my life after high school, I realized that I had quite an obsession with space and stars, and the galaxies, and materials that make up this universe. Some day when I graduate I hope to work at NASA, charting stars and galaxies and discovering the secrets of the universe.']",0,Reviewed; no issues found.,TRUE,0
1623,im not upset that i have to take this class because i understand that i will need to understand how physics works for what i want to do in the future.,0,"[""I'm here in this class because it is required for my major, which is mechanical engineering.""]",1,"Matches Navigational theme: systemic navigation, temporal markers.",TRUE,0
1148,i think that the concepts behind how motion works is very fascintating.,0,"['I am taking this class not only becuase it is required for my desired major, but also becuase I find it interesting. I took a physics class durign high shcool and I found the labs to be very helpful. My prior experience during my high school was never boring. I am excited to see what this virtual lab will bring, even though I know it will be a little more challenging to get the same experience as face to face classes.']",0,Reviewed; no issues found.,TRUE,0
803,i also have talked to one of the advisors for premedicine students and he provided a thorough list of courses i needed to take ignorer to satisfy the prerequisites for medical school.,0,"['The reason why I am taking this course is that it satisfies one of my prerequisites for medical school. I also have talked to one of the advisors for PreMedicine students and he provided a thorough list of courses I needed to take ignorer to satisfy the prerequisites for medical school. Many students have gone to him and are either in medical school or applying to medical school. With that, I trust his judgments and solely took this class based on his advise.']",0,Reviewed; no issues found.,TRUE,0
516,"when this semester began, i quickly realized that it was quite the opposite.",0,"['I am also here because I plan on majoring in BIO with a concentration in Zoology. For BIO majors, we need to take Physics 111 and then if we want to, we can build off of it and proceed to the next level of Physics.']",0,Reviewed; no issues found.,TRUE,0
2615,i think this class can prepare me for the future as much as any other class.,0,"[""Why am I specifically in this astronomy lab? I believe the original idea was just to get my GE's and this lab sounded interesting as well as the introduction to astronomy lab. But now I think I am here to learn something important that I can use for the rest of my life.""]",1,"Matches Navigational theme: systemic navigation, temporal markers.",TRUE,0
2510,the advisors emphasized that they highly recommend we take this supplemental class if our schedules allow us to add it.,0,['I am here because I was referred to this class by an advisor at orientation that this class would help me better understand my calculus II class I am taking in the spring semester 2020.'],0,Reviewed; no issues found.,TRUE,0
2257,"that second math class was not offered at my community college though, so i was going to take it at this institution no matter what.",0,"['Physics 230 and its accompanying lab section 232 are both required courses for a Computer Science degree. Furthermore, you have to be in the 232 class while enrolled in lecture 230 or else you will be kicked out. With both of these two facts laid out, this explains why I am currently taking lab 232.', ""I actually went to Community College before transferring over to San Francisco State. I took many classes while there but did not finish the lower division physics requirements. Ironically, it's not the only lowerdivision class that I did not take for a Computer Science major; I have to enroll in a Linear Algebra class as well as another math class. That second math class was not offered at my Community College though, so I was going to take it at this institution no matter what. Other than nonprogramming classes, there still seems to be many courses that I still have to take that focus primarily on my degree.That's why I'm here.""]",0,Reviewed; no issues found.,TRUE,0
4640,i love math and every subject that has math.,0,"[""I would say I'm here because this class is required by my major, but I failed this class twice before. I didn't fail because the class is hard. I failed twice because I have bad depression and PTSD. Taking this class and passing it is a goal for me so I prove to myself that I can get better. I'm from Iraq and I lived there until 2013. I come from an abusive family. I am here because I don't think there is anywhere else I want to be at the age of 22. I wish I was a lot ahead by this age but I won't let that bother me too much. I'm here so I can go higher and higher in my college career. Most of all I am here because this school is safe and I have a better opportunity than where I was born so I'll take advantage of that.""]",0,Reviewed; no issues found.,TRUE,0
757,"my dad attended this school, all my uncles attended this school, and many of my siblings older than me have attended.",0,"['Aya AlazzehI am enrolled in Physics 122 lab to fulfill an undergraduate requirement pertaining to my major. One of the main reasons being that I want to pursue a higher education, and cultivate my love for Biology. San Francisco State University has a special place in my heart and in my family. When my dad was only 18 years old he traveled to the United States alone to attend San Francisco State University in order to pursue a degree in engineering. My dad attended this school, all my uncles attended this school, and many of my siblings older than me have attended. I feel like there is a part of my familys history here at San Francisco State University, and so I feel special that I am able to attend as well.']",0,Reviewed; no issues found.,TRUE,0
4772,i am here at sfsu because i wanted to go to college.,0,['Im here in this class because Im taking a physics lecture class and this is a course we take along with the other. I havent chosen a major but Ive thought about going into biology or perhaps another kind of science so taking this class seemed like a good idea.'],0,Reviewed; no issues found.,TRUE,0
1269,"however, i am also here to improve myself on both physics knowledge and practical problems solving skills.",0,"[""my dream is to become a veterinarian, but in China, there is only limited program that focus on veterinarian science.I transferred from University of California, Santa Barbara because San Francisco is the city I want to stay for the rest of my life and I love everything about SF state.I am here because Physics 122 is one of my major lower division class. I have to do both physics 111112 and 121122. I still don't clearly understand how physics is related to biology and why I have to do the physics lab.""]",0,Reviewed; no issues found.,TRUE,0
664,i always wanted to study abroad.,0,"[""I was in high school when I decided to pursue my studies in the United States. I always wanted to study abroad. I wanted to experience a new environment and a new schooling system. To be precise I am taking this class because it's a prerequisite for my course. I am a biochem major and I am looking forward to becoming a pharmaceutical scientist.""]",0,Reviewed; no issues found.,TRUE,0
1570,my goal in life is to ensure i live a life my mom would be proud of.,0,['I am in this course because it is a required course. I made a choice to continue my education after high school.'],1,"Matches Navigational theme: systemic navigation, temporal markers.",TRUE,0
1916,physics has a great deal to do with energy and after i graduate i would like to work with that as an emphasis.,0,"[""I am here because I need to take this class for my major, mechanical engineering. I'm also taking physics because it directly relates to what I want to learn."", 'This class just happens to be one of the classes I need to take to learn those things, as well as move on to more complicated material in the future.']",0,Reviewed; no issues found.,TRUE,0
570,"i love helping people, so that is why i wanted to become a physical therapist.",0,"['I am here at San Francisco State University because I want a good education so that I can become a physical therapist in the future. It is something that I have aspired to be for a while now and achieving it would be life changing for me. I am here because SF State is close to hometown in San Jose. I wanted to somewhere not too far and not too close. SF State has a great Kinesiology department for me to take classes for my career, even though it is severely impacted.']",0,Reviewed; no issues found.,TRUE,0
1137,this essay is meant to connect you to your purpose.,0,"['I need the prerequisite just as much as anyone else and besides, thats a pretty mundane reason to include.']",0,Reviewed; no issues found.,TRUE,0
4322,"for a few months i was thinking to study rpt, (recreation, parks, and tourism), because that major seems very fun to me and with jobs it could come with.",0,"['My current goal for my life is to be a researcher, and to be honest I really dont know what to yet. I want to explore anything in the biology department, but botany sounds like a great thing to start with. Back in high school I had fun in biology, and in the cell department actually, so that might be a second option for me. For a few months I was thinking to study RPT, (recreation, parks, and tourism), because that major seems very fun to me and with jobs it could come with. For researching as a biologist, I think it might be very hard but fun to do something that you are passionate about. For the RPT, I think it might be fun to do your job depending on your passion as well, but also there are a few wellpaying jobs and I want to be able to provide for my family, I found this out from one of my professors I had for RPT.']",0,Reviewed; no issues found.,TRUE,0
312,i originally have chosen another college in a different city.,0,"['I remembered when I was a kid I was interested in business management, During high school, I had to do a lot of research about different colleges. I originally have chosen another college in a different city. During my high school senior year, my grandpa has passed away suddenly. My grandma had Alzheimers disease and has gotten worse after grandpa passed away. I was afraid that she will forget me one day and I told my mom about San Francisco State University is also a college for business. Then I had a conversation with my mom about this college and, is closer to grandmas house which I can help take care of my grandma after school. That is how I have entered San Francisco State University,']",0,Reviewed; no issues found.,TRUE,0
3089,"i thought while i am taking the main physics class, i should take the lab along with it.",0,"['If it is in the context of being in this physics lab, then I am here to complete a GE requirement', 'I thought while I am taking the main physics class, I should take the lab along with it. I did not take the lab that I could have while I was attending Biology class last semester. So, here I am now, taking this physics lab.']",0,Reviewed; no issues found.,TRUE,0
2253,i am from sacramento and i am here on the bay because of my focus and motivations and refusal of disruptions and deterring of my focus.,0,"[""That is why I am here.SFSU was actually one of the schools that I got into for undergrad and was considering for my bachelor's, however USF ended up being a cheaper option after scholarships. I honestly never thought I would come back to the idea of SFSU after I graduated, but I never thought this world would be in a pandemic anytime soon either, so there's that. I am fulfilling my prereqs for medical school here at SFSU as a postbacc student and I am so happy that it has allowed me to stay in the bay area to do so.""]",0,Reviewed; no issues found.,TRUE,0
2669,however i have now realized that they truly help especially since the class itself is a really fun environment within itself and the work we do is learning with one another and not simply copping notes that the professor has written down on the board.,0,"['I am here because, Im a mechanical engineering major and currently taking Calculus 3. This is the first SCI class that I have ever taken, I decided to take it because I believe it will help me in my journey to pass Calculus 3 and continue on my path to obtain my degree. Before signing up for this class I never thought that SCI classes were a big help. However I have now realized that they truly help especially since the class itself is a really fun environment within itself and the work we do is learning with one another and not simply copping notes that the professor has written down on the board.']",0,Reviewed; no issues found.,TRUE,0
1299,i am hoping that this class is a little bit easier but so far i am slightly struggling also with my other classes which is chemistry 115 and stats so there is a lot of math i need to do and know.,0,"['This year I am taking classes that go towards my actual major which is exciting, but its very challenging now. I am in this Physics 122 class because I miraculously made it past Physics 111 which is one of the hardest classes I have taken at this school. I am hoping that this class is a little bit easier but so far I am slightly struggling also with my other classes which is chemistry 115 and stats so there is a lot of math I need to do and know.']",0,Reviewed; no issues found.,TRUE,0
3621,"however, it was really difficult for me because the concepts can get very complicated and there was obviously a lot of math and physics involved which are not my strengths.",0,"[""I am here primarily because I need a lab credit to graduate. I actually took the astronomy lecture about 3 years ago, so much of the information I learn in this lab are very distant from my memory. I'm disappointed that I neglected to take the class sooner and now I have to struggle to understand the concepts all over again. As a senior this semester, I am trying to have a chill last semester and this class is a little more stressful than I would want (with all the quizzes), but I do need to graduate.""]",0,Reviewed; no issues found.,TRUE,0
1128,ive been thinking about that a lot these past couple years.,0,"['The alternatives to being a scientist were to be a nurse, doctor, or a bit of a disappointment. Granted, this sounds like a concerning motivation for education, but I must now tell you that I still felt a sense of agency in this decision. It was my decision to study microbiology specifically. I purposely chose not to be a nurse. After a couple internships in laboratories I found out just how much I love doing research. I find it therapeutic to deliberately and thoroughly research a single topic in the lab.']",0,Reviewed; no issues found.,TRUE,0
1159,why are you here?,0,"['I am here in this lab class because this physics course is a requirement for my major biology. I have taken the prerequisite course to this, and I am currently enrolled in the lecture portion of the class. And this particular lab section was the only one that fin in my schedule. I am taking this class because it is one of the last lower division requirements that I have to meet for my biology major to continue on to more in depth upper division courses']",0,Reviewed; no issues found.,TRUE,0
297,i made my purpose to help not only others but nature as well.,0,['My junior year of high school I realized I am here to help others as I joined peer counseling and applied for a counseling internship through my school for the following school semester. Senior year my purpose was to help others solve their own problems and find ways to promote mental health. The question came up again in my head entering college.While I am helping the plant with my small contributions I am also studying to become a therapist with my psychology major.'],0,Reviewed; no issues found.,TRUE,0
3176,i am here because i have failed my second semester of physics because i didnt learn anything.,0,"['I am here because I have failed my second semester of physics because I didnt learn anything. I knew I needed help, but I was too shy to ask people for help. Ive done most of my stuff on my own and I felt I was capable of overcoming everything alone, but I guess not. I want to learn, so I am here to get supplemental help. I am also here because I know Physics will be part of the MCAT, so I definitely need to learn it and reflect it on the test.']",0,Reviewed; no issues found.,TRUE,0
3186,i am here to fulfill my mechanical engineering degree requirements.,1,"['I am here to fulfill my mechanical engineering degree requirements.', 'I want to have a good understanding of physics and other sciences so that I wont have to look back and review this material when I am finally employed as an engineer.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",TRUE,0
3436,so i am here taking this class mostly because i need help.,0,['So I am here taking this class mostly because I need help. Ive taken and SCI class before and every time I participate in asking questions I always do better on exams and on homework.'],0,Reviewed; no issues found.,TRUE,0
2734,"i took the job and as soon as i set foot on my first big construction site, i knew there was something there for me.",0,"['One day, a friend approached me about joining a construction trade. I took the job and as soon as I set foot on my first big construction site, I knew there was something there for me. The first three years I was an apprentice, and I learned a lot about my trade. With a lot of hard work and dedication, I was able to master my craft and was given more responsibilities by my superiors. I was made a foreman and had the responsibility of running a project, along with a crew of carpenters. I became fascinated with managing projects and wanted to learn more about it apart from the bluecollar aspect of the job. I quickly realized that if wanted to do this, I was going to have to return to college. I enrolled and spent one year at a junior college and transferred to SFSU. I am now on track to earning a bachelors in civil engineering.']",0,Reviewed; no issues found.,TRUE,0
2869,because i need to take this lab i order to finish up all of my ges as soon as possible.,1,['Why am I here? Because I need to take this lab I order to finish up all of my GEs as soon as possible. I'],1,Reviewed; no issues found.,TRUE,0
199,i also hope that attending this course will broaden my conceptual comprehension of physics.,0,"['I decided to take this class primarily to get a better grade in Physics 111; I have never attempted a physics class, so conceptually this is all very new to me. I always hear about people taking a physics class in high school; I wish I could have been that fortunate! I feel like being present in this class will help me better understand physics conceptually and mathematically.']",0,Reviewed; no issues found.,TRUE,0
1473,this is the main reason i am here today.,0,"['All of this has lead me to pursue a degree in Mechanical Engineering, ultimately leading me to taking this course. Higher education for me is a Segway into the job field, without it would make getting a job in the future that much more difficult.']",0,Reviewed; no issues found.,TRUE,0
2404,at times i feel like these classes are not relevant but have come to learn to have an open mindset because you never know if you'll find another internet and passion that otherwise you would have missed out on.,0,"[""First thought I would say it because this is a requirement that gets me closer to my career goal but diving deeper I'm here because as a junior in high school I found a passion for dentistry. At the time I was working as an intern at an orthodontist office and had decided to dedicate my future to it In order to hold that I must take certain classes that are geared toward that.""]",0,Reviewed; no issues found.,TRUE,0
4658,"hearing my moms history, and seeing that she didnt have the opportunity to go to college is what motivates me to be here where i am now.",0,"['In addition, in order to succeed and become my career I have to first get a bachelor in Biology, and I would get it by graduating from SFSU.']",0,Reviewed; no issues found.,TRUE,0
1686,fall is my favorite season and i adore all of the activities that come along with it.,0,"['Why am I here? I am here in California because this is home for my partner, I am originally from Ohio. I met him while we were both enlisted in the US Air Force. Now that we have separated we are both attending school using our benefits that we earned through serving. So far I love the idea of California, the idea that people are open and accepting here. The idea that health is more important by living a more active lifestyle. I am here in this class because my major requires it, as well as PHYS 2, I hope to enjoy the things we will learn here. I am looking forward to staying here for the next couple years and building a new life, making California and SF State my home too.']",0,Reviewed; no issues found.,TRUE,0
1922,i came to san francisco to change the person that i am.,0,['I am here because I wanted a significant change in my life. I wanted to move out of the small town that I was living in and discard old habits and beliefs I possessed. I came to San Francisco to change the person that I am.'],0,Reviewed; no issues found.,TRUE,0
3174,so far from the first three weeks four weeks of class i have gotten as on all my quizzes given in my main classes thanks to my sci helper classes.,0,['I am taking a SCI helper class to better understand what I am learning in class. I am taking both a Physics121 SCI course and Chemistry215 SCI course.0'],0,Reviewed; no issues found.,TRUE,0
2091,and it certainly beats taking any kinda of lower or upper division ge in terms of interesting material.,0,"['Physics is an interesting topic and I do enjoy it but Im primary here given its a required for my major of comp sci. which im majoring in just because its a job I know I can do well in and tolerate as a career.', 'So I guess im taking the class because its interesting, gets me closer to my end goal of getting a CS degree.']",0,Reviewed; no issues found.,TRUE,0
2894,i am hoping that the following classes until the end of the semester are more understanding and beneficial to my needs.,0,['This class is a requirement to helping me move forward in my career path. I need this class for support because lecture can get very confusing however if both SCI class and lecture are misleading then I might need to seek outside help.'],0,Reviewed; no issues found.,TRUE,0
2456,i am in computer science because originally i wanted to join the military but then trump got elected so i went to college and choose my major by throwing a dart at a board.,0,['I am here to learn and follow the path of a computer science major the concepts i learn in physics wont necessarily help me in my field but physics tells you how good you are at forming logical explanations to problems and how do you tackle them which is very important for computer science majors. I am in computer science because originally i wanted to join the military but then trump got elected so I went to college and choose my major by throwing a dart at a board.'],0,Reviewed; no issues found.,TRUE,0
3058,i am taking this sci 115 course so it can help me get a better grade in chem 115 lectures.,0,"['Chem 115 is a requirement for me because I am a biology major, and hope to pass a B or higher, so I figured this class could help me reach that goal.']",0,Reviewed; no issues found.,TRUE,0
252,"now that ive learned a bit about the engineering field, im excited to apply what ive learned to design a new kind of car engine, which is what i want to do with my degree when i graduate.",0,"['I then started building plastic model kits and eventually began to work on real cars. Since then, Ive enjoyed learning the different facets of engineering and the technical pieces that follow. I entered college with extreme certainty that this is what I wanted to do and fortunately for me, this feeling has only been solidified. As I progress through college, I see the other fields of engineering such as materials civil, etc and I see that theyre all connected, and also interesting. Now that Ive learned a bit about the engineering field, Im excited to apply what Ive learned to design a new kind of car engine, which is what I want to do with my degree when I graduate.']",0,Reviewed; no issues found.,TRUE,0
