,sentence,phrase,label,predicted_label
1899,"my physics lab has been difficult to participate in because i have not taken a physics class before and therefore, have no prior knowledge to any of the formulas used in the class.","['Although the physics class is not so bad to understand, the lab is difficult to do because we apply our knowledge from the class into the experiments we do in the lab. Its also hard to keep up with my lab partners because they have prior knowledge of taking the course before but, Ive committed to putting in the extra effort to understand more about the labs by reading the summaries and reviewing them after to see what Ive learned.']",0,0
620,i feel like i will pass this lab with ease since i was able to pass the previous lab without a problem!,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby.'],0,0
107,my mind is always blown when im learning new topics regarding the subject.,"['I did not enjoy phys 111 it was hard for me. I heard this class is different compared to phys 1. I am excited about that, but I bet its still as hard. I enjoy learning about physics, dont get me wrong, but it takes me a while to get the hang of things.']",0,0
1724,"i'm partially here because this class is for my major, but i am also motivated to learn something new.","['Its a little difficult to find more things to write about since Im tired, but I hope that things (classes, grades, health, family) go smoothly and that this semester turns out to be alright despite the numerous variables that are bound to go against us at some point. But even if that happens, the only option that we have from then on is to find ways to move forward against the roadblocks that are placed before us.But besides all of that, and being philosophical or deep things, we are here to learn!']",0,0
103,i find it necessary to be challenged in this way because it changes my perception.,"[""Since I didn't get accepted into the Architecture schools I applied for, I decided to move towards San Francisco State in order to study Computer Science. In the Fall of 2017 when I first began my studies here, I was only taking electives and Calculus I as a math class. I put a ton of work into the semester and achieved all A's, but during this period I had less of a social life."", ""other required courses such as Physics were what have always troubled me. I am taking these classes not only because they're prerequisites for me to move on to my Computer Science related classes but because they are challenging for my current mindset. I find it necessary to be challenged in this way because it changes my perception. I am able to learn differently because I am challenged with unfamiliar topics that I'm not accustomed to."", '']",0,0
677,but the reason why i keep going is for my family.,"['I really want to be an immigration lawyer, especially here in the bay since South East Asians here are getting targeted by ICE.']",0,0
919,"it here to learn new things, meet new people, and to be able to learn the culture and how is the america dream that a lot of people from the different country dream of.","['I migrate to the USA with my brother to live a better life. I did not know what life was here, what is the environment is like, and the community we going to live with. All I know was, this country will give me a better life than my own country. Coming to San Francisco State University was not easy at all, especially the language, community, environment, and the surroundings. It here to learn new things, meet new people, and to be able to learn the culture and how is the AMERICA DREAM that a lot of people from the different country dream of. However, life is not easy to live with, and I promise to myself that I will become successful in life and to be able to pay my gratitude to my parents who supported me since I started school or since when I was born. I am also here to expand my understanding of how physics does really connect to the world and the challenges that await me for this course.']",0,0
1707,become a nurse has always been my dream job and i hope to make it real even though sometimes is hard to keep going but not impossible.,['Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],0,0
90,"to make my family proud and prove myself that i can do it, even though there are lots of challenges.","['prove myself that I can do it, even though there are lots of challenges']",1,1
1176,i hope calculus will support my learning in this course in any shape or form.,"['Even though it terrifies me, I am still willing to learn Physics. Lastly, I am going to learn Physics with purpose. I don\'t want to be here because it is a ""requirement"" but I want to be here because I want to learn from it.']",0,0
1000,"resilience has stuck out to me especially with the way people are approaching this new learning format, especially the professors.","['Its specially difficult to affirm oneself during this period we are experiencing because of the whole virus situation, but the one thing that I have learned from learning in this new format is how important resilience is. Seeing the resilience of others motivates me to keep doing what I am doing, and in doing so I learned how important it is to approach any situation with some type of optimism.']",1,0
1549,going into this semester i thought i would do really well in physics and struggle in calculus.,"['When this semester began, I quickly realized that it was quite the opposite. I found that I was really good at Calculus and I was struggling to understand Physics. After a couple weeks into the semester, I thought I would give a SCI class a try.']",1,1
1015,i think its vital to feel a class interesting.,['This is a challenging class that test my cooperation and communication ability.'],0,0
163,so i am here by choice.,['I am here because I know I struggle in chemistry classes and really want to do good in Quantitative Chemical Analysis.'],0,0
