sentence,label,phrase,updated_label
"i am here because i want to better myself my family, not only financially but in health.",0,"['I know that as a child I never thought of education and a career for someone who is undocumented.', 'I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",0
being in this instituion will pave a way for me to become a professional.,0,"['I know that as a child I never thought of education and a career for someone who is undocumented.', 'I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",0
i know that as a child i never thought of education and a career for someone who is undocumented.,1,"['I know that as a child I never thought of education and a career for someone who is undocumented.', 'I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",0
"i hope to reach a position in which i can inspire and prove to all of the ""immigrants"" in the usa that achieving and surpassing struggle is possible.",1,"['I know that as a child I never thought of education and a career for someone who is undocumented.', 'I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",1
"also, statistics have shown that people with higher education and wealth tend to be healthier.",0,"['I know that as a child I never thought of education and a career for someone who is undocumented.', 'I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",0
with my career diploma i can improve my health the health of my family.,0,"['I know that as a child I never thought of education and a career for someone who is undocumented.', 'I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",0
i am here because i care about my community and to help empower those around me.,0,['I am here in the science community because I feel that my people (of color and being a female) are under represented.'],0
i am here in the science community because i feel that my people (of color and being a female) are under represented.,1,['I am here in the science community because I feel that my people (of color and being a female) are under represented.'],0
i want to contribute my knowledge that i've gain since i've been at sf state to those around me and become a role model for my younger cousins back where i'm from.i am also here because i want to gain new perspective from my peers because,0,['I am here in the science community because I feel that my people (of color and being a female) are under represented.'],0
i am here because i am dedicated to my success in my stem based courses.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
i am here because im not afraid to ask for help and guidance.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
im here because i want to be apart of a new community.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
i was apart of a sci course last semester and i loved how helpful the instructors were.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
i felt comfortable with them and it gave me time to ask specific questions that i had and have something close to a one on one explanation.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
