sentence,label,phrase
"i am here because i want to better myself my family, not only financially but in health.",0,"['I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']"
being in this instituion will pave a way for me to become a professional.,0,"['I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']"
i know that as a child i never thought of education and a career for someone who is undocumented.,0,"['I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']"
"i hope to reach a position in which i can inspire and prove to all of the ""immigrants"" in the usa that achieving and surpassing struggle is possible.",0,"['I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']"
"also, statistics have shown that people with higher education and wealth tend to be healthier.",0,"['I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']"
with my career diploma i can improve my health the health of my family.,0,"['I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']"
i am here at sfsu because i am a first generation student and i want to break the cycle in my family of not going to college.,0,"[""I want to help my community while I'm here""]"
school has always helped me escape the hard things i live through everday.,0,"[""I want to help my community while I'm here""]"
"as the oldest of 3 siblings, i want to be a role model and set a good example for my siblings.",0,"[""I want to help my community while I'm here""]"
i have always valued my education and i think its definitely the most important thing in my life.,0,"[""I want to help my community while I'm here""]"
i want to help my community while i'm here and become a better version of me.,1,"[""I want to help my community while I'm here""]"
i am here because i have goals that i want to achieve.,0,['I am here to set an example for my sisters and other young women in my life.']
i am here to better myself for me and my family.,0,['I am here to set an example for my sisters and other young women in my life.']
i am here to become stronger mentally more educated.,0,['I am here to set an example for my sisters and other young women in my life.']
i am here to set an example for my sisters and other young women in my life.,0,['I am here to set an example for my sisters and other young women in my life.']
i was born in mexico and my mom brought me here for a better future so she is who i do it all for.,0,['I am here to set an example for my sisters and other young women in my life.']
"i am here for many reasons: make myself proud happy getting education is a priveledge, knowledge is power!",0,['To help my community; I want to give back to all who have touched me.']
lowkey school makes me happy.,0,['To help my community; I want to give back to all who have touched me.']
to help my community; i want to give back to all who have touched me.,1,['To help my community; I want to give back to all who have touched me.']
"by going to school teaching this class, i am able to gain perspectives sufficient knowledge to provide a helping hand to all.",1,['To help my community; I want to give back to all who have touched me.']
"for change, i am here to change my life others.",0,['To help my community; I want to give back to all who have touched me.']
somewhow i will accomplish that by finding myself learning from others.,0,['To help my community; I want to give back to all who have touched me.']
"for my loved ones these include my family, friends, my lover they all push me to achieve greatness, with their unwavering support, they give me power to stay grounded",0,['To help my community; I want to give back to all who have touched me.']
i am here to expand my knowledge of the world around me and to converse with my peers to grow as a person.,1,['to give my students and peers what my SI facilitators have given to me']
i am excited to be here in si because i get to give my students and peers what my si facilitators have given to me: a safe place.,1,['to give my students and peers what my SI facilitators have given to me']
"a place to learn, to make mistakes, overcome challeneges, and that is safe for them to be themselves and to meet others.",0,['to give my students and peers what my SI facilitators have given to me']
i am here to learn myself.,0,['to give my students and peers what my SI facilitators have given to me']
this is a new adventure for me where i will make mistakes and learn from them.,0,['to give my students and peers what my SI facilitators have given to me']
i am here to learn from my studentspeers and to grow from their feedbackadvice.,1,['to give my students and peers what my SI facilitators have given to me']
i am here because i care about my community and to help empower those around me.,1,"['I am here because I care about my community and to help empower those around me.', ""I want to contribute my knowledge that I've gain since I've been at SF State to those around me.""]"
i am here in the science community because i feel that my people (of color and being a female) are under represented.,1,"['I am here because I care about my community and to help empower those around me.', ""I want to contribute my knowledge that I've gain since I've been at SF State to those around me.""]"
i want to contribute my knowledge that i've gain since i've been at sf state to those around me and become a role model for my younger cousins back where i'm from.i am also here because i want to gain new perspective from my peers because,1,"['I am here because I care about my community and to help empower those around me.', ""I want to contribute my knowledge that I've gain since I've been at SF State to those around me.""]"
im in sci to better my understanding of physics.,0,['o']
"i took physics in high school and was absolutely in love, but as we all know high school courses are not the same as college courses.",0,['o']
chemistry has been kicking my butt since i first got to college and with that i was really afraid to start my physics requirements.,0,['o']
"so far into the course, i believe its a lot of visualizing, but chemistry is a lot of visualization as well so i believe im ready.",0,['o']
ive took sci in the past and realized it is also a really great way to make new connections from which you can form study groups or just friends in general.,1,['o']
im really hoping to make more of those connections this semester.,0,['o']
the professors for the sci courses are usually good resources to help find programs as well or to even make the time to stay longer to help you with a problem.,1,['o']
ive enjoyed all of my sci courses and all in all just college too.,0,['o']
its been a great experience to see that even helping one student with their work could be very rewarding and i might think of becoming a sci professor in the future as well.,1,['o']
i am here because i am a first generation college student and i am interested in the medical field.,0,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.']
i have always had a passion to help people and i believe the medical field is the best way to fulfill my passion.,1,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.']
i want to show all the minorities that you can do it too.,0,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.']
i want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.,1,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.']
i feel very welcome here at san francisco state and i believe that this is a very friendly and helpful place to learn especially as a premed student with a lot of opportunities that we have available.,1,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.']
i feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.,1,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.']
"as a second year, i can not imagine myself being at no other college and feeling very comfortable like i do here to get to my career path in the medical field.",0,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.']
becoming a doctor has been a lifelong dream of mine and i plan on enjoying my journey with amazing opportunities here at sfsu.,0,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.']
i am here because i want to have a successful future.,0,['I am here because I want to be able to give back to my family and my community.']
i am here because i want to be able to give back to my family and my community.,1,['I am here because I want to be able to give back to my family and my community.']
"most importantly, i am here because of my fiancee, jordan.",0,['I am here because I want to be able to give back to my family and my community.']
we were together for seven years since we were thirteen years old.,0,['I am here because I want to be able to give back to my family and my community.']
"he was my rock, my best friend, and my biggest supporter.",0,['I am here because I want to be able to give back to my family and my community.']
"jordan passed away unexpectedly this year, on march 2nd, 2019.",0,['I am here because I want to be able to give back to my family and my community.']
"i took some time off school, and decided to come back the next semester (now) because school was always really important to jordan, and i have been really focused on not letting him down.",0,['I am here because I want to be able to give back to my family and my community.']
"this year has been extremely long and challenging so far, and i am just trying to find my way back.",0,['I am here because I want to be able to give back to my family and my community.']
"ive been making new friends in my new classes, and creating new study groups in my science classes which has really been a large help for me so far this semester.",1,['I am here because I want to be able to give back to my family and my community.']
i have also been looking for science clubs to join in order to meet other people from my major.,0,['I am here because I want to be able to give back to my family and my community.']
"nevertheless, from the day he passed, everything i do and will do will be for him.",0,['I am here because I want to be able to give back to my family and my community.']
"so, im here to complete school and walk across that stage for the both of us.",0,['I am here because I want to be able to give back to my family and my community.']
i am here to take this physics class so i can graduate with a degree from san francisco state university.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.']
i am studying physiology in hopes of going to medical school to become an oncologist.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.']
ive seen what good and bad doctors have done to people suffering from cancer and i would like to become someone that works in this field and treats their patients with care.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.']
"my first step to getting there is obtaining my undergraduate degree, which requires for me to past this physics 122 course.",0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.']
im currently in my fourth year which wont be my last since i will need another year to pass my majors required classes.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.']
i believe i will succeed in making my goal of becoming a doctor because i havent had anything stop me in the past.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.']
my parents were immigrants and teen parents so growing up i was at a disadvantage when it came to schools.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.']
living in a low income area of oakland made certain things to comeby.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.']
it was hard but my parents always prioritized school first for my sister and me.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.']
through them i was able to learn from school but from myself that i can succeed.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.']
i feel like i will pass this lab with ease since i was able to pass the previous lab without a problem!,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.']
student name phys122 journal reflection 1 why am i here? this is an interesting question.,0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']"
"in general, i would say that i am here because my parents both decided to emigrate to san francisco; my father came from lima, peru; my mother came from manila, philippines.",0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']"
there is a certain pressure put upon many first generation children to thrive for the sake of the family.,0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']"
ive been thinking about that a lot these past couple years.,0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']"
"i wonder how this pressure has affected my development, and in what ways (if any) do i plan to fulfill these generational wishes.",0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']"
"looking back, i would say this pressure to succeed for the family is a big part of why i studied stem in college instead of the regular hobbies i had growing up: literature and music.",0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']"
it seemed like the responsible decision to make.,0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']"
"the alternatives to being a scientist were to be a nurse, doctor, or a bit of a disappointment.",0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']"
"granted, this sounds like a concerning motivation for education, but i must now tell you that i still felt a sense of agency in this decision.",0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']"
it was my decision to study microbiology specifically.,0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']"
i purposely chose not to be a nurse.,1,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']"
after a couple internships in laboratories i found out just how much i love doing research.,0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']"
i find it therapeutic to deliberately and thoroughly research a single topic in the lab.,0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']"
"my long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.",1,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']"
i am here because i want to be.,0,"['I have a passion for babies and I myself when I was born, was born in a car, so I was incubated for about a month because I did not have much oxygen, so it was a scary moment for both my parents']"
"in terms of taking a physics lab, it is because it counts towards my major which is biology in concentration with physiology.",0,"['I have a passion for babies and I myself when I was born, was born in a car, so I was incubated for about a month because I did not have much oxygen, so it was a scary moment for both my parents']"
this is my second semester of physics and do i like it?,0,"['I have a passion for babies and I myself when I was born, was born in a car, so I was incubated for about a month because I did not have much oxygen, so it was a scary moment for both my parents']"
"not so much, because i did not have the best teacher my first semester and it was quite challenging for me.",0,"['I have a passion for babies and I myself when I was born, was born in a car, so I was incubated for about a month because I did not have much oxygen, so it was a scary moment for both my parents']"
"however, i am here because i have goals and i want to pursue a career in the medical field hopefully leading my way to becoming a neonatal doctor.",0,"['I have a passion for babies and I myself when I was born, was born in a car, so I was incubated for about a month because I did not have much oxygen, so it was a scary moment for both my parents']"
"i have a passion for babies and i myself when i was born, was born in a car, so i was incubated for about a month because i did not have much oxygen, so it was a scary moment for both my parents.",0,"['I have a passion for babies and I myself when I was born, was born in a car, so I was incubated for about a month because I did not have much oxygen, so it was a scary moment for both my parents']"
