sentence,label,phrase,updated_label,reasoning
"i am here because i want to better myself my family, not only financially but in health.",0,"['I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
being in this instituion will pave a way for me to become a professional.,0,"['I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i know that as a child i never thought of education and a career for someone who is undocumented.,0,"['I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"i hope to reach a position in which i can inspire and prove to all of the ""immigrants"" in the usa that achieving and surpassing struggle is possible.",1,"['I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Agreement with human label (1)."
"also, statistics have shown that people with higher education and wealth tend to be healthier.",0,"['I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
with my career diploma i can improve my health the health of my family.,0,"['I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am here at sfsu because i am a first generation student and i want to break the cycle in my family of not going to college.,0,"[""I want to help my community while I'm here""]",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
school has always helped me escape the hard things i live through everday.,0,"[""I want to help my community while I'm here""]",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
"as the oldest of 3 siblings, i want to be a role model and set a good example for my siblings.",0,"[""I want to help my community while I'm here""]",0,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i have always valued my education and i think its definitely the most important thing in my life.,0,"[""I want to help my community while I'm here""]",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i want to help my community while i'm here and become a better version of me.,1,"[""I want to help my community while I'm here""]",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Agreement with human label (1)."
i am here because i have goals that i want to achieve.,0,['I am here to set an example for my sisters and other young women in my life.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
