essay,label,phrase
"Why am I here? Well why does anyone pursue a higher education? to better one self and be able to succeed later on in life. Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else. I always wanted to be able to help people and I always had an intrest in medicine and the human body. I guess I here so I'll be able to help people in the future.",0,['0']
"I'm here because my parents came here during the vietnam war for a better life. I mean my mother wouldn't have been on a boat for 2 weeks for me to not work hard for a better life. She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well. I am also here because the formula to being successful is getting knowledge to do better, be better and to reinvent. I am here because I saw my mother struggle to feed my 7 siblings I. I'm here because I don't want to be poor.",0,['0']
"I am here because I want to better myself my family, not only financially but in health. Being in this instituion will pave a way for me to become a professional. I know that as a child I never thought of education and a career for someone who is undocumented. I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible. Also, statistics have shown that people with higher education and wealth tend to be healthier. With my career diploma I can improve my health the health of my family.",1,"['I know that as a child I never thought of education and a career for someone who is undocumented.', 'I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']"
"I am here at SFSU because I am a first generation student and I want to break the cycle in my family of not going to college. School has always helped me escape the hard things I live through everday. As the oldest of 3 siblings, I want to be a role model and set a good example for my siblings. I have always valued my education and I think its definitely the most important thing in my life. I want to help my community while I'm here and become a better version of me.",0,['0']
I am here to help myself grow. Learn and apply my skills to progress towards my career goal. Understand my purpose. Meet people who have (similar) aspirationsgoals Network Be helpful to experience explore Improve,0,['0']
"That depends how you define here. Why am I here in Sci 111? I'm here in Sci 111 because I want to successed in PHYS 111. More specifically I would like to be able to thrive not just survive. Why am I here at SFSU? The road to success was always college. You need to get a degree to get where you want to go. Specifically to me, my reasons for being here now have change. I'm now here to better myself whereas before it felt like I was blindly following. Why am I here in STEM? Hmmm.... I can't really think of where else I would be.",0,['0']
"I am here to better myself and hopefully give myself a better future. I am in this class because I want to pass physics and getting an A is part of that journey. Also the reason why I am here in San Francisco is to experience new things and figure myself out. Im a psychology major, however Im unsure what exactly I want to do with that, therefore Im taking a physics class which pretty unecessary for my major.",0,['0']
"I am here today because I skipped the lecture class and I need to come to SCi class to catch up what I missed today. Also, I am not good at math. I need to come to Sci class to help understand more in the lecture. I am in the SF state because I don't want to go out of the bay. It feels home when I study in SF state.",0,['0']
I am here in this class because I want a little extra help in my physics course. The reason I am taking physics is because it's a required course for my biology major. I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field. The reason I came to SF State is because I wante to be in a new environment away from where I'm from (LA). I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away,0,['0']
"to make a better future for myself and ultimately the world, as cheesy as that sounds. Im a very passionate person and thats why im here, to put this passion into my school to later help people. Science is the only thing that makes sense to me sometimes. Whenever im struggling I know I can fall back on science. to give you a better example, when in conversation with people and I feel as if I dont know what to say, I know I always have biology to talk about and take me back to my safe zone.",0,['0']
I am here because I have goals that I want to achieve. I am here to better myself for me and my family. I am here to become stronger mentally more educated. I am here to set an example for my sisters and other young women in my life. I was born in Mexico and my mom brought me here for a better future so she is who I do it all for.,0,['0']
"I am here at SFSU for a better future. A future where I don't have to struggle at the end of the month to pay bills or provide for my family. To achieve goals such as open up a homeless shelter pay for a house for my mother so that she doesn't have to work another day in her life. I aspire to become a doctor because I know that not only can I change my life, families, but also the people around me. As for why I am here in San Francisco, I moved away to isolate myself from any distractions that would cause me to not reach my highest potential.",0,['0']
To learn more about the natural world and build relationships with many diverse people who are as passionate as I am,0,['0']
"I am here for many reasons: Make myself proud happy getting education is a priveledge, knowledge is power! Lowkey school makes me happy. To help my community; I want to give back to all who have touched me. By going to school teaching this class, I am able to gain perspectives sufficient knowledge to provide a helping hand to all. For change, I am here to change my life others. Somewhow I will accomplish that by finding myself learning from others. For my loved ones These include my family, friends, my lover They all push me to achieve greatness, with their unwavering support, they give me power to stay grounded",0,['0']
"I am here to expand my knowledge of the world around me and to converse with my peers to grow as a person. I am excited to be here in SI because I get to give my students and peers what my SI facilitators have given to me: A safe place. A place to learn, to make mistakes, overcome challeneges, and that is safe for them to be themselves and to meet others. I am here to learn myself. This is a new adventure for me where I will make mistakes and learn from them. I am here to learn from my studentspeers and to grow from their feedbackadvice.",0,['0']
"Because I'm stressed about physics and I have no idea what's going on in class. I'm taking this class to get a good grade in physics and to understand the material. I'm taking Phys 111 112 lab and lec. I have 3 labs a week so it's hard trying to understand all the material. All of my classes are super stressful and I have the busiest schedule of my life. On top of that I'm an RA as well so that's always stressful. Also I'm trying to transfer next semester so I'm trying to get all my classes together, make sure I have enough credits to get in. Also doubting if I'm good enough or smart enough to excel at all these things at once. My intelligence is always questioned anywhere I go or any class I'm in so it's hard to stay motivated or drive to succeed because you feel like you're not enough.",0,['0']
"I'm here because I want to improve my understanding in physics. I haven't taken a physics course since high school therefore I'm a little rusty. I believe attending this SI course will develop and improve my overall understanding with material I may be struggling in. In the end, the goal is to achieve an A for my physics course. This is why I'm here.",0,['0']
"I'm here at this institution becauase in order to do what I want to be when I grow up, I need a college degree. Planning to become a physical therapist requires a degree or some form of education. That is the main reason I'm here. Another reason why I'm here is because of the college experience. After graduating high school there are three paths a person might take: work immediately, enroll into the military, or go back to school. So, I chose to go back to school.",0,['0']
I'm bad at math and physics is math. here to get a kin degree bc I find the subject interesting and I want to help people.,0,['0']
"Why am I here? Good question. I'm here because I want to become a doctor in the near future. I want to save lifes. I'm the first one in my family to go to college and even though it's taken me longer than I had hoped, I'm almost there. I don't want to give up because this is something that I really want to do. I'm here because I have a dream and I will accomplish it. I struggle and don't understand everything right away. It takes me time but I get it eventually. I want to be the first in my family to graduate and become a doctor. That's why I'm here.",0,['0']
I am here because I care about my community and to help empower those around me. I am here in the science community because I feel that my people (of color and being a female) are under represented. I want to contribute my knowledge that I've gain since I've been at SF State to those around me and become a role model for my younger cousins back where I'm from.I am also here because I want to gain new perspective from my peers because,1,['I am here in the science community because I feel that my people (of color and being a female) are under represented.']
I feel the importance of me being here is to better myself. Over time I actually didn't know if I would end up here but I love to be here. My dream is to get my masters and PHD in Psychology and I feel so much closer to that goal then any before. Gives me a clear view of what I want in life.,0,['0']
"This is question is super vague. To start of, I am here in this world because my mom wanted a child, specifically a daughter. I am here in this school because I did not want to go in to debt after college so I chose to go to San Francisco State University and not University of California, Santa Cruz, like I wanted to. I got into other California State Universities as well, but I was more familiar with San Francisco State because I've done an art exhibition here once and I knew a bunch of people in my after school program from my middle school that I admire that went to San Francisco State and I knew it was a pretty decent school. I am here in this class specifically because it's been almost six years since I've been in a Physics class and I know I am going to need all the help I can get. I have taken SCI courses for my other science and math classes, and I have learned a lot from my SCI instructors regarding class material. Along with this, SCI is also an easy way for me to get an A and boost my GPA.",0,['0']
"I am in this Sci 111 class, because I have never taken physics in high school and I know that physics requires a lot of math in which I am very weak in. I hope to receive a lot of practice problems, since I learned better by doing than just watching. I also really want to understand the basic concepts of physics, because I will be taking physics 2 next semester. Since I have never taken any kind of physics class, the topic does kind of scare me, and knowing that its based on algebra, trigonometry, and geometry does make me nervous. Even though physics it not necessarily part of my biology major, I do believe it explains a lot of what happens in the universe. Its also comforting that people are in the same boat as me in needing additional help. To be completely honest, I prefer just sitting down in groups and try to work on the problems together rather than moving around from table to table. Focusing on problems with a small amount of people feels more productive to me personally. Basically my main point in being in this class is to get more practice in and to make me less nervous in solving certain problems.",0,['0']
"The reason why I am here is because I want to achieve more out of life. I started working right out of high school and it took me a few years to really gain the motivation to go back to school and transfer from my community college. Initially, my motivation was very revolved around myself and proving others wrong, but eventually that motivation bloomed into proving to myself that I can and will continue to improve myself not only through school, but through life as well. I am taking this sci class (aside from the fact that it is mandatory for me), because I really need that extra push to set aside time to focus on strengthening my knowledge in physics. Although I am not a physics major, I need this class and physics 2 in order to get my undergraduate degree. I am also here for my family; more specifically my parents, but my entire family has been such a solid support system for me that I need to do this for them too. My parents have never forced me to do anything I didnt want to do, but always supported the career choices or academic choices I decided on.",0,['0']
"Why am I here? I guess that's a question I ask myself pretty frequently. Not in the literal sense of ""Why am in this class."" The answer to that is simple, If i'm in SCI then I'll probably get a good grade in physics and a good grade in physics translates to a good GPA, and that will matter when I want to go to med school. But in more of a metaphysical sense... like why are WE here, and I think that is a question that does require more thought. Why do we exist? In the grand scheme of things we're tiny insignificant particles in this potential multiverse... you might not even be the BEST version of YOURSELF. But still we or I continue to act like these smaller things seem to matter. And my theory for that is that we DO exist for a reason. We exist because we have the potential to create great change. Think about it geniuses like Einstein or Sports phenoms like Lebron James matter to US. Even though they have nothing to do with us we admire them because of their will and their potential to or ability to do things we hadn't seen before. That is what I believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably THE MOST IMPORTANT thing anyone can do. And because of that I believe the reason we exist is or the reason we are ""here"" is to live up to our potential.",0,['0']
"This is my second time taking physics. The first time I took it was two semesters ago and I failed the class. (I got an A in the lab) While my teacher was very smart, she was new to teaching and I think she was very bad at it. She did not know how to teach the students in a way that we would be able to learn the concept. My professor would go extremely fast, and would assume we know the concepts we previously learned in high school. While I know that pre calculus is a prerequisite for this class, she did an awful job at explaining the concepts. I went to her office hours but everytime I would go, she would talk down upon me, so I stopped going after about 4 visits and went to CARP instead.unfortunately CARP wasn't too helpful because the tutors didn't really know what we were learning in class and therefore, even after looking at my notes, didn't really teach the concept to me. I studied a couple times with people in my class but not enough. I think everyone was a little lost in my class. After the first exam, only 6 of the class passed with a grade of D or higher. I should have dropped the class, it was a very frustration experience, but I waited it out because I thought that if I studied enough, went to office hours enough, that I would pass. This semester I want to prove to myself that I am smart and capable of passing this class with an A. I want to actually learn the concepts and not come into class everyday confused and lost. I hope that this supplemental class will introduce me to new people to maybe from a study group with. I also hope that The supplemental class will enforce what we learn in class and help me better apply formulas to the word problems we have for homework.",0,['0']
"I am here because i need help with subject and i dont understand how this class works. This whole time i wanna meet new people too because i dont wanna be alone in getting help. Umm to be honest with you i dont how to keep this up for another 150 words. My reason is pretty simple, but I can talk about the class so far its really cool. I really enjoy the energetic vibe of the class and how open everyone is as well. Also we are all helpful too like i feel comfortable the person next to me that im dumb and i dont get whats going on at all and be okay to someone that. Uhh the tutors are really cool and nice even though i forgot Casey name P.S. Im sorry Casey lol. Oh also thank you for the snacks i was really hungry and you guys came in clutch with the food too. This is super long i really have no idea what else to talk about soooo. I just need twentythree more wordseighteen now. This is really all i can think of right now as to why im here and additionally how its been going so far the past 3 weeks.",0,['0']
