sentence,label,phrase,updated_label,review,comments
reflection 1: why am i here?,0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']",0,No clear tangible or intrinsic goal.,Lacks specific or intrinsic motivation.
"why am i here? is quite a general question that can be taken in many directions, but i assume that it is intended for us to make our connections to this class.",0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']",0,No clear tangible or intrinsic goal.,Lacks specific or intrinsic motivation.
"for me personally, i am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study.",0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']",0,,No update; unclear theme alignment.
"more specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.",1,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']",1,,No update; unclear theme alignment.
sports have always been a big part of my life ever since i was in elementary school and i have played in a couple basketball leagues growing up.,0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']",0,,No update; unclear theme alignment.
"this fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology.",0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']",0,,No update; unclear theme alignment.
"particularly, it was all the injuries that i have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.",0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']",0,,No update; unclear theme alignment.
i am here because my future goal is to heal people.,0,"['I am here because my future goal is to heal people. I would like to become a physical therapist, specifically for athletes.']",0,,No update; unclear theme alignment.
i am taking this course as a prereq for the kin major.,0,"['I am here because my future goal is to heal people. I would like to become a physical therapist, specifically for athletes.']",0,,No update; unclear theme alignment.
"i would like to become a physical therapist, specifically for athletes.",0,"['I am here because my future goal is to heal people. I would like to become a physical therapist, specifically for athletes.']",0,,No update; unclear theme alignment.
i am very passionate about sports and being in that atmosphere will keep me motivated and able to understand the physical and mental struggles that athletes go through.,0,"['I am here because my future goal is to heal people. I would like to become a physical therapist, specifically for athletes.']",0,,No update; unclear theme alignment.
karla martinez why i am here?,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],0,,No update; unclear theme alignment.
one of the main reasons why i am here is because i want to help my family.,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],0,,No update; unclear theme alignment.
i want to have the opportunity to have a stable job and be able to support my family economically.,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],0,,No update; unclear theme alignment.
i am also here because i want to have the opportunity to finish college something that my parents were not able to do it because they didnt have the money or the support.,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],0,,No update; unclear theme alignment.
i want to be the first one from my family to graduate from college.,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],0,,No update; unclear theme alignment.
i am also here because i want to be a nurse.,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],0,,No update; unclear theme alignment.
i always wanted to study medicine and help people.,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],1,Updated to 1 for clear personal aspiration or specific goal.,
become a nurse has always been my dream job and i hope to make it real even though sometimes is hard to keep going but not impossible.,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.'],0,,No update; unclear theme alignment.
jose castillo reflection honestly im only here because is part of my requirement for my major.,0,['Also part of it is for my mom Im only here because im just trying to make her proud and also make myself proud that I can get a degree. Hopefully im able to graduated in 4 years just because I do want to work for my master degree in the future I feel like its going to benefit me and especially for my mom and family.'],0,,No update; unclear theme alignment.
also part of it is for my mom im only here because im just trying to make her proud and also make myself proud that i can get a degree.,0,['Also part of it is for my mom Im only here because im just trying to make her proud and also make myself proud that I can get a degree. Hopefully im able to graduated in 4 years just because I do want to work for my master degree in the future I feel like its going to benefit me and especially for my mom and family.'],0,,No update; unclear theme alignment.
not going to lie sometimes i dont feel like i can just because most of the classes are hard and especially doing every class online makes it harder for me.,0,['Also part of it is for my mom Im only here because im just trying to make her proud and also make myself proud that I can get a degree. Hopefully im able to graduated in 4 years just because I do want to work for my master degree in the future I feel like its going to benefit me and especially for my mom and family.'],0,,No update; unclear theme alignment.
honestly dont even know how long im going to be here it really depends how much effort in time i actually put in all my classes.,0,['Also part of it is for my mom Im only here because im just trying to make her proud and also make myself proud that I can get a degree. Hopefully im able to graduated in 4 years just because I do want to work for my master degree in the future I feel like its going to benefit me and especially for my mom and family.'],0,,No update; unclear theme alignment.
hopefully im able to graduated in 4 years just because i do want to work for my master degree in the future i feel like its going to benefit me and especially for my mom and family.,0,['Also part of it is for my mom Im only here because im just trying to make her proud and also make myself proud that I can get a degree. Hopefully im able to graduated in 4 years just because I do want to work for my master degree in the future I feel like its going to benefit me and especially for my mom and family.'],0,,No update; unclear theme alignment.
overall taking this class and so many other labs its not bad i mean i dont usually do good but it does help you learned new things that you havent before and thats something im trying to expend my mindset and what i can get out of in order to help me in the long run.,0,['Also part of it is for my mom Im only here because im just trying to make her proud and also make myself proud that I can get a degree. Hopefully im able to graduated in 4 years just because I do want to work for my master degree in the future I feel like its going to benefit me and especially for my mom and family.'],0,,No update; unclear theme alignment.
i am here because i am a prekinesiology major and it is a prerequisite for my major.,0,"['I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",0,,No update; unclear theme alignment.
i am a prekinesiology major hopefully a kinesiology major next fall because i hope to be a physical therapist in the near future.,0,"['I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",0,,No update; unclear theme alignment.
i am taking this class because i am also in physics lecture and intriguing and it seemed interesting.,0,"['I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",0,,No update; unclear theme alignment.
i hope to get knowledge from this class that will better prepare myself for the kinesiology courses i will be needing to take next school year.,0,"['I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",0,,No update; unclear theme alignment.
"i am trying to get all my general education courses as well as a few prerequisite courses because i am also interested in getting a business minor, so i need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.",0,"['I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",0,,No update; unclear theme alignment.
estefan dinarte 9102020 phys 102 why am i here i am here because i would like to fu rther my knowledge and education.,0,['I am here because I would like to fu rther my knowledge and education. My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist.'],0,No clear tangible or intrinsic goal.,Lacks specific or intrinsic motivation.
my major is kinesiology and physics is a pre requisite for m y end goal of be coming a physical therapist.,0,['I am here because I would like to fu rther my knowledge and education. My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist.'],0,,No update; unclear theme alignment.
i also enjoy the team work an d bondi ng aspect s of lab because it is a great way to make new friends an d connections.,0,['I am here because I would like to fu rther my knowledge and education. My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist.'],0,,No update; unclear theme alignment.
"physics will teach me interesting and useful knowledge like motion and behavior through space and time , and the related entities of energy and force.",0,['I am here because I would like to fu rther my knowledge and education. My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist.'],0,,No update; unclear theme alignment.
being here is also important for my growth and development.,0,['I am here because I would like to fu rther my knowledge and education. My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist.'],0,,No update; unclear theme alignment.
"without educati on and a diploma to show for it, it is difficult to find a stable job and have that financial freedom.",0,['I am here because I would like to fu rther my knowledge and education. My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist.'],0,,No update; unclear theme alignment.
"all in all, i am here because it is a pre requisite but i also enjo y the ext ra knowledge to further enhance my brain.",0,['I am here because I would like to fu rther my knowledge and education. My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist.'],0,,No update; unclear theme alignment.
i think the reason that i am here is to complete my physics classes.,0,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0,,No update; unclear theme alignment.
"i took the lecture last semester and i did just fine in that class, although it sucked that i had to finish that class online.",0,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0,,No update; unclear theme alignment.
that is what screwed my grade up last minute.,0,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0,,No update; unclear theme alignment.
