sentence,label,phrase,updated_label,review,comments
why am i here?,0,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else.""]",0,No clear tangible or intrinsic goal.,Lacks specific or intrinsic motivation.
well why does anyone pursue a higher education?,0,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else.""]",0,No clear tangible or intrinsic goal.,Lacks specific or intrinsic motivation.
to better one self and be able to succeed later on in life.,0,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else.""]",1,Updated to 1 for clear intrinsic goal.,
"ever since i was little i wanted to be a doctor, so much so that i can't see myself doing anything else.",1,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else.""]",1,,No update; unclear theme alignment.
i always wanted to be able to help people and i always had an intrest in medicine and the human body.,0,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else.""]",1,Updated to 1 for clear personal aspiration or specific goal.,
i guess i here so i'll be able to help people in the future.,0,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else.""]",1,Updated to 1 for clear personal aspiration or specific goal.,
i am here to better myself and hopefully give myself a better future.,0,['I am in this class because I want to pass physics and getting an A is part of that journey.'],0,,No update; unclear theme alignment.
i am in this class because i want to pass physics and getting an a is part of that journey.,1,['I am in this class because I want to pass physics and getting an A is part of that journey.'],1,,No update; unclear theme alignment.
also the reason why i am here in san francisco is to experience new things and figure myself out.,0,['I am in this class because I want to pass physics and getting an A is part of that journey.'],0,,No update; unclear theme alignment.
"im a psychology major, however im unsure what exactly i want to do with that, therefore im taking a physics class which pretty unecessary for my major.",0,['I am in this class because I want to pass physics and getting an A is part of that journey.'],0,,No update; unclear theme alignment.
i am here in this class because i want a little extra help in my physics course.,0,['I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.'],0,,No update; unclear theme alignment.
the reason i am taking physics is because it's a required course for my biology major.,0,['I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.'],0,,No update; unclear theme alignment.
i am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.,1,['I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.'],1,,No update; unclear theme alignment.
the reason i came to sf state is because i wante to be in a new environment away from where i'm from (la).,0,['I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.'],0,,No update; unclear theme alignment.
i knew this step was going to be an important step in my life because i was the first in my family to go to college and especially away,0,['I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.'],0,,No update; unclear theme alignment.
i am here at sfsu for a better future.,0,"['I aspire to become a doctor', 'To achieve goals such as open up a homeless shelter']",0,,No update; unclear theme alignment.
a future where i don't have to struggle at the end of the month to pay bills or provide for my family.,0,"['I aspire to become a doctor', 'To achieve goals such as open up a homeless shelter']",0,,No update; unclear theme alignment.
to achieve goals such as open up a homeless shelter pay for a house for my mother so that she doesn't have to work another day in her life.,1,"['I aspire to become a doctor', 'To achieve goals such as open up a homeless shelter']",1,,No update; unclear theme alignment.
"i aspire to become a doctor because i know that not only can i change my life, families, but also the people around me.",1,"['I aspire to become a doctor', 'To achieve goals such as open up a homeless shelter']",1,,No update; unclear theme alignment.
"as for why i am here in san francisco, i moved away to isolate myself from any distractions that would cause me to not reach my highest potential.",0,"['I aspire to become a doctor', 'To achieve goals such as open up a homeless shelter']",0,,No update; unclear theme alignment.
i'm here because i want to improve my understanding in physics.,0,"['In the end, the goal is to achieve an A for my physics course.']",0,,No update; unclear theme alignment.
i haven't taken a physics course since high school therefore i'm a little rusty.,0,"['In the end, the goal is to achieve an A for my physics course.']",0,,No update; unclear theme alignment.
i believe attending this si course will develop and improve my overall understanding with material i may be struggling in.,0,"['In the end, the goal is to achieve an A for my physics course.']",0,,No update; unclear theme alignment.
"in the end, the goal is to achieve an a for my physics course.",1,"['In the end, the goal is to achieve an A for my physics course.']",1,,No update; unclear theme alignment.
this is why i'm here.,0,"['In the end, the goal is to achieve an A for my physics course.']",0,,No update; unclear theme alignment.
