sentence,label,phrase
i am here at sfsu because i am a first generation student and i want to break the cycle in my family of not going to college.,1,['I am here at SFSU because I am a first generation student']
school has always helped me escape the hard things i live through everday.,0,['I am here at SFSU because I am a first generation student']
"as the oldest of 3 siblings, i want to be a role model and set a good example for my siblings.",0,['I am here at SFSU because I am a first generation student']
i have always valued my education and i think its definitely the most important thing in my life.,0,['I am here at SFSU because I am a first generation student']
i want to help my community while i'm here and become a better version of me.,0,['I am here at SFSU because I am a first generation student']
i am here in this class because i want a little extra help in my physics course.,0,['I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away']
the reason i am taking physics is because it's a required course for my biology major.,0,['I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away']
i am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.,0,['I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away']
the reason i came to sf state is because i wante to be in a new environment away from where i'm from (la).,0,['I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away']
i knew this step was going to be an important step in my life because i was the first in my family to go to college and especially away,1,['I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away']
why am i here?,0,"[""I'm the first one in my family to go to college""]"
i'm here because i want to become a doctor in the near future.,0,"[""I'm the first one in my family to go to college""]"
i want to save lifes.,0,"[""I'm the first one in my family to go to college""]"
"i'm the first one in my family to go to college and even though it's taken me longer than i had hoped, i'm almost there.",1,"[""I'm the first one in my family to go to college""]"
i don't want to give up because this is something that i really want to do.,0,"[""I'm the first one in my family to go to college""]"
i'm here because i have a dream and i will accomplish it.,0,"[""I'm the first one in my family to go to college""]"
i struggle and don't understand everything right away.,0,"[""I'm the first one in my family to go to college""]"
it takes me time but i get it eventually.,0,"[""I'm the first one in my family to go to college""]"
i want to be the first in my family to graduate and become a doctor.,0,"[""I'm the first one in my family to go to college""]"
that's why i'm here.,0,"[""I'm the first one in my family to go to college""]"
i am here because i am a first generation college student and i am interested in the medical field.,1,['I am here because I am a first generation college student']
i have always had a passion to help people and i believe the medical field is the best way to fulfill my passion.,0,['I am here because I am a first generation college student']
i want to show all the minorities that you can do it too.,0,['I am here because I am a first generation college student']
i want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.,0,['I am here because I am a first generation college student']
i feel very welcome here at san francisco state and i believe that this is a very friendly and helpful place to learn especially as a premed student with a lot of opportunities that we have available.,0,['I am here because I am a first generation college student']
i feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.,0,['I am here because I am a first generation college student']
"as a second year, i can not imagine myself being at no other college and feeling very comfortable like i do here to get to my career path in the medical field.",0,['I am here because I am a first generation college student']
becoming a doctor has been a lifelong dream of mine and i plan on enjoying my journey with amazing opportunities here at sfsu.,0,['I am here because I am a first generation college student']
i am here because i always wanted to be involved in the stem field ever since i have been a little kid.,0,['first in my family to be able to go to college']
i was first brought in the stem field when my mother brought me a book about the solar system and the formation of the planets and moons in the solar system.,0,['first in my family to be able to go to college']
this sparked a natural curiosity inside of me to pursue this knowledge further.,0,['first in my family to be able to go to college']
another reason why i am here is that i would be the first in my family to be able to go to college and pursue a degree in biology.,1,['first in my family to be able to go to college']
"also, i am an african american male, and there is not a great representation in the stem fields, and i want to help change that perception.",0,['first in my family to be able to go to college']
"eventually, when i attended high school, i was apart of an internship at the california academy of sciences as an education intern who would teach people about the various scientific topics that are discussed here.",0,['first in my family to be able to go to college']
"during my time there, i started to get more involved with the many biology departments which allow me to set up mentorships with the researchers to develop a love for biology because i have an interest in learning how biology works for the creation of all things that are living on the planet.",0,['first in my family to be able to go to college']
i am here because i am a first generation student and i want to make my parents proud.,1,['i am a first generation student']
i am so privileged to be able to be going to college and be able to further my education.,0,['i am a first generation student']
i want to finish college and then go to medial school and be able to become a obgyn doctor!,0,['i am a first generation student']
helping woman and being able to help and see the a human be created and form is so amazing to me and i find it super interesting and i am hoping that being able to go to college and doing good in all my classes will help me with my dreams come true.,0,['i am a first generation student']
i am very lucky to be in such an amazing school and that my parents are able to help me and support me every step of the way.,0,['i am a first generation student']
my sister wasnt able to go to a four year so for my family me being in a four year school is amazing and the fact that im the first from my family is amazing and i dont want to let them down.,0,['i am a first generation student']
i am taking this class for extra help because i want to do really good and i want to be able to understand and pass the class with a good grade and actually understand it so that i can do good in the next physics class that i have to take in the future.,0,['i am a first generation student']
i am a first generation college student and i am here to prepare myself for my future in teaching special education.,1,['I am a first generation college student']
i came here from texas in order to experience life in a different place and try something new.,0,['I am a first generation college student']
