Alma ID,Essay: Why I am here?,Navigational
S18.W2.111.01.03,"I am here because I want to better myself & my family, not only financially but in health. Being in this instituion will pave a way for me to become a professional. I know that as a child I never thought of education and a career for someone who is undocumented. I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible. Also, statistics have shown that people with higher education and wealth tend to be healthier. With my career & diploma I can improve my health & the health of my family. ",Being in this instituion will pave a way for me to become a professional.
S18.W2.111.01.05," I am here to help myself grow.
- Learn and apply my skills to progress towards my career goal.
- Understand my purpose.
- Meet people who have (similar) aspirations/goals
- Network
- Be helpful
- to experience & explore
- Improve",- Learn and apply my skills to progress towards my career goal.
S18.W2.111.01.06,"That depends how you define here. Why am I here in Sci 111? I'm here in Sci 111 because I want to successed in PHYS 111. More specifically I would like to be able to thrive not just survive. Why am I here at SFSU? The road to success was always college. You need to get a degree to get where you want to go. Specifically to me, my reasons for being here now have change. I'm now here to better myself whereas before it felt like I was blindly following. Why am I here in STEM? Hmmm.... I can't really think of where else I would be.",The road to success was always college. You need to get a degree to get where you want to go.
S18.W2.111.01.07,"I am here to better myself and hopefully give myself a better future. I am in this class because I want to pass physics and getting an A is part of that journey. Also the reason why I am here in San Francisco is to experience new things and figure myself out. Im a psychology major, however Im unsure what exactly I want to do with that, therefore Im taking a physics class which pretty unecessary for my major.",I am in this class because I want to pass physics and getting an A is part of that journey.  /%/ Also the reason why I am here in San Francisco is to experience new things and figure myself out.
S18.W2.111.01.09,I am here in this class because I want a little extra help in my physics course. The reason I am taking physics is because it's a required course for my biology major. I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field. The reason I came to SF State is because I wante to be in a new environment away from where I'm from (LA). I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away,The reason I am taking physics is because it's a required course for my biology major. I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.  /%/ The reason I came to SF State is because I wante to be in a new environment away from where I'm from (LA). I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away
S18.W2.111.01.10,"to make a better future for myself and ultimately the world, as cheesy as that sounds. Im a very passionate person and thats why im here, to put this passion into my school to later help people. Science is the only thing that makes sense to me sometimes. Whenever im struggling I know I can fall back on science. to give you a better example, when in conversation with people and I feel as if I dont know what to say, I know I always have biology to talk about and take me back to my safe zone.","Whenever im struggling I know I can fall back on science. to give you a better example, when in conversation with people and I feel as if I dont know what to say, I know I always have biology to talk about and take me back to my safe zone."
S18.W2.111.01.12,"I am here at SFSU for a better future. A future where I don't have to struggle at the end of the month to pay bills or provide for my family. To achieve goals such as open up a homeless shelter & pay for a house for my mother so that she doesn't have to work another day in her life. I aspire to become a doctor because I know that not only can I change my life, families, but also the people around me. As for why I am here in San Francisco, I moved away to isolate myself from any distractions that would cause me to not reach my highest potential.","As for why I am here in San Francisco, I moved away to isolate myself from any distractions that would cause me to not reach my highest potential."
S18.W2.111.01.16,"Because I'm stressed about physics and I have no idea what's going on in class. I'm taking this class to get a good grade in physics and to understand the material. I'm taking Phys 111 & 112 lab and lec. I have 3 labs a week so it's hard trying to understand all the material. All of my classes are super stressful and I have the busiest schedule of my life. On top of that I'm an RA as well so that's always stressful. Also I'm trying to transfer next semester so I'm trying to get all my classes together, make sure I have enough credits to get in. Also doubting if I'm good enough or smart enough to excel at all these things at once. My intelligence is always questioned anywhere I go or any class I'm in so it's hard to stay motivated or drive to succeed because you feel like you're not enough. ","I'm trying to transfer next semester so I'm trying to get all my classes together, make sure I have enough credits to get in."
S18.W2.111.01.17,"I'm here because I want to improve my understanding in physics. I haven't taken a physics course since high school therefore I'm a little rusty. I believe attending this SI course will develop and improve my overall understanding with material I may be struggling in. In the end, the goal is to achieve an A for my physics course. This is why I'm here."," I haven't taken a physics course since high school therefore I'm a little rusty. I believe attending this SI course will develop and improve my overall understanding with material I may be struggling in. In the end, the goal is to achieve an A for my physics course. "
S18.W2.111.01.18,"I'm here at this institution becauase in order to do what I want to be when I grow up, I need a college degree. Planning to become a physical therapist requires a degree or some form of education. That is the main reason I'm here. Another reason why I'm here is because of the college experience. After graduating high school there are three paths a person might take: work immediately, enroll into the military, or go back to school. So, I chose to go back to school.","I'm here at this institution becauase in order to do what I want to be when I grow up, I need a college degree. Planning to become a physical therapist requires a degree or some form of education. That is the main reason I'm here. /-/ After graduating high school there are three paths a person might take: work immediately, enroll into the military, or go back to school. So, I chose to go back to school."
