Alma ID,Essay: Why I am here?,Perseverance
S18.W2.111.01.04,"I am here at SFSU because I am a first generation student and I want to break the cycle in my family of not going to college. School has always helped me escape the hard things I live through everday. As the oldest of 3 siblings, I want to be a role model and set a good example for my siblings. I have always valued my education and I think its definitely the most important thing in my life. I want to help my community while I'm here and become a better version of me.",School has always helped me escape the hard things I live through everday.
S18.W2.111.01.15,"- I am here to expand my knowledge of the world around me and to converse with my peers to grow as a person.
- I am excited to be here in SI because I get to give my students and peers what my SI facilitators have given to me: A safe place. A place to learn, to make mistakes, overcome challeneges, and that is safe for them to be themselves and to meet others.
- I am here to learn myself. This is a new adventure for me where I will make mistakes and learn from them. I am here to learn from my students/peers and to grow from their feedback/advice.","A place to learn, to make mistakes, overcome challeneges /%/ This is a new adventure for me where I will make mistakes and learn from them."
S18.W2.111.01.20,"Why am I here? Good question. I'm here because I want to become a doctor in the near future. I want to save lifes. I'm the first one in my family to go to college and even though it's taken me longer than I had hoped, I'm almost there. I don't want to give up because this is something that I really want to do. I'm here because I have a dream and I will accomplish it. I struggle and don't understand everything right away. It takes me time but I get it eventually. I want to be the first in my family to graduate and become a doctor. That's why I'm here.","even though it's taken me longer than I had hoped, I'm almost there. I don't want to give up because this is something that I really want to do. I'm here because I have a dream and I will accomplish it. I struggle and don't understand everything right away. It takes me time but I get it eventually."
F18.SCI111.03.03,"The reason why I am here is because I want to achieve more out of life. I started working right out of high school and it took me a few years to really gain the motivation to go back to school and transfer from my community college. Initially, my motivation was very revolved around myself and proving others wrong, but eventually that motivation bloomed into proving to myself that I can and will continue to improve myself not only through school, but through life as well. I am taking this sci class (aside from the fact that it is mandatory for me), because I really need that extra push to set aside time to focus on strengthening my knowledge in physics. Although I am not a physics major, I need this class and physics 2 in order to get my undergraduate degree. I am also here for my family; more specifically my parents, but my entire family has been such a solid support system for me that I need to do this for them too. My parents have never forced me to do anything I didn’t want to do, but always supported the career choices or academic choices I decided on.","Initially, my motivation was very revolved around myself and proving others wrong, but eventually that motivation bloomed into proving to myself that I can and will continue to improve myself not only through school, but through life as well."
F18.SCI111.03.05,"This is my second time taking physics. The first time I took it was two semesters ago and I failed the class. (I got an A+ in the lab) While my teacher was very smart, she was new to teaching and I think she was very bad at it. She did not know how to teach the students in a way that we would be able to learn the concept. My professor would go extremely fast, and would assume we know the concepts we previously learned in high school. While I know that pre calculus is a prerequisite for this class, she did an awful job at explaining the concepts. I went to her office hours but everytime I would go, she would talk down upon me, so I stopped going after about 4 visits and went to CARP instead.unfortunately CARP wasn't too helpful because the tutors didn't really know what we were learning in class and therefore, even after looking at my notes, didn't really teach the concept to me. I studied a couple times with people in my class but not enough. I think everyone was a little lost in my class.  After the first exam, only 6% of the class passed with a grade of D or higher. I should have dropped the class, it was a very frustration experience, but I waited it out because I thought that if I studied enough, went to office hours enough, that I would pass. This semester I want to prove to myself that I am smart and capable of passing this class with an A. I want to actually learn the concepts and not come into class everyday confused and lost. I hope that this supplemental class will introduce me to new people to maybe from a study group with. I also hope that The supplemental class will enforce what we learn in class and help me better apply formulas to the word problems we have for homework.",This is my second time taking physics. The first time I took it was two semesters ago and I failed the class. (I got an A+ in the lab) /-/ This semester I want to prove to myself that I am smart and capable of passing this class with an A. I want to actually learn the concepts and not come into class everyday confused and lost. 
F18.SCI111.03.07,"I decided to take Sci 111 because I struggled with physics in high school. I barely managed to pass high school physics and I felt I learned nothing. I am someone who loves interacting with people, and I like working in groups. I feel like it is much easier to find a solution to a problem if lots of minds are put together. Sci provides the opportunity to interact with a diverse group of students who all come from different backgrounds, who all bring different perspectives and ideas. I hope to pass physics this semester but most importantly I hope to understand the concepts I am learning. I enjoy learning new things everyday. I am someone who is very curious and has always asked questions. I guess I try to understand the world around me and understand how things work. Science is a subject I have always found interesting, but difficult. It was not until, I started college that I realized my passion for biology, and decided to major in biology. I used to always be a quitter, and very early on in high school I decided that I was not smart enough to understand science but I have learned that dedication, passion, and hard work are key.","I used to always be a quitter, and very early on in high school I decided that I was not smart enough to understand science but I have learned that dedication, passion, and hard work are key."
F18.SCI111.03.11,"  I chose to be in this class because no matter how smart you are, no matter how much you know in the course you think you are doing the best at, there is always room for improvement. There’s always space to open your doors for more room for knowledge. I am all about learning and wanting to do better and better in all that I do and I know this course is perfect for that. I know it is called a “supplemental” course to help us do better in a certain class, but I like how it is open to everyone even if you get 100% on every exam or quiz or whatever it is that you do in that class. Another reason I am here is because I want to be able to help others by learning something myself. I feel like this opens opportunities to be friends with someone who is on the same path as you and this is an easy way to get to know others around you and to be able to surround yourself with others who are just like you. I am very grateful and blessed to even be able to take such a course.","I chose to be in this class because no matter how smart you are, no matter how much you know in the course you think you are doing the best at, there is always room for improvement."
F18.SCI111.03.19,"I am here because one I never took this in high school so I was new to physics and two I am retaking this class. I have found physics to be very difficult and I am hoping this class will help me pass physics. I don’t want to fail again and I also would like to understand it. I know it’s important to know on the MCAT. I want to be able to know about some physics to help me pass that test. I also think this class is a good opportunity to create study groups and make new friends in my major. You learn more when you teach others how to do something or if you’re learning by another student who is taking the same class. I also feel like it was a good idea for me to take this class because it will help me understand physics a lot better. Physics isn’t an easy subject to learn. A lot of people have told me they had to retake it. It is my weakness in school. I am a big fan of math but for some reason physics doesn’t stick to my brain. I’m hoping this time around, it will work out for me.",I have found physics to be very difficult and I am hoping this class will help me pass physics
 F18.SI.111.04.01,"Throughout my entire life I have dreamt about working in the medical field. I am here to make those dreams come true. It started as one of those careers that elementary school kids talk about when their teacher asks them what they want to be in the future, and my answer was always a brain surgeon, because how awesome does that sound. But this dream ended up sticking with me for the duration of my educational career and is the reason that I am attending San Francisco State today. Unfortunately I no longer want to be a brain surgeon, but I have finally decided that I want to study anesthesiology. I find the field to be very interesting to me and I can see myself enjoying it for the rest of my life. However, I need to make it through a long hard path of schooling to chase this dream. Throughout my educational career I have easily succeed in biology and chemistry courses because they comes naturally to me. Math always gives me a little trouble, but I get a hang of it after pushing myself to do the best I can. But then there's physics. I have never taken a physics course in my life and it makes me very anxious because there are a number of people that have seen what we are covering previously and I have never seen any of it. This is why I decided to sign up for SCI 111 and receive the extra help I knew was necessary in order for me to pass this class. I have heard nothing but good things about these classes, and so far what I have heard is true. I am here to build off of what we learn in class, ask questions about topics that I am not understanding, and to build study groups/relationships with my fellow peers. Looking forwards to a great and productive semester. ","Math always gives me a little trouble, but I get a hang of it after pushing myself to do the best I can. This is why I decided to sign up for SCI 111 and receive the extra help I knew was necessary in order for me to pass this class."
 F18.SI.111.04.02,"I am in this class because I am not good at math. I have been in a sci class before for chemistry 1 and it helped me almost get an A in my class. I know physics is very math heavy and conceptually confusing, so I knew sci would be perfect for me this semester. I also have to take physics 2 next semester so I would like to have a firm understanding of the basic concepts before they get even more complicated. This class is a great way of studying and making friends that I can study with! I have already made a group to study with, we all have different teachers and can help each other figure out things one teacher might have focused on more than another. This class also allows us to concentration on the topics we did not understand in the class. It allows us to dig deeper into each subject and truly understand the things we might have missed before. I hope that by the end of this semester that I can get a better grade than without the sci classes help, and be able to go into physics 2 with confidence and the knowledge needed to do well there as well. (And if not I will just come back to sci and get some extra help) ","I am in this class because I am not good at math. /-/ I know physics is very math heavy and conceptually confusing, so I knew sci would be perfect for me this semester. I also have to take physics 2 next semester so I would like to have a firm understanding of the basic concepts before they get even more complicated. /-/ I hope that by the end of this semester that I can get a better grade than without the sci classes help, and be able to go into physics 2 with confidence and the knowledge needed to do well there as well."
