sentence,label,phrase
i am here to help myself grow.,0,"['Meet people who have (similar) aspirationsgoals', 'Network']"
learn and apply my skills to progress towards my career goal.,0,"['Meet people who have (similar) aspirationsgoals', 'Network']"
understand my purpose.,0,"['Meet people who have (similar) aspirationsgoals', 'Network']"
meet people who have (similar) aspirationsgoals network be helpful to experience explore improve,1,"['Meet people who have (similar) aspirationsgoals', 'Network']"
to learn more about the natural world and build relationships with many diverse people who are as passionate as i am,1,['I am here to learn and build relationships with many diverse people who are as passionate as I am']
"i am here for many reasons: make myself proud happy getting education is a priveledge, knowledge is power!",0,['Somewhow I will accomplish that by finding myself learning from others.']
lowkey school makes me happy.,0,['Somewhow I will accomplish that by finding myself learning from others.']
to help my community; i want to give back to all who have touched me.,0,['Somewhow I will accomplish that by finding myself learning from others.']
"by going to school teaching this class, i am able to gain perspectives sufficient knowledge to provide a helping hand to all.",0,['Somewhow I will accomplish that by finding myself learning from others.']
"for change, i am here to change my life others.",0,['Somewhow I will accomplish that by finding myself learning from others.']
somewhow i will accomplish that by finding myself learning from others.,1,['Somewhow I will accomplish that by finding myself learning from others.']
"for my loved ones these include my family, friends, my lover they all push me to achieve greatness, with their unwavering support, they give me power to stay grounded",0,['Somewhow I will accomplish that by finding myself learning from others.']
i am here to expand my knowledge of the world around me and to converse with my peers to grow as a person.,0,"['I am excited to be here in SI because I get to give my students and peers what my SI facilitators have given to me', 'I am here to learn from my studentspeers and to grow from their feedbackadvice.']"
i am excited to be here in si because i get to give my students and peers what my si facilitators have given to me: a safe place.,1,"['I am excited to be here in SI because I get to give my students and peers what my SI facilitators have given to me', 'I am here to learn from my studentspeers and to grow from their feedbackadvice.']"
"a place to learn, to make mistakes, overcome challeneges, and that is safe for them to be themselves and to meet others.",0,"['I am excited to be here in SI because I get to give my students and peers what my SI facilitators have given to me', 'I am here to learn from my studentspeers and to grow from their feedbackadvice.']"
i am here to learn myself.,0,"['I am excited to be here in SI because I get to give my students and peers what my SI facilitators have given to me', 'I am here to learn from my studentspeers and to grow from their feedbackadvice.']"
this is a new adventure for me where i will make mistakes and learn from them.,0,"['I am excited to be here in SI because I get to give my students and peers what my SI facilitators have given to me', 'I am here to learn from my studentspeers and to grow from their feedbackadvice.']"
i am here to learn from my studentspeers and to grow from their feedbackadvice.,1,"['I am excited to be here in SI because I get to give my students and peers what my SI facilitators have given to me', 'I am here to learn from my studentspeers and to grow from their feedbackadvice.']"
i am here because i care about my community and to help empower those around me.,0,['I am also here because I want to gain new perspective from my peers']
i am here in the science community because i feel that my people (of color and being a female) are under represented.,0,['I am also here because I want to gain new perspective from my peers']
i want to contribute my knowledge that i've gain since i've been at sf state to those around me and become a role model for my younger cousins back where i'm from.i am also here because i want to gain new perspective from my peers because,1,['I am also here because I want to gain new perspective from my peers']
this is question is super vague.,0,"['I have taken SCI courses for my other science and math classes, and I have learned a lot from my SCI instructors regarding class material.']"
"to start of, i am here in this world because my mom wanted a child, specifically a daughter.",0,"['I have taken SCI courses for my other science and math classes, and I have learned a lot from my SCI instructors regarding class material.']"
"i am here in this school because i did not want to go in to debt after college so i chose to go to san francisco state university and not university of california, santa cruz, like i wanted to.",0,"['I have taken SCI courses for my other science and math classes, and I have learned a lot from my SCI instructors regarding class material.']"
"i got into other california state universities as well, but i was more familiar with san francisco state because i've done an art exhibition here once and i knew a bunch of people in my after school program from my middle school that i admire that went to san francisco state and i knew it was a pretty decent school.",0,"['I have taken SCI courses for my other science and math classes, and I have learned a lot from my SCI instructors regarding class material.']"
i am here in this class specifically because it's been almost six years since i've been in a physics class and i know i am going to need all the help i can get.,0,"['I have taken SCI courses for my other science and math classes, and I have learned a lot from my SCI instructors regarding class material.']"
"i have taken sci courses for my other science and math classes, and i have learned a lot from my sci instructors regarding class material.",1,"['I have taken SCI courses for my other science and math classes, and I have learned a lot from my SCI instructors regarding class material.']"
"along with this, sci is also an easy way for me to get an a and boost my gpa.",0,"['I have taken SCI courses for my other science and math classes, and I have learned a lot from my SCI instructors regarding class material.']"
"i am in this sci 111 class, because i have never taken physics in high school and i know that physics requires a lot of math in which i am very weak in.",0,"['I prefer just sitting down in groups and try to work on the problems together rather than moving around from table to table', 'Focusing on problems with a small amount of people feels more productive']"
"i hope to receive a lot of practice problems, since i learned better by doing than just watching.",0,"['I prefer just sitting down in groups and try to work on the problems together rather than moving around from table to table', 'Focusing on problems with a small amount of people feels more productive']"
"i also really want to understand the basic concepts of physics, because i will be taking physics 2 next semester.",0,"['I prefer just sitting down in groups and try to work on the problems together rather than moving around from table to table', 'Focusing on problems with a small amount of people feels more productive']"
"since i have never taken any kind of physics class, the topic does kind of scare me, and knowing that its based on algebra, trigonometry, and geometry does make me nervous.",0,"['I prefer just sitting down in groups and try to work on the problems together rather than moving around from table to table', 'Focusing on problems with a small amount of people feels more productive']"
"even though physics it not necessarily part of my biology major, i do believe it explains a lot of what happens in the universe.",0,"['I prefer just sitting down in groups and try to work on the problems together rather than moving around from table to table', 'Focusing on problems with a small amount of people feels more productive']"
its also comforting that people are in the same boat as me in needing additional help.,0,"['I prefer just sitting down in groups and try to work on the problems together rather than moving around from table to table', 'Focusing on problems with a small amount of people feels more productive']"
"to be completely honest, i prefer just sitting down in groups and try to work on the problems together rather than moving around from table to table.",1,"['I prefer just sitting down in groups and try to work on the problems together rather than moving around from table to table', 'Focusing on problems with a small amount of people feels more productive']"
focusing on problems with a small amount of people feels more productive to me personally.,1,"['I prefer just sitting down in groups and try to work on the problems together rather than moving around from table to table', 'Focusing on problems with a small amount of people feels more productive']"
