sentence,label,phrase
why am i here?,0,['I always wanted to be able to help people']
well why does anyone pursue a higher education?,0,['I always wanted to be able to help people']
to better one self and be able to succeed later on in life.,0,['I always wanted to be able to help people']
"ever since i was little i wanted to be a doctor, so much so that i can't see myself doing anything else.",0,['I always wanted to be able to help people']
i always wanted to be able to help people and i always had an intrest in medicine and the human body.,1,['I always wanted to be able to help people']
i guess i here so i'll be able to help people in the future.,1,['I always wanted to be able to help people']
"to make a better future for myself and ultimately the world, as cheesy as that sounds.",1,"['to make a better future for myself and ultimately the world', 'to put this passion into my school to later help people']"
"im a very passionate person and thats why im here, to put this passion into my school to later help people.",1,"['to make a better future for myself and ultimately the world', 'to put this passion into my school to later help people']"
science is the only thing that makes sense to me sometimes.,0,"['to make a better future for myself and ultimately the world', 'to put this passion into my school to later help people']"
whenever im struggling i know i can fall back on science.,0,"['to make a better future for myself and ultimately the world', 'to put this passion into my school to later help people']"
"to give you a better example, when in conversation with people and i feel as if i dont know what to say, i know i always have biology to talk about and take me back to my safe zone.",0,"['to make a better future for myself and ultimately the world', 'to put this passion into my school to later help people']"
i am here at sfsu for a better future.,0,"['To achieve goals such as open up a homeless shelter', 'I aspire to become a doctor because I know that not only can I change my life, families, but also the people around me.']"
a future where i don't have to struggle at the end of the month to pay bills or provide for my family.,0,"['To achieve goals such as open up a homeless shelter', 'I aspire to become a doctor because I know that not only can I change my life, families, but also the people around me.']"
to achieve goals such as open up a homeless shelter pay for a house for my mother so that she doesn't have to work another day in her life.,1,"['To achieve goals such as open up a homeless shelter', 'I aspire to become a doctor because I know that not only can I change my life, families, but also the people around me.']"
"i aspire to become a doctor because i know that not only can i change my life, families, but also the people around me.",1,"['To achieve goals such as open up a homeless shelter', 'I aspire to become a doctor because I know that not only can I change my life, families, but also the people around me.']"
"as for why i am here in san francisco, i moved away to isolate myself from any distractions that would cause me to not reach my highest potential.",0,"['To achieve goals such as open up a homeless shelter', 'I aspire to become a doctor because I know that not only can I change my life, families, but also the people around me.']"
"i am here for many reasons: make myself proud happy getting education is a priveledge, knowledge is power!",0,['I am able to gain perspectives sufficient knowledge to provide a helping hand to all.']
lowkey school makes me happy.,0,['I am able to gain perspectives sufficient knowledge to provide a helping hand to all.']
to help my community; i want to give back to all who have touched me.,0,['I am able to gain perspectives sufficient knowledge to provide a helping hand to all.']
"by going to school teaching this class, i am able to gain perspectives sufficient knowledge to provide a helping hand to all.",1,['I am able to gain perspectives sufficient knowledge to provide a helping hand to all.']
"for change, i am here to change my life others.",0,['I am able to gain perspectives sufficient knowledge to provide a helping hand to all.']
somewhow i will accomplish that by finding myself learning from others.,0,['I am able to gain perspectives sufficient knowledge to provide a helping hand to all.']
"for my loved ones these include my family, friends, my lover they all push me to achieve greatness, with their unwavering support, they give me power to stay grounded",0,['I am able to gain perspectives sufficient knowledge to provide a helping hand to all.']
i'm bad at math and physics is math.,0,['I want to help people.']
here to get a kin degree bc i find the subject interesting and i want to help people.,1,['I want to help people.']
why am i here?,0,['I want to save lifes']
i'm here because i want to become a doctor in the near future.,0,['I want to save lifes']
i want to save lifes.,1,['I want to save lifes']
"i'm the first one in my family to go to college and even though it's taken me longer than i had hoped, i'm almost there.",0,['I want to save lifes']
i don't want to give up because this is something that i really want to do.,0,['I want to save lifes']
i'm here because i have a dream and i will accomplish it.,0,['I want to save lifes']
i struggle and don't understand everything right away.,0,['I want to save lifes']
it takes me time but i get it eventually.,0,['I want to save lifes']
i want to be the first in my family to graduate and become a doctor.,0,['I want to save lifes']
that's why i'm here.,0,['I want to save lifes']
i am here because i care about my community and to help empower those around me.,0,"[""I want to contribute my knowledge that I've gain since I've been at SF State to those around me""]"
i am here in the science community because i feel that my people (of color and being a female) are under represented.,0,"[""I want to contribute my knowledge that I've gain since I've been at SF State to those around me""]"
i want to contribute my knowledge that i've gain since i've been at sf state to those around me and become a role model for my younger cousins back where i'm from.i am also here because i want to gain new perspective from my peers because,1,"[""I want to contribute my knowledge that I've gain since I've been at SF State to those around me""]"
why am i here?,0,"['That is what I believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably THE MOST IMPORTANT thing anyone can do. And because of that I believe the reason we exist is or the reason we are ""here"" is to live up to our potential.']"
i guess that's a question i ask myself pretty frequently.,0,"['That is what I believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably THE MOST IMPORTANT thing anyone can do. And because of that I believe the reason we exist is or the reason we are ""here"" is to live up to our potential.']"
"not in the literal sense of ""why am in this class."" the answer to that is simple, if i'm in sci then i'll probably get a good grade in physics and a good grade in physics translates to a good gpa, and that will matter when i want to go to med school.",0,"['That is what I believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably THE MOST IMPORTANT thing anyone can do. And because of that I believe the reason we exist is or the reason we are ""here"" is to live up to our potential.']"
but in more of a metaphysical sense...,0,"['That is what I believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably THE MOST IMPORTANT thing anyone can do. And because of that I believe the reason we exist is or the reason we are ""here"" is to live up to our potential.']"
"like why are we here, and i think that is a question that does require more thought.",0,"['That is what I believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably THE MOST IMPORTANT thing anyone can do. And because of that I believe the reason we exist is or the reason we are ""here"" is to live up to our potential.']"
why do we exist?,0,"['That is what I believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably THE MOST IMPORTANT thing anyone can do. And because of that I believe the reason we exist is or the reason we are ""here"" is to live up to our potential.']"
in the grand scheme of things we're tiny insignificant particles in this potential multiverse...,0,"['That is what I believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably THE MOST IMPORTANT thing anyone can do. And because of that I believe the reason we exist is or the reason we are ""here"" is to live up to our potential.']"
you might not even be the best version of yourself. but still we or i continue to act like these smaller things seem to matter.,0,"['That is what I believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably THE MOST IMPORTANT thing anyone can do. And because of that I believe the reason we exist is or the reason we are ""here"" is to live up to our potential.']"
and my theory for that is that we do exist for a reason.,0,"['That is what I believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably THE MOST IMPORTANT thing anyone can do. And because of that I believe the reason we exist is or the reason we are ""here"" is to live up to our potential.']"
we exist because we have the potential to create great change.,0,"['That is what I believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably THE MOST IMPORTANT thing anyone can do. And because of that I believe the reason we exist is or the reason we are ""here"" is to live up to our potential.']"
think about it geniuses like einstein or sports phenoms like lebron james matter to us. even though they have nothing to do with us we admire them because of their will and their potential to or ability to do things we hadn't seen before.,0,"['That is what I believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably THE MOST IMPORTANT thing anyone can do. And because of that I believe the reason we exist is or the reason we are ""here"" is to live up to our potential.']"
"that is what i believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably the most important thing anyone can do.",0,"['That is what I believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably THE MOST IMPORTANT thing anyone can do. And because of that I believe the reason we exist is or the reason we are ""here"" is to live up to our potential.']"
"and because of that i believe the reason we exist is or the reason we are ""here"" is to live up to our potential.",0,"['That is what I believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably THE MOST IMPORTANT thing anyone can do. And because of that I believe the reason we exist is or the reason we are ""here"" is to live up to our potential.']"
"i chose to be in this class because no matter how smart you are, no matter how much you know in the course you think you are doing the best at, there is always room for improvement.",0,['Another reason I am here is because I want to be able to help others by learning something myself.']
theres always space to open your doors for more room for knowledge.,0,['Another reason I am here is because I want to be able to help others by learning something myself.']
i am all about learning and wanting to do better and better in all that i do and i know this course is perfect for that.,0,['Another reason I am here is because I want to be able to help others by learning something myself.']
"i know it is called a supplemental course to help us do better in a certain class, but i like how it is open to everyone even if you get 100 on every exam or quiz or whatever it is that you do in that class.",0,['Another reason I am here is because I want to be able to help others by learning something myself.']
another reason i am here is because i want to be able to help others by learning something myself.,1,['Another reason I am here is because I want to be able to help others by learning something myself.']
i feel like this opens opportunities to be friends with someone who is on the same path as you and this is an easy way to get to know others around you and to be able to surround yourself with others who are just like you.,0,['Another reason I am here is because I want to be able to help others by learning something myself.']
i am very grateful and blessed to even be able to take such a course.,0,['Another reason I am here is because I want to be able to help others by learning something myself.']
i am here because i am.,0,"['I answer with, it is my being that gives my existence reason to be. In translation, my answer is relative to the context of my life to come, that the meaning behind my existence comes from what I do with it. To that my expectations are high']"
"my parents created me, i had no say in the matter, nonetheless i'm glad i happened.",0,"['I answer with, it is my being that gives my existence reason to be. In translation, my answer is relative to the context of my life to come, that the meaning behind my existence comes from what I do with it. To that my expectations are high']"
and so it just happens to be the case that i am here that's my answer to the why.,0,"['I answer with, it is my being that gives my existence reason to be. In translation, my answer is relative to the context of my life to come, that the meaning behind my existence comes from what I do with it. To that my expectations are high']"
"its sufficient to say that there is no direct reason for me being here, because i will never know the truth to this question.",0,"['I answer with, it is my being that gives my existence reason to be. In translation, my answer is relative to the context of my life to come, that the meaning behind my existence comes from what I do with it. To that my expectations are high']"
how can one know why they are here?,0,"['I answer with, it is my being that gives my existence reason to be. In translation, my answer is relative to the context of my life to come, that the meaning behind my existence comes from what I do with it. To that my expectations are high']"
for the sake of answering questions that might appear as a result of such an answer that i have provided; i will indulge thee with hypotheticals.,0,"['I answer with, it is my being that gives my existence reason to be. In translation, my answer is relative to the context of my life to come, that the meaning behind my existence comes from what I do with it. To that my expectations are high']"
people make claims based on their emotivist (emotional intuition if you will) beliefs that we are here because we have a purpose.,0,"['I answer with, it is my being that gives my existence reason to be. In translation, my answer is relative to the context of my life to come, that the meaning behind my existence comes from what I do with it. To that my expectations are high']"
"this is a popular belief, but not derived from logic.",0,"['I answer with, it is my being that gives my existence reason to be. In translation, my answer is relative to the context of my life to come, that the meaning behind my existence comes from what I do with it. To that my expectations are high']"
"i am not saying it is a wrong belief to have, this area of intelligence and it's true value are impossible to record by mankind which is saying something in itself.",0,"['I answer with, it is my being that gives my existence reason to be. In translation, my answer is relative to the context of my life to come, that the meaning behind my existence comes from what I do with it. To that my expectations are high']"
it may even be associated with a spiritual intelligence.,0,"['I answer with, it is my being that gives my existence reason to be. In translation, my answer is relative to the context of my life to come, that the meaning behind my existence comes from what I do with it. To that my expectations are high']"
"however, similarly if you asked a dog to recite a poem in english you would come to the same conclusion it would.",0,"['I answer with, it is my being that gives my existence reason to be. In translation, my answer is relative to the context of my life to come, that the meaning behind my existence comes from what I do with it. To that my expectations are high']"
"that is to say, we lack the skills to solve such a metaphysical question.",0,"['I answer with, it is my being that gives my existence reason to be. In translation, my answer is relative to the context of my life to come, that the meaning behind my existence comes from what I do with it. To that my expectations are high']"
"the tools necessary in determining why i am here can only be answered in asking who caused me to be here, then, who caused my parents to be here, and so forth and so on.",0,"['I answer with, it is my being that gives my existence reason to be. In translation, my answer is relative to the context of my life to come, that the meaning behind my existence comes from what I do with it. To that my expectations are high']"
