sentence,label,phrase
reflection 1: why am i here?,0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']"
"why am i here? is quite a general question that can be taken in many directions, but i assume that it is intended for us to make our connections to this class.",0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']"
"for me personally, i am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study.",0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']"
"more specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.",1,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']"
sports have always been a big part of my life ever since i was in elementary school and i have played in a couple basketball leagues growing up.,0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']"
"this fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology.",0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']"
"particularly, it was all the injuries that i have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.",0,"['More specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.']"
i am here because my future goal is to heal people.,0,"['I am here because my future goal is to heal people. I would like to become a physical therapist, specifically for athletes.']"
i am taking this course as a prereq for the kin major.,0,"['I am here because my future goal is to heal people. I would like to become a physical therapist, specifically for athletes.']"
"i would like to become a physical therapist, specifically for athletes.",0,"['I am here because my future goal is to heal people. I would like to become a physical therapist, specifically for athletes.']"
i am very passionate about sports and being in that atmosphere will keep me motivated and able to understand the physical and mental struggles that athletes go through.,0,"['I am here because my future goal is to heal people. I would like to become a physical therapist, specifically for athletes.']"
karla martinez why i am here?,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.']
one of the main reasons why i am here is because i want to help my family.,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.']
i want to have the opportunity to have a stable job and be able to support my family economically.,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.']
i am also here because i want to have the opportunity to finish college something that my parents were not able to do it because they didnt have the money or the support.,0,['I am also here because I want to be a nurse. I always wanted to study medicine and help people. Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.']
