sentence,label,phrase
"i am here before of my family; i want to make them proud showing them my accomplishments and being the best, i can.",0,['Learning about that and being able to help another person life is success and providing for the community around.']
"also, i am here for myself knowing the life i want to live and that i'm going to chase my dreams staying dedicated.",0,['Learning about that and being able to help another person life is success and providing for the community around.']
"additionally, i am here because i want to major in kinesiology and became a sports medicine physiciantherapist or an athletic trainer for a professional sports team.",0,['Learning about that and being able to help another person life is success and providing for the community around.']
one thing that routed me to that career field was being involved with sports my whole life up until high school.,0,['Learning about that and being able to help another person life is success and providing for the community around.']
in science i really enjoy learning about that body and health of science because i feel in life your wellbeing is the most important thing to worry about.,0,['Learning about that and being able to help another person life is success and providing for the community around.']
"really wish we could be in person because i am a handson learner, so i like actually like doing the experiments.",0,['Learning about that and being able to help another person life is success and providing for the community around.']
learning about that and being able to help another person life is success and providing for the community around.,1,['Learning about that and being able to help another person life is success and providing for the community around.']
i wanted to go into the stem field because my great grandfather was a civl engineer and i have always looked up to him.,0,"['Furthermore, I want people to need my work and designs for projects to help the community out.']"
"also, as a kid i have always loved to build and fix stuff and i knew i would be happy if i was able to continue doing this as a profession.",0,"['Furthermore, I want people to need my work and designs for projects to help the community out.']"
i want to know how to design buildings and cool infrastructures that the public can use.,0,"['Furthermore, I want people to need my work and designs for projects to help the community out.']"
one of my main goals is to be able to build a house with a swimming pool on one of the floors because that would be awesome!,0,"['Furthermore, I want people to need my work and designs for projects to help the community out.']"
it would be nice to have people over and be able to tell them how you designed and constructed such a beautiful house.,0,"['Furthermore, I want people to need my work and designs for projects to help the community out.']"
"furthermore, i want people to need my work and designs for projects to help the community out.",1,"['Furthermore, I want people to need my work and designs for projects to help the community out.']"
i love to know how the way stuff works in the world and make new technological advancements.,0,"['Furthermore, I want people to need my work and designs for projects to help the community out.']"
"i heard in one of elon musk's podcast that within the next 10 years he wants to start building tunnels underneath the los angeles freeways to make traffic better, and that would be a cool project to work on.",0,"['Furthermore, I want people to need my work and designs for projects to help the community out.']"
"i hope to succeed in the stem field because i know the competition can be tough, but i am glad the rate that companies hire engineers in constantly increasing each year.",0,"['Furthermore, I want people to need my work and designs for projects to help the community out.']"
roxana garcia rojas ricardo flores astr 116 24 august 2020 why am i here? i am here to be a role model and give inspiration to those who come from lowincome communities.,0,"['I am here to be a role model and give inspiration to those who come from lowincome communities. Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down.']"
"as i go through college, and think about what im passionate about or what i want to do later in life, my answer always leads me to being an educator.",0,"['I am here to be a role model and give inspiration to those who come from lowincome communities. Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down.']"
"life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that i want to bring light to and tear down.",0,"['I am here to be a role model and give inspiration to those who come from lowincome communities. Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down.']"
"but that takes the work of many, and to begin, you must first be educated.",0,"['I am here to be a role model and give inspiration to those who come from lowincome communities. Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down.']"
"which sucks because to be educated you have to go to an institution, take tests that cost money, pay for college applications, and all that hard work needs to be done because to be successful in america you must have a degree.",0,"['I am here to be a role model and give inspiration to those who come from lowincome communities. Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down.']"
"however, working always seems so much easier, you earn money, and set your hours, and theres no stress on homework or reading.",0,"['I am here to be a role model and give inspiration to those who come from lowincome communities. Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down.']"
i want to show that working towards your education is purposeful work.,0,"['I am here to be a role model and give inspiration to those who come from lowincome communities. Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down.']"
to break down and fight against everything that oppresses you shows your strength.,0,"['I am here to be a role model and give inspiration to those who come from lowincome communities. Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down.']"
i wish more people could see that.,0,"['I am here to be a role model and give inspiration to those who come from lowincome communities. Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down.']"
"hello, my name is samuel king and i am here because i want to do something good with my life and also i want to prove the people who think i am not gonna do anything with my life wrong, that's what drives me most .",0,"['I also want my life to have meaning, I want to give back to my community and to help with some of the problems like helping the homeless, and just trying to help out in any way possible. l']"
"i also want my life to have meaning, i want to give back to my community and to help with some of the problems like helping the homeless, and just trying to help out in any way possible.",1,"['I also want my life to have meaning, I want to give back to my community and to help with some of the problems like helping the homeless, and just trying to help out in any way possible. l']"
i know i got to work hard because if you put your heart into and work hard you can do anything.,0,"['I also want my life to have meaning, I want to give back to my community and to help with some of the problems like helping the homeless, and just trying to help out in any way possible. l']"
"i am here because i have a purpose, everybody has a purpose you just have to be willing to put in that hard work because anything can happen so i want to make sure i live life to the fullest and make sure my life is meaningful",0,"['I also want my life to have meaning, I want to give back to my community and to help with some of the problems like helping the homeless, and just trying to help out in any way possible. l']"
i feel that i am here to really learn.,0,"['With learning new things, and putting them into practice during assignments, I feel that I will be able to use what I have learned to give back to my community.']"
"i dont mean just know how to use a concept or memorize it, but i actually mean fully understanding the material being taught to me.",0,"['With learning new things, and putting them into practice during assignments, I feel that I will be able to use what I have learned to give back to my community.']"
"with learning new things, and putting them into practice during assignments, i feel that i will be able to use what i have learned to give back to my community.",1,"['With learning new things, and putting them into practice during assignments, I feel that I will be able to use what I have learned to give back to my community.']"
i would like to dedicate my time and effort to the best of my ability to broaden my knowledge of physics.,0,"['With learning new things, and putting them into practice during assignments, I feel that I will be able to use what I have learned to give back to my community.']"
i want to dig deeper to gain a better understanding of how physics appears in almost all activities of our daily lives.,0,"['With learning new things, and putting them into practice during assignments, I feel that I will be able to use what I have learned to give back to my community.']"
"to me, physics is also fascinating because it not only explains the structure of how objects function, but it really also explains things like how the double helix is a double helix and why another structure doesnt exist for dna, how light is reflected and what kinds of visible light are truly seen by the human eye, and so much more.",0,"['With learning new things, and putting them into practice during assignments, I feel that I will be able to use what I have learned to give back to my community.']"
"overall, why im here is not only to fulfill a requirement but truly to broaden my knowledge of physics and how it connects with the world in so many different aspects.",0,"['With learning new things, and putting them into practice during assignments, I feel that I will be able to use what I have learned to give back to my community.']"
