sentence,phrase,label
reflection 1: why am i here?,"['For me personally, I am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study. Sports have always been a big part of my life ever since I was in elementary school and I have played in a couple basketball leagues growing up. This fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology. Particularly, it was all the injuries that I have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.']",0
"why am i here? is quite a general question that can be taken in many directions, but i assume that it is intended for us to make our connections to this class.","['For me personally, I am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study. Sports have always been a big part of my life ever since I was in elementary school and I have played in a couple basketball leagues growing up. This fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology. Particularly, it was all the injuries that I have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.']",0
"for me personally, i am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study.","['For me personally, I am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study. Sports have always been a big part of my life ever since I was in elementary school and I have played in a couple basketball leagues growing up. This fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology. Particularly, it was all the injuries that I have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.']",0
"more specifically, my goal is to become a sports physical therapist and work to rehabilitate athletes, so dealing with physics and its relationship with the human body is going to be a big component of my job.","['For me personally, I am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study. Sports have always been a big part of my life ever since I was in elementary school and I have played in a couple basketball leagues growing up. This fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology. Particularly, it was all the injuries that I have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.']",1
sports have always been a big part of my life ever since i was in elementary school and i have played in a couple basketball leagues growing up.,"['For me personally, I am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study. Sports have always been a big part of my life ever since I was in elementary school and I have played in a couple basketball leagues growing up. This fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology. Particularly, it was all the injuries that I have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.']",0
"this fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology.","['For me personally, I am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study. Sports have always been a big part of my life ever since I was in elementary school and I have played in a couple basketball leagues growing up. This fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology. Particularly, it was all the injuries that I have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.']",1
"particularly, it was all the injuries that i have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.","['For me personally, I am taking physics 101 and 102, because as a kinesiology major it is something that we need to know in our field of study. Sports have always been a big part of my life ever since I was in elementary school and I have played in a couple basketball leagues growing up. This fascination with sports turned into an interest in health and fitness as well, which led me down the path of kinesiology. Particularly, it was all the injuries that I have been through over the years that really made me want to become a physical therapist and help others who may be going through any injuries they may experience in their lifetime.']",1
i am here because my future goal is to heal people.,['I am taking this course as a prereq for the Kin major.'],1
i am taking this course as a prereq for the kin major.,['I am taking this course as a prereq for the Kin major.'],1
"i would like to become a physical therapist, specifically for athletes.",['I am taking this course as a prereq for the Kin major.'],0
i am very passionate about sports and being in that atmosphere will keep me motivated and able to understand the physical and mental struggles that athletes go through.,['I am taking this course as a prereq for the Kin major.'],0
holly enrile physics lab reection1 sept.,['I am here because it is a requirement for my major and I think Physics is a really cool subject to learn.'],0
"10, 2020 i am here because it is a requirement for my major and i think physics is a really cool subject to learn.",['I am here because it is a requirement for my major and I think Physics is a really cool subject to learn.'],1
to have knowledge about the way things work and relate to each other is a powerful skill.,['I am here because it is a requirement for my major and I think Physics is a really cool subject to learn.'],0
"in general, im in school because i want to make my parents proud and break the generational cycle.",['I am here because it is a requirement for my major and I think Physics is a really cool subject to learn.'],0
i will be rst generation university graduate.,['I am here because it is a requirement for my major and I think Physics is a really cool subject to learn.'],0
i am also a mother of 2 who i want to set a good example for and that hard work does and will pay o.,['I am here because it is a requirement for my major and I think Physics is a really cool subject to learn.'],0
"there will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.",['I am here because it is a requirement for my major and I think Physics is a really cool subject to learn.'],0
why am i here?,"['. I am here at college because the career choices I want to take, require me to to get a degree in Biology and also, more importantly, because my parents have sacrificed a lot to make it in this country as far as they could have and they would want me to be better off than they are.']",0
"i am here in this lab because, honestly, there wasnt any other lab that was available for me to take.","['. I am here at college because the career choices I want to take, require me to to get a degree in Biology and also, more importantly, because my parents have sacrificed a lot to make it in this country as far as they could have and they would want me to be better off than they are.']",0
