sentence,label,phrase
holly enrile physics lab reection1 sept.,0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. There will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.']"
"10, 2020 i am here because it is a requirement for my major and i think physics is a really cool subject to learn.",0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. There will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.']"
to have knowledge about the way things work and relate to each other is a powerful skill.,0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. There will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.']"
"in general, im in school because i want to make my parents proud and break the generational cycle.",0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. There will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.']"
i will be rst generation university graduate.,0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. There will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.']"
i am also a mother of 2 who i want to set a good example for and that hard work does and will pay o.,0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. There will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.']"
"there will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.",0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. There will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.']"
karla martinez why i am here?,0,['Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.']
one of the main reasons why i am here is because i want to help my family.,0,['Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.']
i want to have the opportunity to have a stable job and be able to support my family economically.,0,['Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.']
i am also here because i want to have the opportunity to finish college something that my parents were not able to do it because they didnt have the money or the support.,0,['Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.']
i want to be the first one from my family to graduate from college.,0,['Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.']
i am also here because i want to be a nurse.,0,['Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.']
i always wanted to study medicine and help people.,0,['Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.']
become a nurse has always been my dream job and i hope to make it real even though sometimes is hard to keep going but not impossible.,1,['Become a nurse has always been my dream job and I hope to make it real even though sometimes is hard to keep going but not impossible.']
the reason why i want to go into the stem field is because it's a place where i can potentially help improve the world through the engineering aspects.,0,"[""It's also something very motivating for me to be a first generation in college and the first to be majoring as an engineer so that continues to push me to continue being in the STEM field despite how challenging this field is.""]"
including also the fact that we live in a place well known for innovations in the tech industry.,0,"[""It's also something very motivating for me to be a first generation in college and the first to be majoring as an engineer so that continues to push me to continue being in the STEM field despite how challenging this field is.""]"
"so for me, that would allow me to be part of the workforce and be able to find a job in this area.",0,"[""It's also something very motivating for me to be a first generation in college and the first to be majoring as an engineer so that continues to push me to continue being in the STEM field despite how challenging this field is.""]"
i want to be part of the new young generation of engineers going into the industry with new ideas and better technology usage to improve how fast a project can be completed.,0,"[""It's also something very motivating for me to be a first generation in college and the first to be majoring as an engineer so that continues to push me to continue being in the STEM field despite how challenging this field is.""]"
it's also something very motivating for me to be a first generation in college and the first to be majoring as an engineer so that continues to push me to continue being in the stem field despite how challenging this field is.,1,"[""It's also something very motivating for me to be a first generation in college and the first to be majoring as an engineer so that continues to push me to continue being in the STEM field despite how challenging this field is.""]"
"after reading the question prompt, two responses came to mind job opportunity, and role model.",0,"[""The short version of that story is that I grew up kind of poor, joined the military at 18 years old, used my VA benefits to go school after I separated from active duty, went to art school for a few years, took a class where we learned to develop a mobile application by leveraging preexisting GUI's, and that was the moment when I first got exposed to a little bit of STEM. If you would have told high school me that I'd be 2 semesters away from graduating with a BS in electrical engineering, I would never have believed it, mostly because my grades were terrible, but also because I had no idea what STEM was back then.""]"
"from what i understand, the us is currently going through an industrial revolution, and if you don't work in stem, then there's a chance you will get left out out of the job market.",0,"[""The short version of that story is that I grew up kind of poor, joined the military at 18 years old, used my VA benefits to go school after I separated from active duty, went to art school for a few years, took a class where we learned to develop a mobile application by leveraging preexisting GUI's, and that was the moment when I first got exposed to a little bit of STEM. If you would have told high school me that I'd be 2 semesters away from graduating with a BS in electrical engineering, I would never have believed it, mostly because my grades were terrible, but also because I had no idea what STEM was back then.""]"
