sentence,label,phrase
holly enrile physics lab reection1 sept.,0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. There will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.']"
"10, 2020 i am here because it is a requirement for my major and i think physics is a really cool subject to learn.",0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. There will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.']"
to have knowledge about the way things work and relate to each other is a powerful skill.,0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. There will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.']"
"in general, im in school because i want to make my parents proud and break the generational cycle.",0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. There will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.']"
i will be rst generation university graduate.,0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. There will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.']"
i am also a mother of 2 who i want to set a good example for and that hard work does and will pay o.,0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. There will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.']"
"there will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.",0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. There will be many obstacles, especially during this time with all the stu going in the world today but with grit and growth mindsets, we all can persevere and get through it.']"
roxana garcia rojas ricardo flores astr 116 24 august 2020 why am i here? i am here to be a role model and give inspiration to those who come from lowincome communities.,0,"['Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down. To break down and fight against everything that oppresses you shows your strength.']"
"as i go through college, and think about what im passionate about or what i want to do later in life, my answer always leads me to being an educator.",0,"['Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down. To break down and fight against everything that oppresses you shows your strength.']"
"life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that i want to bring light to and tear down.",0,"['Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down. To break down and fight against everything that oppresses you shows your strength.']"
"but that takes the work of many, and to begin, you must first be educated.",0,"['Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down. To break down and fight against everything that oppresses you shows your strength.']"
"which sucks because to be educated you have to go to an institution, take tests that cost money, pay for college applications, and all that hard work needs to be done because to be successful in america you must have a degree.",0,"['Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down. To break down and fight against everything that oppresses you shows your strength.']"
"however, working always seems so much easier, you earn money, and set your hours, and theres no stress on homework or reading.",0,"['Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down. To break down and fight against everything that oppresses you shows your strength.']"
i want to show that working towards your education is purposeful work.,0,"['Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down. To break down and fight against everything that oppresses you shows your strength.']"
to break down and fight against everything that oppresses you shows your strength.,0,"['Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down. To break down and fight against everything that oppresses you shows your strength.']"
i wish more people could see that.,0,"['Life is hard, and the institutional oppressions that have held and still hold my family captive, as well as my community and others like mine, is something that I want to bring light to and tear down. To break down and fight against everything that oppresses you shows your strength.']"
i want to go into the stem field because there aren't many people like me in this field and are dominated by a category of people.,0,"[""I want to go into the stem field because there aren't many people like me in this field and are dominated by a category of people. I want to be able to go into this field and make some type of change so other kids like me can go into this field and see someone like them working and making a change.This is why I want to go into the stem field because I can come in and change the faces I see and see more people like me and also create a change. I want to be able to diversify the field.""]"
also because i like the stem field and i like science and technology and what can be created to help people.,0,"[""I want to go into the stem field because there aren't many people like me in this field and are dominated by a category of people. I want to be able to go into this field and make some type of change so other kids like me can go into this field and see someone like them working and making a change.This is why I want to go into the stem field because I can come in and change the faces I see and see more people like me and also create a change. I want to be able to diversify the field.""]"
i want to be able to go into this field and make some type of change so other kids like me can go into this field and see someone like them working and making a change.,0,"[""I want to go into the stem field because there aren't many people like me in this field and are dominated by a category of people. I want to be able to go into this field and make some type of change so other kids like me can go into this field and see someone like them working and making a change.This is why I want to go into the stem field because I can come in and change the faces I see and see more people like me and also create a change. I want to be able to diversify the field.""]"
also since i am a computer science major i want to be able to come into this field and create something with someone or company that would help others.,0,"[""I want to go into the stem field because there aren't many people like me in this field and are dominated by a category of people. I want to be able to go into this field and make some type of change so other kids like me can go into this field and see someone like them working and making a change.This is why I want to go into the stem field because I can come in and change the faces I see and see more people like me and also create a change. I want to be able to diversify the field.""]"
