sentence,label,phrase
why am i here?,0,['I think I am here because I am passionate about connecting with people. I try and make small connections and interactions as personal as I can in hopes of creating a bond that can create joy in my life.The amount of genuine joy and fulfillment I get from existing in the same time period as some of my amazing friends and family really is what drives me in life and I think thats why I am here.']
i think i am here because i am passionate about connecting with people.,0,['I think I am here because I am passionate about connecting with people. I try and make small connections and interactions as personal as I can in hopes of creating a bond that can create joy in my life.The amount of genuine joy and fulfillment I get from existing in the same time period as some of my amazing friends and family really is what drives me in life and I think thats why I am here.']
i try and make small connections and interactions as personal as i can in hopes of creating a bond that can create joy in my life.,0,['I think I am here because I am passionate about connecting with people. I try and make small connections and interactions as personal as I can in hopes of creating a bond that can create joy in my life.The amount of genuine joy and fulfillment I get from existing in the same time period as some of my amazing friends and family really is what drives me in life and I think thats why I am here.']
there is really nothing comparable to the feeling of just bonding with someone and feeling as though your two personalities are perfect together.,0,['I think I am here because I am passionate about connecting with people. I try and make small connections and interactions as personal as I can in hopes of creating a bond that can create joy in my life.The amount of genuine joy and fulfillment I get from existing in the same time period as some of my amazing friends and family really is what drives me in life and I think thats why I am here.']
relationships are incredibly important to me.,0,['I think I am here because I am passionate about connecting with people. I try and make small connections and interactions as personal as I can in hopes of creating a bond that can create joy in my life.The amount of genuine joy and fulfillment I get from existing in the same time period as some of my amazing friends and family really is what drives me in life and I think thats why I am here.']
i have friends now that ive known since the 7th grade because we all value the strong bond that we have created together.,0,['I think I am here because I am passionate about connecting with people. I try and make small connections and interactions as personal as I can in hopes of creating a bond that can create joy in my life.The amount of genuine joy and fulfillment I get from existing in the same time period as some of my amazing friends and family really is what drives me in life and I think thats why I am here.']
having people that i know i can rely on for anything at any time provides me with a sense of security that i feel is impossible to find in other things.,0,['I think I am here because I am passionate about connecting with people. I try and make small connections and interactions as personal as I can in hopes of creating a bond that can create joy in my life.The amount of genuine joy and fulfillment I get from existing in the same time period as some of my amazing friends and family really is what drives me in life and I think thats why I am here.']
the amount of genuine joy and fulfillment i get from existing in the same time period as some of my amazing friends and family really is what drives me in life and i think thats why i am here.,0,['I think I am here because I am passionate about connecting with people. I try and make small connections and interactions as personal as I can in hopes of creating a bond that can create joy in my life.The amount of genuine joy and fulfillment I get from existing in the same time period as some of my amazing friends and family really is what drives me in life and I think thats why I am here.']
jordaan render phys 102 reflection 1 why am i here?,0,"['I am here because I want to receive a quality education around a new group of people and further my academic career as well as personal character development. I chose SFSU because it is a new school in a new city and I thoroughly enjoy meeting new people. I would like to use my background in a way that allows me to me travel and connect with many different people from differing cultures and really gain a broader view on life. In conclusion, I would say I am here for a quality education and to meet new people from different backgrounds.']"
i am here because i want to receive a quality education around a new group of people and further my academic career as well as personal character development.,0,"['I am here because I want to receive a quality education around a new group of people and further my academic career as well as personal character development. I chose SFSU because it is a new school in a new city and I thoroughly enjoy meeting new people. I would like to use my background in a way that allows me to me travel and connect with many different people from differing cultures and really gain a broader view on life. In conclusion, I would say I am here for a quality education and to meet new people from different backgrounds.']"
i chose sfsu because it is a new school in a new city and i thoroughly enjoy meeting new people.,0,"['I am here because I want to receive a quality education around a new group of people and further my academic career as well as personal character development. I chose SFSU because it is a new school in a new city and I thoroughly enjoy meeting new people. I would like to use my background in a way that allows me to me travel and connect with many different people from differing cultures and really gain a broader view on life. In conclusion, I would say I am here for a quality education and to meet new people from different backgrounds.']"
i was born in germany and grew up across the united states on different military bases.,0,"['I am here because I want to receive a quality education around a new group of people and further my academic career as well as personal character development. I chose SFSU because it is a new school in a new city and I thoroughly enjoy meeting new people. I would like to use my background in a way that allows me to me travel and connect with many different people from differing cultures and really gain a broader view on life. In conclusion, I would say I am here for a quality education and to meet new people from different backgrounds.']"
