sentence,label,phrase
karla martinez why i am here?,0,['I always wanted to study medicine and help people.']
one of the main reasons why i am here is because i want to help my family.,0,['I always wanted to study medicine and help people.']
i want to have the opportunity to have a stable job and be able to support my family economically.,0,['I always wanted to study medicine and help people.']
i am also here because i want to have the opportunity to finish college something that my parents were not able to do it because they didnt have the money or the support.,0,['I always wanted to study medicine and help people.']
i want to be the first one from my family to graduate from college.,0,['I always wanted to study medicine and help people.']
i am also here because i want to be a nurse.,0,['I always wanted to study medicine and help people.']
i always wanted to study medicine and help people.,1,['I always wanted to study medicine and help people.']
become a nurse has always been my dream job and i hope to make it real even though sometimes is hard to keep going but not impossible.,0,['I always wanted to study medicine and help people.']
"the reason i believe that i am here is to help people, i believe that i was gifted with an extreme level of compassion for people and a strong desire to serve the populus i believe the best way that i can do that is through medicine and learning about the body.",1,"['The reason I believe that I am here is to help people, I believe that I was gifted with an extreme level of compassion for people and a strong desire to serve the populus I believe the best way that I can do that is through medicine and learning about the body.']"
while attending school and pursuing higher education i believe that i can help people by teaching them the foundations of healthy choices and habits and how to maintain health in order to achieve confidence in their own frames.,0,"['The reason I believe that I am here is to help people, I believe that I was gifted with an extreme level of compassion for people and a strong desire to serve the populus I believe the best way that I can do that is through medicine and learning about the body.']"
from a young age i always had a passion for health and fitness and this has evolved into a passion for health and medicine later on in my life.,0,"['The reason I believe that I am here is to help people, I believe that I was gifted with an extreme level of compassion for people and a strong desire to serve the populus I believe the best way that I can do that is through medicine and learning about the body.']"
"my approach to medicine is a holistic approach which i believe is the best approach because it doesnt solely focus on prescribing medication and sending people on their ways, rather it focuses on pushing health and taking care of the person as a whole in order to ensure that i left them better then when they came to me rather than just temporarily fixing one problem while inducing another one.",0,"['The reason I believe that I am here is to help people, I believe that I was gifted with an extreme level of compassion for people and a strong desire to serve the populus I believe the best way that I can do that is through medicine and learning about the body.']"
"i am here before of my family; i want to make them proud showing them my accomplishments and being the best, i can.",0,['Learning about that and being able to help another person life is success and providing for the community around.']
"also, i am here for myself knowing the life i want to live and that i'm going to chase my dreams staying dedicated.",0,['Learning about that and being able to help another person life is success and providing for the community around.']
"additionally, i am here because i want to major in kinesiology and became a sports medicine physiciantherapist or an athletic trainer for a professional sports team.",0,['Learning about that and being able to help another person life is success and providing for the community around.']
one thing that routed me to that career field was being involved with sports my whole life up until high school.,0,['Learning about that and being able to help another person life is success and providing for the community around.']
in science i really enjoy learning about that body and health of science because i feel in life your wellbeing is the most important thing to worry about.,0,['Learning about that and being able to help another person life is success and providing for the community around.']
"really wish we could be in person because i am a handson learner, so i like actually like doing the experiments.",0,['Learning about that and being able to help another person life is success and providing for the community around.']
learning about that and being able to help another person life is success and providing for the community around.,1,['Learning about that and being able to help another person life is success and providing for the community around.']
why am i here?,0,['I feel like Im here to make the people I love and the people around me live their life to the fullest.']
i'm currently enrolled in both physics lecture and lab.,0,['I feel like Im here to make the people I love and the people around me live their life to the fullest.']
i'm here in physics lab because i need to take this lab for my requirement for kinesiology .,0,['I feel like Im here to make the people I love and the people around me live their life to the fullest.']
"since this is a broad paper about why we are here, i'm not sure if were supposed to be talking about here as in physics lab or here as in what our purpose in this world is.",0,['I feel like Im here to make the people I love and the people around me live their life to the fullest.']
"but since i'm not sure, ill talk about both.",0,['I feel like Im here to make the people I love and the people around me live their life to the fullest.']
as i mentioned earlier im here because i need to take physics in as a course for my kinesiology degree.,0,['I feel like Im here to make the people I love and the people around me live their life to the fullest.']
"now talking about in general, i feel like my purpose in this world is to make a positive impact on people s lives.",0,['I feel like Im here to make the people I love and the people around me live their life to the fullest.']
one of the reasons why i feel like im here in this world is to spread love and positivity .,0,['I feel like Im here to make the people I love and the people around me live their life to the fullest.']
i feel like im here to make the people i love and the people around me live their life to the fullest.,1,['I feel like Im here to make the people I love and the people around me live their life to the fullest.']
another reason why i feel like im here is to further my education and career .,0,['I feel like Im here to make the people I love and the people around me live their life to the fullest.']
to keep striving at being a better person each and every day .,0,['I feel like Im here to make the people I love and the people around me live their life to the fullest.']
"overall, i feel like i have many reasons and ways to answer why am i here but those are just a few to mention.",0,['I feel like Im here to make the people I love and the people around me live their life to the fullest.']
i've thought a lot about this subject to the point where i know too many different possibilities that it can drown me.,0,"[""I am a rather spiritual person I would say and I am also a curious one and for that reason I've asked a lot of different people a lot of different questions. I'm not worried about the what happens next either because at the end of the day it is inevitable, and i try not to think about the what i'm supposed to do for now as much because it can really put you in a helpless state, so i'm just trying to trust my intuition and flow to where life takes me.""]"
i am a rather spiritual person i would say and i am also a curious one and for that reason i've asked a lot of different people a lot of different questions.,0,"[""I am a rather spiritual person I would say and I am also a curious one and for that reason I've asked a lot of different people a lot of different questions. I'm not worried about the what happens next either because at the end of the day it is inevitable, and i try not to think about the what i'm supposed to do for now as much because it can really put you in a helpless state, so i'm just trying to trust my intuition and flow to where life takes me.""]"
"i've studies with catholics, christians, jehovah witnesses, talked to muslums, mormons just to hear what they have to say.",0,"[""I am a rather spiritual person I would say and I am also a curious one and for that reason I've asked a lot of different people a lot of different questions. I'm not worried about the what happens next either because at the end of the day it is inevitable, and i try not to think about the what i'm supposed to do for now as much because it can really put you in a helpless state, so i'm just trying to trust my intuition and flow to where life takes me.""]"
one of the most interesting versions i've heard was that we were all angels that lost our ways and we are living many lives in order to fix the mistakes that weve made and in the different life times that we live we are learning different lessons and once we've learned all our lessons that's when we can finally fully rest.,0,"[""I am a rather spiritual person I would say and I am also a curious one and for that reason I've asked a lot of different people a lot of different questions. I'm not worried about the what happens next either because at the end of the day it is inevitable, and i try not to think about the what i'm supposed to do for now as much because it can really put you in a helpless state, so i'm just trying to trust my intuition and flow to where life takes me.""]"
i don't know how true that is but i thought it was interesting because if you pay attention to the things that happen around us then you can be really attuned to the things that pop up in your life and why.,0,"[""I am a rather spiritual person I would say and I am also a curious one and for that reason I've asked a lot of different people a lot of different questions. I'm not worried about the what happens next either because at the end of the day it is inevitable, and i try not to think about the what i'm supposed to do for now as much because it can really put you in a helpless state, so i'm just trying to trust my intuition and flow to where life takes me.""]"
