sentence,label,phrase
why am i here?,0,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else.""]"
well why does anyone pursue a higher education?,0,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else.""]"
to better one self and be able to succeed later on in life.,0,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else.""]"
"ever since i was little i wanted to be a doctor, so much so that i can't see myself doing anything else.",1,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else.""]"
i always wanted to be able to help people and i always had an intrest in medicine and the human body.,0,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else.""]"
i guess i here so i'll be able to help people in the future.,0,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else.""]"
i am here to better myself and hopefully give myself a better future.,1,['I am in this class because I want to pass physics and getting an A is part of that journey.']
i am in this class because i want to pass physics and getting an a is part of that journey.,1,['I am in this class because I want to pass physics and getting an A is part of that journey.']
also the reason why i am here in san francisco is to experience new things and figure myself out.,0,['I am in this class because I want to pass physics and getting an A is part of that journey.']
"im a psychology major, however im unsure what exactly i want to do with that, therefore im taking a physics class which pretty unecessary for my major.",0,['I am in this class because I want to pass physics and getting an A is part of that journey.']
i am here in this class because i want a little extra help in my physics course.,0,['I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.']
the reason i am taking physics is because it's a required course for my biology major.,0,['I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.']
i am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.,1,['I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.']
the reason i came to sf state is because i wante to be in a new environment away from where i'm from (la).,0,['I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.']
i knew this step was going to be an important step in my life because i was the first in my family to go to college and especially away,0,['I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.']
i am here at sfsu for a better future.,0,"['I aspire to become a doctor', 'To achieve goals such as open up a homeless shelter']"
a future where i don't have to struggle at the end of the month to pay bills or provide for my family.,0,"['I aspire to become a doctor', 'To achieve goals such as open up a homeless shelter']"
to achieve goals such as open up a homeless shelter pay for a house for my mother so that she doesn't have to work another day in her life.,1,"['I aspire to become a doctor', 'To achieve goals such as open up a homeless shelter']"
"i aspire to become a doctor because i know that not only can i change my life, families, but also the people around me.",1,"['I aspire to become a doctor', 'To achieve goals such as open up a homeless shelter']"
"as for why i am here in san francisco, i moved away to isolate myself from any distractions that would cause me to not reach my highest potential.",0,"['I aspire to become a doctor', 'To achieve goals such as open up a homeless shelter']"
i'm here because i want to improve my understanding in physics.,0,"['In the end, the goal is to achieve an A for my physics course.']"
i haven't taken a physics course since high school therefore i'm a little rusty.,0,"['In the end, the goal is to achieve an A for my physics course.']"
i believe attending this si course will develop and improve my overall understanding with material i may be struggling in.,0,"['In the end, the goal is to achieve an A for my physics course.']"
"in the end, the goal is to achieve an a for my physics course.",1,"['In the end, the goal is to achieve an A for my physics course.']"
this is why i'm here.,0,"['In the end, the goal is to achieve an A for my physics course.']"
"i'm here at this institution becauase in order to do what i want to be when i grow up, i need a college degree.",0,['Planning to become a physical therapist requires a degree or some form of education']
planning to become a physical therapist requires a degree or some form of education.,1,['Planning to become a physical therapist requires a degree or some form of education']
that is the main reason i'm here.,0,['Planning to become a physical therapist requires a degree or some form of education']
another reason why i'm here is because of the college experience.,0,['Planning to become a physical therapist requires a degree or some form of education']
"after graduating high school there are three paths a person might take: work immediately, enroll into the military, or go back to school.",0,['Planning to become a physical therapist requires a degree or some form of education']
"so, i chose to go back to school.",0,['Planning to become a physical therapist requires a degree or some form of education']
i'm bad at math and physics is math.,0,['here to get a kin degree bc I find the subject interesting and I want to help people.']
here to get a kin degree bc i find the subject interesting and i want to help people.,1,['here to get a kin degree bc I find the subject interesting and I want to help people.']
why am i here?,0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']"
i'm here because i want to become a doctor in the near future.,1,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']"
i want to save lifes.,0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']"
"i'm the first one in my family to go to college and even though it's taken me longer than i had hoped, i'm almost there.",0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']"
i don't want to give up because this is something that i really want to do.,0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']"
i'm here because i have a dream and i will accomplish it.,0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']"
i struggle and don't understand everything right away.,0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']"
it takes me time but i get it eventually.,0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']"
i want to be the first in my family to graduate and become a doctor.,1,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']"
that's why i'm here.,0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']"
i feel the importance of me being here is to better myself.,1,['My dream is to get my masters and PHD in Psychology']
over time i actually didn't know if i would end up here but i love to be here.,0,['My dream is to get my masters and PHD in Psychology']
my dream is to get my masters and phd in psychology and i feel so much closer to that goal then any before.,1,['My dream is to get my masters and PHD in Psychology']
gives me a clear view of what i want in life.,0,['My dream is to get my masters and PHD in Psychology']
i don't know if this question is pertaining to why am i here at san francisco state university or why am i here in this class.,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.']
i am going to answer both.,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.']
"i am here at san francisco state university because i wanted to be able to be far from home, but not too far.",0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.']
"a one hour airplane trip back home, 7 hour drive.",0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.']
i wanted to experience a different environment and a different culture because not everything done in socal is done in norcal.,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.']
i am in college specifically to pursue my one and only career which is to be a veterinarian.,1,['I am in college specifically to pursue my one and only career which is to be a veterinarian.']
getting declined from uc davis because they have a great vet program lead me over here where i can get my degree then try uc davis later.,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.']
"i am here to get my degree, network, and to make great friendships.",0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.']
why am i here in this sci 111 course?,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.']
i am in this course because i am new to physics i never took physics in high school because i was told it can mess up my gpa. hearing that i already knew it would be a challenging course.,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.']
i am in the course to get more help with understanding the concept and formulas of physics because the first class was very confusing and my professor teaches very fast.,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.']
what i hope to get out of this sci class is a clear understanding of how to solve and physics problem and be confident that i know how to do it.,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.']
i am here for many reasons.,0,['After college i want to go onto medical school to become a neonatal surgeon.']
one of the main reasons i am here is to get an education.,0,['After college i want to go onto medical school to become a neonatal surgeon.']
after college i want to go onto medical school to become a neonatal surgeon.,1,['After college i want to go onto medical school to become a neonatal surgeon.']
i can only achieve this dream if i have an education.,0,['After college i want to go onto medical school to become a neonatal surgeon.']
i personally believe that an education is the key to success.,0,['After college i want to go onto medical school to become a neonatal surgeon.']
having an education opens up doors that you would not be able to access if you didnt have an education.,0,['After college i want to go onto medical school to become a neonatal surgeon.']
being here at san francisco state gives me an opportunity to get an education.,0,['After college i want to go onto medical school to become a neonatal surgeon.']
"secondly, i am here to make friends and experience new things.",0,['After college i want to go onto medical school to become a neonatal surgeon.']
san francisco is a really good place to explore new concepts and get to know new people.,0,['After college i want to go onto medical school to become a neonatal surgeon.']
finally i am here to find myself.,0,['After college i want to go onto medical school to become a neonatal surgeon.']
being away from home in a new city has taught me so many things especially about myself.,0,['After college i want to go onto medical school to become a neonatal surgeon.']
i have learned that i am capable of more than i thought i was.,0,['After college i want to go onto medical school to become a neonatal surgeon.']
"i have learned a lot since being here and i cant wait to learn more not only about myself, but about becoming a doctor as well as learning new things in the world.",0,['After college i want to go onto medical school to become a neonatal surgeon.']
i am very lucky to be at san francisco state because not everyone is able to get a college education.,0,['After college i want to go onto medical school to become a neonatal surgeon.']
i am here to learn more about physics.,0,['I am here to get a degree.']
"i come here to achieve the skills needed to solve physics problems, all sorts.",0,['I am here to get a degree.']
"i need to be able to remember, comprehend, and manipulate various formulas.",0,['I am here to get a degree.']
i come here to learn more about concepts that physics has in general.,0,['I am here to get a degree.']
"i also need physics to get into the medical school i want to get into, but i really enjoy physics and the challenging problems it brings.",0,['I am here to get a degree.']
i am also here to get my general education done.,0,['I am here to get a degree.']
"most importantly, i am here because i want to understand more about physics because my grandfather was a physics professor and also taught at uc berkeley.",0,['I am here to get a degree.']
"i am here to understand measurements, calculations, and various types of problems that specialize in different laws of gravity.",0,['I am here to get a degree.']
"i am here to build a life for myself and am starting with getting a good grade in physics, and this class will hopefully enable me to do so.",0,['I am here to get a degree.']
i am here to get a degree.,1,['I am here to get a degree.']
i am here to enjoy my life in a part of the world that is still somewhat new to me.,0,['I am here to get a degree.']
i am here because i want to experience adulthood and life on my own.,0,['I am here to get a degree.']
i am here to start my life.,0,['I am here to get a degree.']
i am here because i am a first generation college student and i am interested in the medical field.,1,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine']
i have always had a passion to help people and i believe the medical field is the best way to fulfill my passion.,0,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine']
i want to show all the minorities that you can do it too.,0,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine']
i want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.,0,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine']
i feel very welcome here at san francisco state and i believe that this is a very friendly and helpful place to learn especially as a premed student with a lot of opportunities that we have available.,0,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine']
i feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.,1,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine']
"as a second year, i can not imagine myself being at no other college and feeling very comfortable like i do here to get to my career path in the medical field.",0,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine']
becoming a doctor has been a lifelong dream of mine and i plan on enjoying my journey with amazing opportunities here at sfsu.,0,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine']
i am in this sci class in the hopes of getting a really good grade in general physics 1.,0,['I am hoping for an A']
"i am hoping for an a, and i honestly think it is doable because of all the extra time i am going to be putting in to make sure i understand all the concepts.",1,['I am hoping for an A']
"it will also prepare me for general physics 2, which will hopefully help me down the road somehow when i am in pharmacy school.",0,['I am hoping for an A']
"this is my first semester at sfsu, i am a transfer student from southern california (sylmar).",0,['I am hoping for an A']
i did not know what to expect for my first semester out here so i also decided to enroll in this course for safety measures just to make sure my first semester alone would go by more smoothly..,0,['I am hoping for an A']
i decided to come to sfsu to spend these last 2 years of my bachelors degree as focused as possible with no distractions to hold me back from reaching my goal.,0,['I am hoping for an A']
so far the school has been good to me other than the fact that all of my first exams fall on the same week.,0,['I am hoping for an A']
i plan on applying my full attention in class and going over the worksheets when i am home to further prepare me for my exam.,0,['I am hoping for an A']
why am i here?,0,"[""I'm enrolled in the physics lecture class because I want to graduate college and attend medical school.""]"
i'm enrolled in this class so that i have a better understanding of the material taught in my physics class.,0,"[""I'm enrolled in the physics lecture class because I want to graduate college and attend medical school.""]"
i'm here to solve practice problems as well as work in groups to help myself as well as the participants in my group.,0,"[""I'm enrolled in the physics lecture class because I want to graduate college and attend medical school.""]"
i'm enrolled in the physics lecture class because i want to graduate college and attend medical school.,1,"[""I'm enrolled in the physics lecture class because I want to graduate college and attend medical school.""]"
"in order to get to medical school, i have to take the mcat. on the mcat, there is a whole section dedicated to physics, in order to complete this section, i need to have a deep understanding of physics.",0,"[""I'm enrolled in the physics lecture class because I want to graduate college and attend medical school.""]"
