sentence,label,phrase,batch
i'm here because my parents came here during the vietnam war for a better life.,1,"[""I'm here because my parents came here during the vietnam war for a better life. She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well."", 'I am here because I saw my mother struggle to feed my 7 siblings I.']",1
i mean my mother wouldn't have been on a boat for 2 weeks for me to not work hard for a better life.,0,"[""I'm here because my parents came here during the vietnam war for a better life. She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well."", 'I am here because I saw my mother struggle to feed my 7 siblings I.']",1
she made a lot of sacrifices for me to be here.,1,"[""I'm here because my parents came here during the vietnam war for a better life. She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well."", 'I am here because I saw my mother struggle to feed my 7 siblings I.']",1
i guess you can say the same for my fathers sacrifices i am to be here as well.,1,"[""I'm here because my parents came here during the vietnam war for a better life. She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well."", 'I am here because I saw my mother struggle to feed my 7 siblings I.']",1
"i am also here because the formula to being successful is getting knowledge to do better, be better and to reinvent.",0,"[""I'm here because my parents came here during the vietnam war for a better life. She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well."", 'I am here because I saw my mother struggle to feed my 7 siblings I.']",1
i am here because i saw my mother struggle to feed my 7 siblings i. i'm here because i don't want to be poor.,1,"[""I'm here because my parents came here during the vietnam war for a better life. She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well."", 'I am here because I saw my mother struggle to feed my 7 siblings I.']",1
i am here because i have goals that i want to achieve.,0,['I was born in Mexico and my mom brought me here for a better future so she is who I do it all for.'],1
i am here to better myself for me and my family.,1,['I was born in Mexico and my mom brought me here for a better future so she is who I do it all for.'],1
i am here to become stronger mentally more educated.,0,['I was born in Mexico and my mom brought me here for a better future so she is who I do it all for.'],1
i am here to set an example for my sisters and other young women in my life.,0,['I was born in Mexico and my mom brought me here for a better future so she is who I do it all for.'],1
i was born in mexico and my mom brought me here for a better future so she is who i do it all for.,1,['I was born in Mexico and my mom brought me here for a better future so she is who I do it all for.'],1
"i am here for many reasons: make myself proud happy getting education is a priveledge, knowledge is power!",0,"['For my loved ones These include my family, friends, my lover They all push me to achieve greatness, with their unwavering support, they give me power to stay grounded']",1
lowkey school makes me happy.,0,"['For my loved ones These include my family, friends, my lover They all push me to achieve greatness, with their unwavering support, they give me power to stay grounded']",1
to help my community; i want to give back to all who have touched me.,0,"['For my loved ones These include my family, friends, my lover They all push me to achieve greatness, with their unwavering support, they give me power to stay grounded']",1
