sentence,label,phrase,batch
i'm here because my parents came here during the vietnam war for a better life.,1,"['She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well.', 'I am here because I saw my mother struggle to feed my 7 siblings I.']",1
i mean my mother wouldn't have been on a boat for 2 weeks for me to not work hard for a better life.,0,"['She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well.', 'I am here because I saw my mother struggle to feed my 7 siblings I.']",1
she made a lot of sacrifices for me to be here.,1,"['She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well.', 'I am here because I saw my mother struggle to feed my 7 siblings I.']",1
i guess you can say the same for my fathers sacrifices i am to be here as well.,1,"['She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well.', 'I am here because I saw my mother struggle to feed my 7 siblings I.']",1
"i am also here because the formula to being successful is getting knowledge to do better, be better and to reinvent.",0,"['She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well.', 'I am here because I saw my mother struggle to feed my 7 siblings I.']",1
i am here because i saw my mother struggle to feed my 7 siblings i. i'm here because i don't want to be poor.,1,"['She made a lot of sacrifices for me to be here. I guess you can say the same for my fathers sacrifices I am to be here as well.', 'I am here because I saw my mother struggle to feed my 7 siblings I.']",1
"i am here because i want to better myself my family, not only financially but in health.",1,"['I am here because I want to better myself my family, not only financially but in health.']",1
being in this instituion will pave a way for me to become a professional.,0,"['I am here because I want to better myself my family, not only financially but in health.']",1
i know that as a child i never thought of education and a career for someone who is undocumented.,0,"['I am here because I want to better myself my family, not only financially but in health.']",1
"i hope to reach a position in which i can inspire and prove to all of the ""immigrants"" in the usa that achieving and surpassing struggle is possible.",0,"['I am here because I want to better myself my family, not only financially but in health.']",1
"also, statistics have shown that people with higher education and wealth tend to be healthier.",0,"['I am here because I want to better myself my family, not only financially but in health.']",1
with my career diploma i can improve my health the health of my family.,1,"['I am here because I want to better myself my family, not only financially but in health.']",1
i am here at sfsu because i am a first generation student and i want to break the cycle in my family of not going to college.,1,"['As the oldest of 3 siblings, I want to be a role model and set a good example for my siblings.']",1
school has always helped me escape the hard things i live through everday.,0,"['As the oldest of 3 siblings, I want to be a role model and set a good example for my siblings.']",1
"as the oldest of 3 siblings, i want to be a role model and set a good example for my siblings.",1,"['As the oldest of 3 siblings, I want to be a role model and set a good example for my siblings.']",1
i have always valued my education and i think its definitely the most important thing in my life.,0,"['As the oldest of 3 siblings, I want to be a role model and set a good example for my siblings.']",1
i want to help my community while i'm here and become a better version of me.,0,"['As the oldest of 3 siblings, I want to be a role model and set a good example for my siblings.']",1
i am here because i have goals that i want to achieve.,0,"['I am here to set an example for my sisters', 'I was born in Mexico and my mom brought me here for a better future so she is who I do it all for.']",1
i am here to better myself for me and my family.,1,"['I am here to set an example for my sisters', 'I was born in Mexico and my mom brought me here for a better future so she is who I do it all for.']",1
i am here to become stronger mentally more educated.,0,"['I am here to set an example for my sisters', 'I was born in Mexico and my mom brought me here for a better future so she is who I do it all for.']",1
i am here to set an example for my sisters and other young women in my life.,0,"['I am here to set an example for my sisters', 'I was born in Mexico and my mom brought me here for a better future so she is who I do it all for.']",1
i was born in mexico and my mom brought me here for a better future so she is who i do it all for.,1,"['I am here to set an example for my sisters', 'I was born in Mexico and my mom brought me here for a better future so she is who I do it all for.']",1
i am here at sfsu for a better future.,0,"[""pay for a house for my mother so that she doesn't have to work another day in her life""]",1
a future where i don't have to struggle at the end of the month to pay bills or provide for my family.,1,"[""pay for a house for my mother so that she doesn't have to work another day in her life""]",1
to achieve goals such as open up a homeless shelter pay for a house for my mother so that she doesn't have to work another day in her life.,0,"[""pay for a house for my mother so that she doesn't have to work another day in her life""]",1
