sentence,label,phrase,batch
i am here at sfsu because i am a first generation student and i want to break the cycle in my family of not going to college.,1,['I am here at SFSU because I am a first generation student'],1
school has always helped me escape the hard things i live through everday.,0,['I am here at SFSU because I am a first generation student'],1
"as the oldest of 3 siblings, i want to be a role model and set a good example for my siblings.",1,['I am here at SFSU because I am a first generation student'],1
i have always valued my education and i think its definitely the most important thing in my life.,0,['I am here at SFSU because I am a first generation student'],1
i want to help my community while i'm here and become a better version of me.,0,['I am here at SFSU because I am a first generation student'],1
i am here in this class because i want a little extra help in my physics course.,0,['I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away'],1
the reason i am taking physics is because it's a required course for my biology major.,0,['I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away'],1
i am majoring in bio to get to my career goal of becoming a doctor or something in the medical field.,0,['I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away'],1
the reason i came to sf state is because i wante to be in a new environment away from where i'm from (la).,0,['I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away'],1
i knew this step was going to be an important step in my life because i was the first in my family to go to college and especially away,1,['I knew this step was going to be an important step in my life because I was the first in my family to go to college and especially away'],1
why am i here?,0,"[""I'm the first one in my family to go to college""]",1
i'm here because i want to become a doctor in the near future.,0,"[""I'm the first one in my family to go to college""]",1
i want to save lifes.,0,"[""I'm the first one in my family to go to college""]",1
"i'm the first one in my family to go to college and even though it's taken me longer than i had hoped, i'm almost there.",1,"[""I'm the first one in my family to go to college""]",1
i don't want to give up because this is something that i really want to do.,0,"[""I'm the first one in my family to go to college""]",1
i'm here because i have a dream and i will accomplish it.,0,"[""I'm the first one in my family to go to college""]",1
i struggle and don't understand everything right away.,0,"[""I'm the first one in my family to go to college""]",1
it takes me time but i get it eventually.,0,"[""I'm the first one in my family to go to college""]",1
i want to be the first in my family to graduate and become a doctor.,1,"[""I'm the first one in my family to go to college""]",1
that's why i'm here.,0,"[""I'm the first one in my family to go to college""]",1
i am here because i am a first generation college student and i am interested in the medical field.,1,['I am here because I am a first generation college student'],1
i have always had a passion to help people and i believe the medical field is the best way to fulfill my passion.,0,['I am here because I am a first generation college student'],1
i want to show all the minorities that you can do it too.,0,['I am here because I am a first generation college student'],1
i want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.,0,['I am here because I am a first generation college student'],1
i feel very welcome here at san francisco state and i believe that this is a very friendly and helpful place to learn especially as a premed student with a lot of opportunities that we have available.,0,['I am here because I am a first generation college student'],1
i feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.,0,['I am here because I am a first generation college student'],1
"as a second year, i can not imagine myself being at no other college and feeling very comfortable like i do here to get to my career path in the medical field.",0,['I am here because I am a first generation college student'],1
becoming a doctor has been a lifelong dream of mine and i plan on enjoying my journey with amazing opportunities here at sfsu.,0,['I am here because I am a first generation college student'],1
i am here because i always wanted to be involved in the stem field ever since i have been a little kid.,0,['first in my family to be able to go to college'],1
i was first brought in the stem field when my mother brought me a book about the solar system and the formation of the planets and moons in the solar system.,0,['first in my family to be able to go to college'],1
this sparked a natural curiosity inside of me to pursue this knowledge further.,0,['first in my family to be able to go to college'],1
another reason why i am here is that i would be the first in my family to be able to go to college and pursue a degree in biology.,1,['first in my family to be able to go to college'],1
"also, i am an african american male, and there is not a great representation in the stem fields, and i want to help change that perception.",0,['first in my family to be able to go to college'],1
"eventually, when i attended high school, i was apart of an internship at the california academy of sciences as an education intern who would teach people about the various scientific topics that are discussed here.",0,['first in my family to be able to go to college'],1
"during my time there, i started to get more involved with the many biology departments which allow me to set up mentorships with the researchers to develop a love for biology because i have an interest in learning how biology works for the creation of all things that are living on the planet.",0,['first in my family to be able to go to college'],1
i am here because i am a first generation student and i want to make my parents proud.,1,['i am a first generation student'],1
i am so privileged to be able to be going to college and be able to further my education.,0,['i am a first generation student'],1
i want to finish college and then go to medial school and be able to become a obgyn doctor!,0,['i am a first generation student'],1
helping woman and being able to help and see the a human be created and form is so amazing to me and i find it super interesting and i am hoping that being able to go to college and doing good in all my classes will help me with my dreams come true.,0,['i am a first generation student'],1
i am very lucky to be in such an amazing school and that my parents are able to help me and support me every step of the way.,1,['i am a first generation student'],1
my sister wasnt able to go to a four year so for my family me being in a four year school is amazing and the fact that im the first from my family is amazing and i dont want to let them down.,1,['i am a first generation student'],1
i am taking this class for extra help because i want to do really good and i want to be able to understand and pass the class with a good grade and actually understand it so that i can do good in the next physics class that i have to take in the future.,0,['i am a first generation student'],1
i am a first generation college student and i am here to prepare myself for my future in teaching special education.,1,['I am a first generation college student'],1
i came here from texas in order to experience life in a different place and try something new.,0,['I am a first generation college student'],1
"my reason for san francisco state university is that it was originally started as a teachers college and although it isnt one anymore, it still has a wonderful teaching program.",0,['I am a first generation college student'],1
"i am taking physics as a freshman because coming from out of state, college is quite expensive, so i want to get my ge classes out of the way as quickly as possible so i can eventually graduate as quickly as possible.",0,['I am a first generation college student'],1
"because i am a freshman, i didnt realize that i needed to be in a lab along with my physics class, so it was a bit of a struggle to get into it.",0,['I am a first generation college student'],1
luckily i got added to this lab just before the last day that i was allowed to get into a lab to stay in class.,0,['I am a first generation college student'],1
i was excited coming into this semester to take physics because i am a very logical thinker and i feel physics really falls in line with that line of thinking.,0,['I am a first generation college student'],1
"in my junior year of high school i had been excited to take physics, but we had a teacher that didnt teach and just asked us to cheat on the tests so that he didnt look like a bad teacher, so im excited to get a real education on physics.",0,['I am a first generation college student'],1
i am here for many different reasons.,0,['I am a first generation college student'],1
im at san francisco state university because i chose to go to college at a place close enough to home for me to be able to commute and still get to explore a new area.,0,['I am a first generation college student'],1
i knew i wanted to go to college since i was in kindergartenwhen i realized that my dream career was to become a veterinarian.,0,['I am a first generation college student'],1
the implications of the amount of work and dedication that vet school required didnt fully hit me until i was in high school.,0,['I am a first generation college student'],1
"i am a first generation college student, thus the whole college application process and requirements were new to me.",1,['I am a first generation college student'],1
i decided to take ap classes in high school to better prepare myself for the heavy work load that i would be dealing with after i graduated.,0,['I am a first generation college student'],1
my parents immigrated to u.s. in large part to provide their future kids with better opportunities and the financial stability required for us to go to college.,1,['I am a first generation college student'],1
"however, the decision to go to college was completely up to us.",0,['I am a first generation college student'],1
i knew i wanted to become a veterinarian thus beginning my upper level education is a huge achievement to me and im happy it makes my parents proud as well.,1,['I am a first generation college student'],1
im in this physics lab class because its a requirement for my zoology concentration in biology that i am working towards.,0,['I am a first generation college student'],1
"i dont have any prior experience with physics classes, but i am looking forward to learning and strengthening my knowledge on this subject.",0,['I am a first generation college student'],1
student name phys122 journal reflection 1 why am i here? this is an interesting question.,0,['There is a certain pressure put upon many first generation children to thrive for the sake of the family.'],1
"in general, i would say that i am here because my parents both decided to emigrate to san francisco; my father came from lima, peru; my mother came from manila, philippines.",1,['There is a certain pressure put upon many first generation children to thrive for the sake of the family.'],1
there is a certain pressure put upon many first generation children to thrive for the sake of the family.,1,['There is a certain pressure put upon many first generation children to thrive for the sake of the family.'],1
ive been thinking about that a lot these past couple years.,0,['There is a certain pressure put upon many first generation children to thrive for the sake of the family.'],1
"i wonder how this pressure has affected my development, and in what ways (if any) do i plan to fulfill these generational wishes.",0,['There is a certain pressure put upon many first generation children to thrive for the sake of the family.'],1
"looking back, i would say this pressure to succeed for the family is a big part of why i studied stem in college instead of the regular hobbies i had growing up: literature and music.",1,['There is a certain pressure put upon many first generation children to thrive for the sake of the family.'],1
it seemed like the responsible decision to make.,0,['There is a certain pressure put upon many first generation children to thrive for the sake of the family.'],1
"the alternatives to being a scientist were to be a nurse, doctor, or a bit of a disappointment.",0,['There is a certain pressure put upon many first generation children to thrive for the sake of the family.'],1
"granted, this sounds like a concerning motivation for education, but i must now tell you that i still felt a sense of agency in this decision.",0,['There is a certain pressure put upon many first generation children to thrive for the sake of the family.'],1
it was my decision to study microbiology specifically.,0,['There is a certain pressure put upon many first generation children to thrive for the sake of the family.'],1
i purposely chose not to be a nurse.,0,['There is a certain pressure put upon many first generation children to thrive for the sake of the family.'],1
