sentence,label,phrase,batch
"i am here because i want to better myself my family, not only financially but in health.",0,"['I know that as a child I never thought of education and a career for someone who is undocumented.', 'I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",1
being in this instituion will pave a way for me to become a professional.,0,"['I know that as a child I never thought of education and a career for someone who is undocumented.', 'I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",1
i know that as a child i never thought of education and a career for someone who is undocumented.,1,"['I know that as a child I never thought of education and a career for someone who is undocumented.', 'I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",1
"i hope to reach a position in which i can inspire and prove to all of the ""immigrants"" in the usa that achieving and surpassing struggle is possible.",1,"['I know that as a child I never thought of education and a career for someone who is undocumented.', 'I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",1
"also, statistics have shown that people with higher education and wealth tend to be healthier.",0,"['I know that as a child I never thought of education and a career for someone who is undocumented.', 'I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",1
with my career diploma i can improve my health the health of my family.,0,"['I know that as a child I never thought of education and a career for someone who is undocumented.', 'I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.']",1
i am here because i care about my community and to help empower those around me.,0,['I am here in the science community because I feel that my people (of color and being a female) are under represented.'],1
i am here in the science community because i feel that my people (of color and being a female) are under represented.,1,['I am here in the science community because I feel that my people (of color and being a female) are under represented.'],1
i want to contribute my knowledge that i've gain since i've been at sf state to those around me and become a role model for my younger cousins back where i'm from.i am also here because i want to gain new perspective from my peers because,0,['I am here in the science community because I feel that my people (of color and being a female) are under represented.'],1
i am here because i am dedicated to my success in my stem based courses.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
i am here because im not afraid to ask for help and guidance.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
im here because i want to be apart of a new community.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
i was apart of a sci course last semester and i loved how helpful the instructors were.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
i felt comfortable with them and it gave me time to ask specific questions that i had and have something close to a one on one explanation.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
sci allows a welcoming atmosphere where i can be helped by the instructors or my peers and we as a unit are able to solve problems.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
a lot of the time i feel uncomfortable im my regular stem classes because i feel that i may be the only one not understanding.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
i also know that the time allotted for the professors are not enough to begin with.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
"at the sci classes, we usually go over worksheets that answer my questions.",0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
"at the sci classes, we usually go over worksheets that answer my questions.",0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
im here because i want to be.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
im here because i want to be.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
you so know that the time allotted for the professors are not enough to begin with.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
"at the sci classes, we usually go over worksheets that answer my questions.",0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
"at the sci classes, we usually go over worksheets that answer my questions.",0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
im here because i want to be.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
im here because i want to be.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
i am here for my parents and my family.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
i am here for my family members who could not make it this far.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
i here to show those family members that they can be here too.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
im here for all the little colored girls who do not have positive figures to look up to in their communities.,1,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],1
i am here because i am a first generation college student and i am interested in the medical field.,0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],1
i have always had a passion to help people and i believe the medical field is the best way to fulfill my passion.,0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],1
i want to show all the minorities that you can do it too.,0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],1
i want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.,0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],1
i feel very welcome here at san francisco state and i believe that this is a very friendly and helpful place to learn especially as a premed student with a lot of opportunities that we have available.,0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],1
i feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.,0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],1
"as a second year, i can not imagine myself being at no other college and feeling very comfortable like i do here to get to my career path in the medical field.",0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],1
becoming a doctor has been a lifelong dream of mine and i plan on enjoying my journey with amazing opportunities here at sfsu.,0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],1
i am here because i always wanted to be involved in the stem field ever since i have been a little kid.,0,"['I am an African American male, and there is not a great representation in the STEM fields, and I want to help change that perception.']",1
i was first brought in the stem field when my mother brought me a book about the solar system and the formation of the planets and moons in the solar system.,0,"['I am an African American male, and there is not a great representation in the STEM fields, and I want to help change that perception.']",1
this sparked a natural curiosity inside of me to pursue this knowledge further.,0,"['I am an African American male, and there is not a great representation in the STEM fields, and I want to help change that perception.']",1
another reason why i am here is that i would be the first in my family to be able to go to college and pursue a degree in biology.,0,"['I am an African American male, and there is not a great representation in the STEM fields, and I want to help change that perception.']",1
"also, i am an african american male, and there is not a great representation in the stem fields, and i want to help change that perception.",1,"['I am an African American male, and there is not a great representation in the STEM fields, and I want to help change that perception.']",1
"eventually, when i attended high school, i was apart of an internship at the california academy of sciences as an education intern who would teach people about the various scientific topics that are discussed here.",0,"['I am an African American male, and there is not a great representation in the STEM fields, and I want to help change that perception.']",1
"during my time there, i started to get more involved with the many biology departments which allow me to set up mentorships with the researchers to develop a love for biology because i have an interest in learning how biology works for the creation of all things that are living on the planet.",0,"['I am an African American male, and there is not a great representation in the STEM fields, and I want to help change that perception.']",1
