sentence,label,phrase,batch
why am i here?,0,['I always wanted to be able to help people'],1
well why does anyone pursue a higher education?,0,['I always wanted to be able to help people'],1
to better one self and be able to succeed later on in life.,0,['I always wanted to be able to help people'],1
"ever since i was little i wanted to be a doctor, so much so that i can't see myself doing anything else.",0,['I always wanted to be able to help people'],1
i always wanted to be able to help people and i always had an intrest in medicine and the human body.,1,['I always wanted to be able to help people'],1
i guess i here so i'll be able to help people in the future.,1,['I always wanted to be able to help people'],1
"to make a better future for myself and ultimately the world, as cheesy as that sounds.",0,"['to make a better future for myself and ultimately the world', 'to put this passion into my school to later help people']",1
"im a very passionate person and thats why im here, to put this passion into my school to later help people.",1,"['to make a better future for myself and ultimately the world', 'to put this passion into my school to later help people']",1
science is the only thing that makes sense to me sometimes.,0,"['to make a better future for myself and ultimately the world', 'to put this passion into my school to later help people']",1
whenever im struggling i know i can fall back on science.,0,"['to make a better future for myself and ultimately the world', 'to put this passion into my school to later help people']",1
"to give you a better example, when in conversation with people and i feel as if i dont know what to say, i know i always have biology to talk about and take me back to my safe zone.",1,"['to make a better future for myself and ultimately the world', 'to put this passion into my school to later help people']",1
i am here at sfsu for a better future.,0,"['To achieve goals such as open up a homeless shelter', 'I aspire to become a doctor because I know that not only can I change my life, families, but also the people around me.']",1
a future where i don't have to struggle at the end of the month to pay bills or provide for my family.,0,"['To achieve goals such as open up a homeless shelter', 'I aspire to become a doctor because I know that not only can I change my life, families, but also the people around me.']",1
to achieve goals such as open up a homeless shelter pay for a house for my mother so that she doesn't have to work another day in her life.,0,"['To achieve goals such as open up a homeless shelter', 'I aspire to become a doctor because I know that not only can I change my life, families, but also the people around me.']",1
"i aspire to become a doctor because i know that not only can i change my life, families, but also the people around me.",0,"['To achieve goals such as open up a homeless shelter', 'I aspire to become a doctor because I know that not only can I change my life, families, but also the people around me.']",1
"as for why i am here in san francisco, i moved away to isolate myself from any distractions that would cause me to not reach my highest potential.",0,"['To achieve goals such as open up a homeless shelter', 'I aspire to become a doctor because I know that not only can I change my life, families, but also the people around me.']",1
"i am here for many reasons: make myself proud happy getting education is a priveledge, knowledge is power!",0,['I am able to gain perspectives sufficient knowledge to provide a helping hand to all.'],1
lowkey school makes me happy.,0,['I am able to gain perspectives sufficient knowledge to provide a helping hand to all.'],1
to help my community; i want to give back to all who have touched me.,1,['I am able to gain perspectives sufficient knowledge to provide a helping hand to all.'],1
"by going to school teaching this class, i am able to gain perspectives sufficient knowledge to provide a helping hand to all.",0,['I am able to gain perspectives sufficient knowledge to provide a helping hand to all.'],1
"for change, i am here to change my life others.",0,['I am able to gain perspectives sufficient knowledge to provide a helping hand to all.'],1
somewhow i will accomplish that by finding myself learning from others.,0,['I am able to gain perspectives sufficient knowledge to provide a helping hand to all.'],1
"for my loved ones these include my family, friends, my lover they all push me to achieve greatness, with their unwavering support, they give me power to stay grounded",1,['I am able to gain perspectives sufficient knowledge to provide a helping hand to all.'],1
i'm bad at math and physics is math.,0,['I want to help people.'],1
here to get a kin degree bc i find the subject interesting and i want to help people.,0,['I want to help people.'],1
why am i here?,0,['I want to save lifes'],1
i'm here because i want to become a doctor in the near future.,0,['I want to save lifes'],1
i want to save lifes.,0,['I want to save lifes'],1
"i'm the first one in my family to go to college and even though it's taken me longer than i had hoped, i'm almost there.",0,['I want to save lifes'],1
i don't want to give up because this is something that i really want to do.,0,['I want to save lifes'],1
