sentence,phrases,label
why am i here,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else""]",0
well why does anyone pursue a higher education,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else""]",0
to better one self and be able to succeed later on in life,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else""]",0
"ever since i was little i wanted to be a doctor, so much so that i can't see myself doing anything else","[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else""]",1
i always wanted to be able to help people and i always had an intrest in medicine and the human body,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else""]",0
i guess i here so i'll be able to help people in the future,"[""Ever since I was little I wanted to be a doctor, so much so that I can't see myself doing anything else""]",0
i am here to better myself and hopefully give myself a better future,['I am in this class because I want to pass physics and getting an A is part of that journey'],0
i am in this class because i want to pass physics and getting an a is part of that journey,['I am in this class because I want to pass physics and getting an A is part of that journey'],1
also the reason why i am here in san francisco is to experience new things and figure myself out,['I am in this class because I want to pass physics and getting an A is part of that journey'],0
"im a psychology major, however im unsure what exactly i want to do with that, therefore im taking a physics class which pretty unecessary for my major",['I am in this class because I want to pass physics and getting an A is part of that journey'],0
i am here in this class because i want a little extra help in my physics course,['I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field'],0
the reason i am taking physics is because it's a required course for my biology major,['I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field'],0
i am majoring in bio to get to my career goal of becoming a doctor or something in the medical field,['I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field'],1
the reason i came to sf state is because i wante to be in a new environment away from where i'm from (la),['I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field'],0
i knew this step was going to be an important step in my life because i was the first in my family to go to college and especially away,['I am majoring in bio to get to my career goal of becoming a doctor or something in the medical field'],0
i am here at sfsu for a better future,"['I aspire to become a doctor ', 'To achieve goals such as open up a homeless shelter']",0
a future where i don't have to struggle at the end of the month to pay bills or provide for my family,"['I aspire to become a doctor ', 'To achieve goals such as open up a homeless shelter']",0
to achieve goals such as open up a homeless shelter & pay for a house for my mother so that she doesn't have to work another day in her life,"['I aspire to become a doctor ', 'To achieve goals such as open up a homeless shelter']",1
"i aspire to become a doctor because i know that not only can i change my life, families, but also the people around me","['I aspire to become a doctor ', 'To achieve goals such as open up a homeless shelter']",1
"as for why i am here in san francisco, i moved away to isolate myself from any distractions that would cause me to not reach my highest potential","['I aspire to become a doctor ', 'To achieve goals such as open up a homeless shelter']",0
i'm here because i want to improve my understanding in physics,"['In the end, the goal is to achieve an A for my physics course']",0
i haven't taken a physics course since high school therefore i'm a little rusty,"['In the end, the goal is to achieve an A for my physics course']",0
i believe attending this si course will develop and improve my overall understanding with material i may be struggling in,"['In the end, the goal is to achieve an A for my physics course']",0
"in the end, the goal is to achieve an a for my physics course","['In the end, the goal is to achieve an A for my physics course']",1
this is why i'm here,"['In the end, the goal is to achieve an A for my physics course']",0
"i'm here at this institution becauase in order to do what i want to be when i grow up, i need a college degree",['Planning to become a physical therapist requires a degree or some form of education'],0
planning to become a physical therapist requires a degree or some form of education,['Planning to become a physical therapist requires a degree or some form of education'],1
that is the main reason i'm here,['Planning to become a physical therapist requires a degree or some form of education'],0
another reason why i'm here is because of the college experience,['Planning to become a physical therapist requires a degree or some form of education'],0
"after graduating high school there are three paths a person might take: work immediately, enroll into the military, or go back to school",['Planning to become a physical therapist requires a degree or some form of education'],0
"so, i chose to go back to school",['Planning to become a physical therapist requires a degree or some form of education'],0
i'm bad at math and physics is math,['here to get a kin degree b/c I find the subject interesting and I want to help people'],0
here to get a kin degree b/c i find the subject interesting and i want to help people,['here to get a kin degree b/c I find the subject interesting and I want to help people'],1
why am i here,"[""I'm here because I want to become a doctor in the near future"", '', 'I want to be the first in my family to graduate and become a doctor']",0
i'm here because i want to become a doctor in the near future,"[""I'm here because I want to become a doctor in the near future"", '', 'I want to be the first in my family to graduate and become a doctor']",1
i want to save lifes,"[""I'm here because I want to become a doctor in the near future"", '', 'I want to be the first in my family to graduate and become a doctor']",0
"i'm the first one in my family to go to college and even though it's taken me longer than i had hoped, i'm almost there","[""I'm here because I want to become a doctor in the near future"", '', 'I want to be the first in my family to graduate and become a doctor']",1
i don't want to give up because this is something that i really want to do,"[""I'm here because I want to become a doctor in the near future"", '', 'I want to be the first in my family to graduate and become a doctor']",0
i'm here because i have a dream and i will accomplish it,"[""I'm here because I want to become a doctor in the near future"", '', 'I want to be the first in my family to graduate and become a doctor']",0
i struggle and don't understand everything right away,"[""I'm here because I want to become a doctor in the near future"", '', 'I want to be the first in my family to graduate and become a doctor']",0
it takes me time but i get it eventually,"[""I'm here because I want to become a doctor in the near future"", '', 'I want to be the first in my family to graduate and become a doctor']",0
i want to be the first in my family to graduate and become a doctor,"[""I'm here because I want to become a doctor in the near future"", '', 'I want to be the first in my family to graduate and become a doctor']",1
that's why i'm here,"[""I'm here because I want to become a doctor in the near future"", '', 'I want to be the first in my family to graduate and become a doctor']",0
i feel the importance of me being here is to better myself,['My dream is to get my masters and PHD in Psychology'],0
over time i actually didn't know if i would end up here but i love to be here,['My dream is to get my masters and PHD in Psychology'],0
my dream is to get my masters and phd in psychology and i feel so much closer to that goal then any before,['My dream is to get my masters and PHD in Psychology'],1
gives me a clear view of what i want in life,['My dream is to get my masters and PHD in Psychology'],0
i don't know if this question is pertaining to why am i here at san francisco state university or why am i here in this class,['I am in college specifically to pursue my one and only career which is to be a veterinarian'],0
i am going to answer both,['I am in college specifically to pursue my one and only career which is to be a veterinarian'],0
"i am here at san francisco state university because i wanted to be able to be far from home, but not too far",['I am in college specifically to pursue my one and only career which is to be a veterinarian'],0
"a one hour airplane trip back home, 7 hour drive",['I am in college specifically to pursue my one and only career which is to be a veterinarian'],1
i wanted to experience a different environment and a different culture because not everything done in socal is done in norcal,['I am in college specifically to pursue my one and only career which is to be a veterinarian'],1
i am in college specifically to pursue my one and only career which is to be a veterinarian,['I am in college specifically to pursue my one and only career which is to be a veterinarian'],1
getting declined from uc davis because they have a great vet program lead me over here where i can get my degree then try uc davis later,['I am in college specifically to pursue my one and only career which is to be a veterinarian'],0
"i am here to get my degree, network, and to make great friendships",['I am in college specifically to pursue my one and only career which is to be a veterinarian'],0
why am i here in this sci 111 course,['I am in college specifically to pursue my one and only career which is to be a veterinarian'],0
i am in this course because  i am new to physics i never took physics in high school because i was told it can mess up my gpa,['I am in college specifically to pursue my one and only career which is to be a veterinarian'],0
hearing that i already knew it would be a challenging course,['I am in college specifically to pursue my one and only career which is to be a veterinarian'],0
i am in the course to get more help with understanding the concept and formulas of physics because the first class was very confusing and my professor teaches very fast,['I am in college specifically to pursue my one and only career which is to be a veterinarian'],0
what i hope to get out of this sci class is a clear understanding of how to solve and physics problem and be confident that i know how to do it,['I am in college specifically to pursue my one and only career which is to be a veterinarian'],0
i am here for many reasons,['After college i want to go onto medical school to become a neonatal surgeon'],0
one of the main reasons i am here is to get an education,['After college i want to go onto medical school to become a neonatal surgeon'],0
after college i want to go onto medical school to become a neonatal surgeon,['After college i want to go onto medical school to become a neonatal surgeon'],1
i can only achieve this dream if i have an education,['After college i want to go onto medical school to become a neonatal surgeon'],0
i personally believe that an education is the key to success,['After college i want to go onto medical school to become a neonatal surgeon'],0
having an education opens up doors that you would not be able to access if you didn’t have an education,['After college i want to go onto medical school to become a neonatal surgeon'],0
being here at san francisco state gives me an opportunity to get an education,['After college i want to go onto medical school to become a neonatal surgeon'],0
"secondly, i am here to make friends and experience new things",['After college i want to go onto medical school to become a neonatal surgeon'],0
san francisco is a really good place to explore new concepts and get to know new people,['After college i want to go onto medical school to become a neonatal surgeon'],0
finally i am here to find myself,['After college i want to go onto medical school to become a neonatal surgeon'],0
being away from home in a new city has taught me so many things especially about myself,['After college i want to go onto medical school to become a neonatal surgeon'],0
i have learned that i am capable of more than i thought i was,['After college i want to go onto medical school to become a neonatal surgeon'],0
"i have learned a lot since being here and i cant wait to learn more not only about myself, but about becoming a doctor as well as learning new things in the world",['After college i want to go onto medical school to become a neonatal surgeon'],0
i am very lucky to be at san francisco state because not everyone is able to get a college education,['After college i want to go onto medical school to become a neonatal surgeon'],0
i am here to learn more about physics,['I am here to get a degree'],0
"i come here to achieve the skills needed to solve physics problems, all sorts",['I am here to get a degree'],0
"i need to be able to remember, comprehend, and manipulate various formulas",['I am here to get a degree'],0
i come here to learn more about concepts that physics has in general,['I am here to get a degree'],0
"i also need physics to get into the medical school i want to get into, but i really enjoy physics and the challenging problems it brings",['I am here to get a degree'],0
i am also here to get my general education done,['I am here to get a degree'],0
"most importantly, i am here because i want to understand more about physics because my grandfather was a physics professor and also taught at uc berkeley",['I am here to get a degree'],0
"i am here to understand measurements, calculations, and  various types of problems that specialize in different laws of gravity",['I am here to get a degree'],0
"i am here to build a life for myself and am starting with getting a good grade in physics, and this class will hopefully enable me to do so",['I am here to get a degree'],0
i am here to get a degree,['I am here to get a degree'],1
i am here to enjoy my life in a part of the world that is still somewhat new to me,['I am here to get a degree'],0
i am here because i want to experience adulthood and life on my own,['I am here to get a degree'],0
i am here to start my life,['I am here to get a degree'],0
i am here because i am a first generation college student and i am interested in the medical field,"['I am interested in the medical field', 'Becoming a doctor has been a lifelong dream of mine ']",1
i have always had a passion to help people and i believe the medical field is the best way to fulfill my passion,"['I am interested in the medical field', 'Becoming a doctor has been a lifelong dream of mine ']",0
i want to show all the minorities that you can do it too,"['I am interested in the medical field', 'Becoming a doctor has been a lifelong dream of mine ']",0
i want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong,"['I am interested in the medical field', 'Becoming a doctor has been a lifelong dream of mine ']",0
i feel very welcome here at san francisco state and i believe that this is a very friendly and helpful place to learn especially as a pre-med student with a lot of opportunities that we have available,"['I am interested in the medical field', 'Becoming a doctor has been a lifelong dream of mine ']",0
i feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out,"['I am interested in the medical field', 'Becoming a doctor has been a lifelong dream of mine ']",0
"as a second year, i can not imagine myself being at no other college and feeling very comfortable like i do here to get to my career path in the medical field","['I am interested in the medical field', 'Becoming a doctor has been a lifelong dream of mine ']",0
becoming a doctor has been a lifelong dream of mine and i plan on enjoying my journey with amazing opportunities here at sfsu,"['I am interested in the medical field', 'Becoming a doctor has been a lifelong dream of mine ']",1
i am in this sci class in the hopes of getting a really good grade in general physics 1,['I am hoping for an A'],0
"i am hoping for an a, and i honestly think it is do-able because of all the extra time i am going to be putting in to make sure i understand all the concepts",['I am hoping for an A'],1
"it will also prepare me for general physics  2, which will hopefully help me down the road somehow when i am in pharmacy school",['I am hoping for an A'],0
"this is my first semester at sfsu, i am a transfer student from southern california (sylmar)",['I am hoping for an A'],0
i did not know what to expect for my first semester out here so i also decided to enroll in this course for safety measures just to make sure my first semester alone would go by more smoothly,['I am hoping for an A'],0
i decided to come to sfsu to spend these last 2 years of my bachelors degree as focused as possible with no distractions to hold me back from reaching my goal,['I am hoping for an A'],0
so far the school has been good to me other than the fact that all of my first exams fall on the same week,['I am hoping for an A'],0
