Year,Semester,Class,Type,Section,Alma ID,Essay: 3
2021,Fall,PHYS 0112,--,7,1717,"When life gets challenging, I get very overwhelmed with my schooling, being a mom and yet somehow managing self care. I tend to feel frustrated and feel like I'm not doing well in school and then I remember why I am doing what I am doing. I will then look at youtube tutorials on the subject that I am not understanding, which in this semester is most likely physics and chemistry. If I watch several youtube videos, and still do not understand, I will then reach out to my peers and ask for help and guidance. I have not yet reached out to San Francisco State’s tutoring center task yet but that would be my last resort since I can’t be on zoom for very long because I have other responsibilities to tend to. So when life gets challenging, depending on the circumstances most likely would look like this. If it were a challenging situation with my son or my workplace, I will try to make things better. "
2021,Fall,PHYS 0112,--,7,1727,"When life gets challenging, I try to take a step back. It's important to remember why I'm working so hard and what I want as a result. When I get really stressed I lose sight of my goals and my motivation disappears. I try to remember that life won't always be that hard and I'm working towards something really important for myself. I have been really stressed in the past couple of weeks trying to balance work and school. I also try to find time to relax. Relaxing is really important when you're stressed because you need to chill and not get overwhelmed. I try to take breaks during studying or homework to listen to music or play with my cat instead of working for hours with no breaks. Giving myself frequent breaks makes doing the work seem not as hard. I also have learned that one assignment being late won't be the end of the world and that it's important to prioritize mental health over everything. If I'm overwhelmed and stressed, I'm not going to be as good as I could be. Missing an assignment or turning it in late is better than working all day every day. It's good to find a balance between the two and not let one swallow the other."
2021,Fall,PHYS 0112,--,7,1725,"There will be multiple times when life gets to challenge to no matter who you are. Responding to difficult situation takes a lot of emotional energy. For myself, I am shaming to tell that I used to be a weak person to hold my self back when approaching to difficulties in the first place such as burning out with fear, falling into self-doubt, hesitating to move on. But then, I notice those negative emotional struggling do not helpful at all, only drive myself deeply into failure instead. So I learn to write down the challenges, think of the root cause of difficulties, and look for solutions for those challenges. The most important thing that I learn from those people who can be quickly recover is ""real action"", small action does matter, do not let myself sink into negative emotions too long."
2021,Fall,PHYS 0112,--,7,669,"When life gets challenging for me I tend to do two things. One of the things I do is isolate myself. It might sound a little contradictory to what people usually recommend but I like to be alone sometimes. Being able to process what is going on, to think about that particular point in my life and to take it all in without any social pressures or people talking to me. Sometimes what people say can only make a situation worse, which is why having time to oneself can work for many people. Usually I'll listen to music or watch television shows when I'm alone. If this seems to not work for me, I do the opposite. I surround myself with love by keeping myself busy with friends, family, coworkers, whoever is there for me and can take the time to listen. Sometimes even playing a video game with someone can be more than enough to not feel alone. "
2021,Fall,PHYS 0112,--,7,1735,"When life gets challenging, I usually try to take a step back and try to relax a bit. When life gets hard, I usually get stressed out and anxious all the time, so I take steps to calm myself down. When I feel anxious, I try to take deep breaths to calm myself down. I also usually try to take a break from the work I am working on, or if I am stressed because of a family matter, I try to take my mind off the situation by doing something else. To distract me or when I need a break from school work, I go outside and get some fresh air. I try to walk my dog or just stand outside for a few minutes. When I am super stressed, I journal about what is happening. I think getting how you feel down on paper helps calm you down, at least for me. I also talk with my friends about what's going on, or just talk to them about something else to get my mind off things. "
2021,Fall,PHYS 0112,--,7,1715,"Not everyday is easy some days are more challenging than the others things tend to get challenging especially during this time, when I feel like life begins to get challenging I take a quick meta moment and reflect on the things that are currently happening to me if the reason comes from classes I usually take time to understand the topic even further which plays a major role when life begins to get challenging. Overall I tend to calm down look at the bright side and try to give it the least attention so it doesn’t drag me down in my own thinking and choices. "
2021,Fall,PHYS 0112,--,7,1724,"When life gets challenging, I usually respond in two ways. one - my brain shuts down and doesn't want to deal with it, I usually get a headache or something caused by anxiety, and then I binge a series until I feel like I've procrastinated enough, then do random productive things to fill the gaps in time, laundry, clean, exercise, etc. OR I get really productive. I write down everything I need to get down and arrange it in the order of importance, I make sure I eat something and have a yerba mate and my water bottle around and start eating away at my list. I don't really leave the house because I don't feel like I've deserved it. It takes time for me to really focus in, but once I'm hyperfocused on something, I'll go until I finish. I put on a 6-8 hour study video on youtube then go from there! I usually end up finishing my work an hour-ish before it's due because my brain already feels fried. "
2021,Fall,PHYS 0112,--,7,1713,"When life gets challenging I tend to try and take mental breaks. One of my down falls I do when I am stressed is I shop. I love to go to target and spend too much money on unnecessary things.. But whatever makes me happy lol. Some of my best ways of coping with stressful times is I listen to music or go on hikes. I like to spend a lot of my time in nature because as cliche as it sounds, it makes me feel grounded. I am able to escape so much and enjoy the outsides. It's a very good distraction. Listening to music gives a lot of benefits as well. There is so much music for every type of mood and helps a lot with cheering you up when you're stressed. Another great way to ease through stressful times is journaling. I like to write and take pics and put it into a journal and it very fun to look back on and see how far I have come, the places I have been, the people that have always been around me and just see where I am now. "
2021,Fall,PHYS 0112,--,7,1379,"When life get challenging I look for ways I can solve the problem I am in. The most important thing I do is try not to stress about it. The more I tend to stress over something, the harder the task becomes. When life gets hard you have to know when to ask for help. Understanding that getting help is okay and will help you in every situation. Most of the time asking for help will resolve the problem. If I am chalked with school I asked for help or try to teach myself. If you teach yourself you will master what you are learning. Another important thing is to take time away from everything to relax. Sometimes stepping away from the situation best helps me. I like to go to a place with a nice view and some good food.  Doing this not only helps with my stress but also helps me recollect my thoughts on how to move forward. "
2021,Fall,PHYS 0112,--,7,1734,"When life gets challenging, some things I like to do include venting to friends or family, taking a small break to reset, and making sure I'm in a positive environment. By venting or talking out my problems with family and friends, this helps me feel that I am not alone and do not have to keep my feelings bottled up. These people can also help me feel better by offering advice or their support. Taking a small break can be useful since it can keep me from becoming too overwhelmed with a challenge. It gives me a chance to breathe and think about what I am doing rather than stress too much about something while allowing me to come back to the challenge and try again from a different perspective. Making sure I am in a positive environment can be very helpful as well. For example, if I and having a hard time with a certain assignment and I am working on it in my room but it is messy, this can add to my stress. Therefore, making sure I am in a clean space can help my mind relax a bit."
