Year,Semester,Class,Type,Section,Alma ID,Essay: 2
2021,Spring,PHYS 0232,--,1,2124,"My goals are to have this knowledge so that I can create and innovate on multiple subjects moving forward.  Several of my personal designs and projects could be even better with a further understanding of physics and a better understanding of how things work as a whole.  Science classes like this one are interesting to me anyways so it makes wanted to learn the material just that much easier.  I have an addiction to knowledge and specifically, scientific topics.  I more I learn, the more I feel I can really make a difference when it comes to making our lives better and easier as a species.  Yes, I have my own projects for my own personal interest and use but for the most part are for the greater population.  I will use this class to help me gain the knowledge I require to do my best work."
2021,Spring,PHYS 0232,--,1,2356,"My goal for learning Physics is to understand the basics of the Universe, so I can develop my critical thinking and be able to apply it in real life. By learning Physics, I should be capable of increasing my creativity, therefore, I can solve real problems in the future, perhaps it will empower my skills in my job role and daily family life. Lastly, I believe learning Physics can improve my academic resilience, in easy words, if I can finish this course, I will pass every other class."
2021,Spring,PHYS 0232,--,1,2093,"I really haven't thought of my goals. I suppose I want to get my degree and graduate, move back to Los Angeles, and work a job where I feel like I am doing something big. This class is needed for my major and to understand more about physics, so taking this class will help me with that. I also feel like this class teaches me more about physics than my lecture class, so I like it a lot. With being able to do some form of experimentation at home, I think I am gaining a better understanding of physics."
2021,Spring,PHYS 0232,--,1,2348,"My goals are to finish getting my degree and to find a career that can help me gain financial stability and still allow me to pursue a future career in music if I am not already on the road to doing so. The way that this class can help me in achieving my goals are by passing this class since it is a requirement for my major. If I am unable to do that, then I won't be able to move forward in getting closer to accomplishing my goals. "
2021,Spring,PHYS 0232,--,1,2354,"My goal is the to try to complete work in the company of others, because I'm a pretty antisocial person. I'm usually the type of person that thinks it is a bother to try to converse with a person about a project and try to the marginalize on an answer. I thought that it would be a lot more efficient if I just relied on myself and try to finish it as fast as I possibly can. After these fast couple of labs that I had it seems clear to me working with others has clear perks too. First they introduce you to certain concepts that might have not been clear to you when you are alone. This is a lesson that can be applied to my major; which is computer science. And this class forces you to work as a unit and try to work together, making me get out of my comfort zone work. More brains put together are better than one.  "
2021,Spring,PHYS 0232,--,1,2347,"Ostyn Sy  Reflection #2  What are my goals and how can this class help me achieve these goals?                            My goals consist of quickly finishing college to get my computer science major so that I can hastily get a job and start getting real life experience and make money. This class is a stepping stone to get my degree. Not only will this class help me towards my major. It will also help me prepare for the real world. I will get experience doing work, writing, doing experiments, and most importantly working with others. These will setup the basic fundamentals for me to practice for my career. In addition to all of this, I will also get to learnt he subject of physics which is very important. It allows me to have better insight and understanding of our physical world. I will have a better idea how objects interact in the world and will not be as surprised when I encounter something abnormal. Ultimately this class will help me prepare for the world at large."
2021,Spring,PHYS 0232,--,1,2345,I want to pass this class so i can continue my college journey and eventually graduate. This class is required for my major so i hope i can get a good understanding of what the fundamentals of this class are. I feel that physics is probably one of most used sciences in terms of every day life because it involves a lot of common sense. So in term it should help me out a lot.
2021,Spring,PHYS 0232,--,1,2349,"My goals for now are mainly just to pass my classes, and eventually graduate. But I guess a more short term goal is to try and get all my work done on time, and to try to understand material in all my classes. This class will help me by helping me learn physics more hands on. At least as hands on as it can get nowadays. It will also help me for my major, as physics is a pretty big part of it. So hopefully I will become proficient enough to help me in later classes as well. But from what I've heard this class seems really important in ENGR 205 which is circuits. I've been warned by friends to make sure I get this stuff down or I'm going to have trouble down the line. So this class will help me reach my goals by preparing me for my future courses and my future career as a whole, I'm assuming. "
2021,Spring,PHYS 0232,--,1,2352,"my main goal right now is just keep on top of my hw and study on my own, this class cant really help me with that to be honest. some of my other goals is to move out of my parents house and into sf asap because i cant stand being in this living condition where my dad yells at eveyone if one person makes a mistake and somehow makes excuses to drag everyone else into the fight. on top of this i want to be supportive of my gf who is working super hard in UCI and is constantly studying"
2021,Spring,PHYS 0232,--,1,187,"Physic is one the science branch that has its own connection with many different field so to deal with engineering fields or its important to have the basic knowledge of physic since I am a student in the field of computer and science for me it’s important to have sufficient knowledge about importance physic topic. As a software engineer, I will face with creating either we application software of apps that need to perform a task, in which some these web application may not be able to build without having basic physic knowledge. let’s take the example of units convertors web application which is not a big application but it required the knowledge of physic similar to this there are many others. This physic lab class designed for us to understand the topic that we cover in a lecture class with more details and work physically on some of these physic topic experiment to enhance our knowledge on such important topic and as well get its benefits for the field our studies to gain the established goal of Designing an application that functions in a perfect way. "
