Year,Semester,Class,Type,Section,Alma ID,Essay: 4
2021,Summer,PHYS 0232,--,1,2118,"Online classes have affected me, especially because I am striving to be a Civil Engineer and without the practices with the machines in my engineering lab, I am unable to get hands-on experience and understand how to use certain tools rather than visualize how to use the tools in watching a youtube video on zoom. I have been frustrated that the pandemic has pushed everybody backward as many of us want to go back to school and learn regularly and do the laboratories in class. Self-care-wise would be going to the gym and releasing my stress from the online learning course and it helps me stay active even through this pandemic. I am concerned about going back to school because as of now, many states have been reopening and the new guidelines have been slightly lenient and which can cause another wave of infections. With this happening, we may not be able to go back to school. As well, as of now, it's unsure if we'll go back for the Sping semester as there is a new wave of infections and a new virus being released."
2021,Summer,PHYS 0232,--,1,3073,"Well - Taking online classes - I have mixed feelingsI like that I don’t have to wake up early in the morning and miss my breakfast. That was totally a pleasing experience, quite different than what I am used to. When I talk about my learning outcome, I list a few of the points below which were stressful, and I remained unsatisfactory with my overall performance. Sometimes, for the assigned homework, I was not able to ask the question(s) for something that was confusing or not clear. Though I was able to get my answers through the suggested sites, however, it was time taking and sometimes I was detracted due to popup messages and related ads. When I compare it with our last year's physical classroom sessions, for sure we had a focus on assigned homework. "
2021,Summer,PHYS 0232,--,1,3065,"Online classes have impacted my learning quite a lot, and it got even harder for me especially since I started my new job last about two months ago which cuts my homework time by a lot. I mean with online classes, it's only helpful if it's asynchronous because I can do it on my own time but most classes for my major are synchronous. I also find it harder to focus during online classes or doing homework for the class itself because there are too many distractions. What works rn is since my schedule is morning shifts I get to work on my assignments once I get home. But the only con is that I don't get to show up to class. Some self-care practices I've been doing is trying to get into the gym more instead of sitting down most of my time at the computer. "
2021,Summer,PHYS 0232,--,1,3074,"During this year, online courses have become a very normal thing for each student. Honestly, if the covid-19 didn't happen in the world, as an international student, I would never have the opportunity to experience all online courses, because students with an F-1 visa cannot choose all online courses or part-time courses. Moreover, International students must choose courses with more than 12 credits or more each semester to ensure the validity of the visa. I think that online courses can allow me to better allocate my time to the study and review of each class. Since I live in San Jose, if I need to go to school every time, I will spend nearly two hours on the road every day (without traffic). However, online teaching greatly reduced the time I would waste on the road, and at the same time, I did not need to pay for the gas on the journey and the parking fee at the school. So online courses are such a kind of good thing for me. And because of the global pandemic of covid-19, we must protect ourselves and stay at home as much as possible to avoid contracting covid-19. For me, my usual outing activities have become a single trip to the supermarket to buy food and daily necessities. At the same time, I will also remember to wear a mask to ensure my safety. "
2021,Summer,PHYS 0232,--,1,3042,"Online classes have impacted my learning in a negative way. Having lectures over Zoom for each class gets pretty exhausting and it is difficult for me to focus because I am not in the right learning environment. I definitely prefer going in-person for class because the learning environment is much better, there is more room for collaboration and interactions between students, and I don't have to stare at a screen all day. Since class has been held online via Zoom my eyes are glued to my laptop screen for much longer than I normally would if I had class in person. For self-care I have tried to finish all of my work beforehand so I have more time to relax and not worry about what assignments I still need to complete. "
2021,Summer,PHYS 0232,--,1,3043,"Online classes have impacted a bit of learning. For example, I now rely less on notes and more on asking peers and google. Before online classes, I would try to understand my notes, but I wouldn't want to bother a classmate's concentration with a question. And typically with lectures, I would usually have to wait until all the way until the end, usually by that time, I would forget the question or become too drained by the end. Nowadays, if I got a question, I could write in chat, and eventually it'll be seen and answered. Also asking something to my peers is just as easy with discord. Although I would say there might be parts where googling was actually detrimental, I would say it definitely helped with the flow. For example, if lets say the Monday morning where I forgot everything, I could like google ""capacitors"" or ""voltage equation from current and resistance"" and get a quick refresher. This way, I don't interrupt the class, and before I might've flipped through notes, and I might've been distracted for a minute or two, which might be crucial to understanding the concept or such. So I'll say online learning helped with the learning of the concept. But is probably detrimental in the application part like solving problems or something like that."
2021,Summer,PHYS 0232,--,1,2121,"Online learning has its challenges. For one, I found that learning online can be a bit more difficult since there are more distractions as home than if I were on campus. At home I do everything from my personal desktop and often I am tempted to browse the web or do other unrelated things during class. Online learning through zoom also has its challenges, not being able to be face to face with the instructors or students disconnects me from building bonds and relationships and make it harder to communicate in class. I generally feel less motivated during a zoom call and I wish I could see my fellow peers and classmates. Pre recorded lectures are also a hassle and I am very unmotivated to watch through them especially if they are hours long. Being at home while doing school has been “easier” since I see my grades gave done better, but it is definitely harder to stay motivated and actively learn. I am trying to balance my school and live and generally I don’t think I am burnt out, just missing life back on campus."
2021,Summer,PHYS 0232,--,1,3075,I would say online classes have impacted my learning negatively. It is much harder to focus on and absorb the material being taught live on zoom. If the classes have recorded lectures it helps a lot but only this class does. The best self-care for me is just working out. Any kind of physical activity whether it be at the gym or even a walk. I prefer doing it alone it helps me clear my mind and gather my thoughts.
2021,Summer,PHYS 0232,--,1,2456,"I'm actually always thinking about this questions because what happened to us is very amazingly weird... like the transformation from doing in class work to completely online work, and it got different when we using different online platforms to fully replace the things that we used to do in real classes.. I would say it made me more comfortable because working behind the screens was so annoying to me.. i actually don't have a lot of things to do because i'm on a different time zone which is about 11+ different than california time.. i'm just making sure to hit the gym on daily so i can get rid of the negativity.. :) "
2021,Summer,PHYS 0232,--,1,2521,"I feel like I have lost a hefty amount of motivation with the switch to virtual learning. However, I'm making an honest effort at trying to keep up with everything since I know that the tuition is very expensive and I want to make the most out of my experience. In terms of self-care, whenever I feel anxious or stressed, I always drop everything and take a break. This can negatively impact my academics, but it was advice given by one of my math professors last semester. She said there was nothing wrong with taking breaks, especially with online learning, so I took that advice wholeheartedly. So far, I think I am doing decently in terms of getting work done despite all of this. I hope we can soon go back to in-person since I perform miles better in that environment, plus it's significantly easier to form study groups."
