Year,Semester,Class,Type,Section,Alma ID,Essay: 5
2020,Fall,ASTR 0116,--,2,1245,"Astronomy Lab 116              Charlotte Zhou   10/14/20     Reflective Journaling Essay #5     I want to major in Psychology, because I want to be able to help people the same way   that other psychologists have helped me. And I want to minor in Counseling because that will   actually allow me to become a therapist. During my senior year, I was given signs that what I   wanted to do with my life was become a therapist, and one example is a friend told me that I was   a great person to talk to about anything going on and that I should be a therapist, and I have been   given further reinforcement by other friends. I see how much the world needs there to be a focus   on mental health since it is such a prevalent issue, and to not put a stigma on people needing to   go to someone to talk about how they’re feeling. Also I just like the thought of being able to talk   to someone, and make a difference in how they feel about their life at the moment and in general."
2020,Fall,ASTR 0116,--,2,1244,"When I picked my major, I had no idea what I wanted to be. I chose the major, international business, so that I’d be taking the generic business classes and have a lot of career options. Although I’ve still not been able to figure out what I want to do career wise, I’ve found interest in many of the business classes. They seem to be very useful in everyday life. It gives me hope that I’ll eventually find a job where I can practice these skills and earn a good amount of money. At the end of the day, my goal is to get a career where I am able to live a healthy lifestyle. I do not want to have to spend my life stressing about money. At the same time, I do not want to be stuck at a job that I do not enjoy doing. I want to be able to take pride in my work and come home without any work related stress."
2020,Fall,ASTR 0116,--,2,1240,"I actually don’t know what I want to major in. And when people say that they don’t know, they   usually have some sort of an idea but I really have no idea. For a while, I wanted to be a labor   and delivery nurse but I don’t anymore. I wanted to do this because I wanted to help people and   I wanted to experience childbirth because it was beautiful but not myself. I just wanted to help   and watch it. But about a year ago I volunteered at a hospital near me in the labor and delivery   floor for a whole year. In the beginning it was ok but as the year went on I started to not like it. I   just didn’t like the vibe in there and it seemed really stressful sometimes. So towards the end of   the year of volunteering I decided that I didn’t really want to do that anymore. Now I'm just trying   to figure out what I want to do and asking people what they are majoring in to get ideas."
2020,Fall,ASTR 0116,--,2,1251,"Reflective Journaling Essay #5  ""Why do I want to go into the field I am majoring in?	 	 The field I am currently majoring in right now is pre-bio, working my way to get into biology even though I'm not really sure which department of biology I want to study and major in. I'm getting interested in marine biology so far this semester. I am taking a marine biology course and I feel like I love it so far exploring and discovering our oceans and animals/organisms. Back in highschool i also took a course in marine biology and I liked it. Even though I don't like science that much, I'm trying my best to major in biology. My goal is to get a degree in biology to go to med-school. One of the reasons why I want to go to med-school is because one of my goals is to become a pediatrician and in order to do that i need a major in science. I always wanted to become a pediatrician because I have an interest in the growth of youth and I like being around kids."
2020,Fall,ASTR 0116,--,2,1242,"1   Hailey Tokushige   Professor Flores   ASTR Lab 116-02   Due:   Astronomy Lab Journal # 5:   Prompt: ""Why do I want to go into the field I am majoring in?""     For as long as I could remember I’ve always had a love for art. Being creative, both   through my thoughts and actions was constantly present in my life. To me, art is more than a   hobby, destresser, but it’s a large factor in my identity. I’m immensely happy in pursuing my   passion. I get a lot of people (older individuals) addressing how my future career can be seen as   “non-realistic” and I can honestly even feel that with/around my peers, who are going into   computer science or medicine. In recent years, I feel them looking down on me and see me as   extremely naive. It’s not like I’m going off to Paris to become a freelance artist, staying up all   night painting and feeding off of 0.50 euros (about $0.60) baguettes. I was selective in choosing   my major, which is visual communications. I like to describe it as the “umbrella” major of   design. It covers typography, graphics, illustration, photography, and much more. It’s about   using images to convey emotions. Whether that be through the nostalgic Coca-Cola logo or the   importance in the cancer ribbons, these symbols were created with time and care, and it impacts   our lives. Some say it’s just “silly art”, but I want to be able to make     As someone who’s still relatively young (I’m a second-year - 19) I feel like this major fits   me perfectly. I may change my mind about what I want to specialize in as I get older, but this"
2020,Fall,ASTR 0116,--,2,1231,"""Why do I want to go into the field I am majoring in?""   The field I am majoring is in Anthropology and I have also decided to minor in Recreation,   Parks, and Tourism. With an emphasis on Cultural Anthropology, I really want to be   involved with my community and ensure the workforce I eventually go into promotes   diversity and access to every individual. The reason I want to do this is because I have seen   one too many instances at places where minorities are treated unequally; even in the   classroom it can be seen. Especially with the uproar of the Black Lives Matter movement, it   has inspired me to want to do more for my own community and within my own culture. I   started having open ended discussions with my family members about it and seeing their   perspectives allowed me to give more thought into my own stance. With Recreation, Parks,   and Tourism I hope to use the knowledge I gain to promote a safe and fun environment   when I decide to coach little kids in soccer."
2020,Fall,ASTR 0116,--,2,1237,"""Why do I want to go into the field I am majoring in?""     I want to go into the field I am majoring in because there are many different job fields I can   qualify for. Another reason why I chose to major in Psychology is because I feel like in the latino   community mental health is overlooked. I think mental health is really important and my people   should know that when going through rough times they are not alone. I would want to change   the stigma that mental health is not an issue. I feel like it is something very important and if   everyone focused on having a healthy mind people in this world would be better. I am also   doing a business minor which will allow me to open up my clothing business. I want to have a lot   of options and be able to do more than just one thing. I hope I am able to accomplish the things   I have in mind."
2020,Fall,ASTR 0116,--,2,1239,"I’m a business marketing major because having my own business is a big goal of mine, and learning how to market products to consumers is essential for owning a business. I’ve wanted my own company since I was young because my dad showed me how hard work now can pay off later. Gaining business skills before going into the business field is very beneficial because it can give you a more grounded understanding of marketing and make you more successful in the long run. I’m excited to be taking business classes because I find them genuinely interesting and engaging. By the end of my 4 years at SFSU I plan on having a deep understanding of marketing and having the skill set to start a business of my own."
2020,Fall,ASTR 0116,--,2,226,"Roxana Garcia Rojas   Ricardo Flores   ASTR 116   12 Oct 2020   “Why do I want to go into the field I am majoring in?""   I am currently majoring in Asian American Studies. Ethnic Studies, from the moment I stepped   foot into San Francisco State, had interested me. I truly think it’s a blessing to have taken an   Ethnic Studies class during my first semester of college, like I’m smart for signing up that class   before college started. As soon as I am done with my BA, I will go on to get my Masters, and   then my Ph.D. I want to go on and teach higher education, that might be high school students or   maybe college students. I’m still figuring out that part. I want to inspire students that with being   educated, you get get farther in life. Which is why these days I am considering teaching high   school students, since that is the first level of higher education. I truly believe Ethnic Studies is   important, that’s what I want to teach. Throughout my life, I learned the history that America   wanted me to learn, a white history. But what about the struggle and resistance of the   “minority”? I want to agitate to revolutionize, the youth are our future."
2020,Fall,ASTR 0116,--,2,1248,"""Why do I want to go into the field I am majoring in?"" First I majored in computer science, but after that I went to Chinese lit major because I think I should learn more Chinese history Chinese word anything related to Chinese. But why  because Chinese lit is a fun major to learn. For me Chinese is always a fun thing to Play while watching Chinese movies and using Chinese slang can be very cool. You will learn a lot by just saying one easy sentence that can have thousands and thousands of  meanings behind it.Chinese It contains a long history of the Chinese nation, a broad and profound culture, and an immortal soul for thousands of years. Chinese is not only a communication tool, but also a manifestation of its own and even the national soft power. The breadth and depth of this language, we will never understand it for a long time。"
