Year,Semester,Class,Type,Section,Alma ID,Essay: 5
2020,Fall,PHYS 0102,--,2,18,"I think that the biggest support I have is from my parents, as they do want to see me get through school and be self-sustaining. I also have a good group of friends who believe in me and the goals I have. As far as I remember there are mental health services that I could find through sfsu or otherwise if I feel like I don't have good coping skills, and I know of some different food bank services in my area if I'm having trouble in that area."
2020,Fall,PHYS 0102,--,2,7,"Honestly I'll say the resources I have the support me through this would be the lecture classes and the activity we do in your lab. I feel like with those two are enough. Beside that I'll say tutoring, there's a lot of people that works with metro that know the basis and the advance of science and in general. I usually go there to ask help whenever I don't understand something from that week. "
2020,Fall,PHYS 0102,--,2,8,"I have many different resources that I can use for support. I have my family and friends that I can rely on if I need help with something academic or personal. For my school work, we have a great community within my program that I can get help from. This community has now been moved online which is very nice. I am not sure how else to answer this question. support comes from those around you. Those around me are my resources for support. "
2020,Fall,PHYS 0102,--,2,19,"Academic wise, our school offers a lot of resources to help and make sure I'm doing well. School resources include the advisors that can help us with our schedules, the tutoring programs that have tutors for every subject, and of course the professors and instructors that teach us are our biggest resources when it comes to needing help in their class. Other than academic resources, I am fortunate enough to have very supportive families and friends who encourage me to fulfill my dreams. I'm very thankful to have multiple resources to choose from. "
2020,Fall,PHYS 0102,--,2,27,"I have my family to support me as this semester has been really tough for me to complete smoothly. I have never had such a rocky semester like this. The pandemic has really affected every aspect of my life and thankfully my family has been doing their best to support me. Normally, I would have a lot of pressure from my family but they have been very understanding. I am very grateful as I am aware others have been impacted by the pandemic far worse than I have. This class has been the most difficult for me to keep up with as I am the most behind in classwork, in comparison to my other courses. I am currently waiting for class recordings to be posted and online versions for the labs to be made available again. I am doing the best with my circumstances to complete the labs and I am going to make sure I complete them all with my best effort! Thank you!"
2020,Fall,PHYS 0102,--,2,5,"Some resources I have to support me is my family. I know I can always count with them and they always support me with everything. Also, I have gotten so much help from a kin professor that I had last semester. she has been always answering and helping me to make sure I have all credits to graduate and that I am doing every requirement. "
2020,Fall,PHYS 0102,--,2,21,"What resources do I have to support me? I personally feel like I have support both academically and personally. I have support academically from professors and resources at school. Professors provide feedback on my work and give me advice on how to improve on assignments which I can utilize with other situations if they tie in. Resources on campus help provide me with any info I need and there are many organizations and clubs that assist me with that. Whether I'm confused with my future, graduation, degree requirements, etc there are also counselors that can help assist with that as well. Personally, I feel like I have so much support from my family and friends. They are always there to give advice and feedback if I ever need it and provide their opinions when I ask for it. I feel the most support from my family because I can choose whatever I love/want to do in life and they would support me on my journey there. I feel like overall I have support from various resources when I need them, whether that'd be educational wise, or personally. "
2020,Fall,PHYS 0102,--,2,24,"I have, thankfully, quite a few resources to support me in anything. First and foremost is my family. Even though they can be a pain in the butt a lot of times, they are always there for me if I need help with something or need someone. Next is my boyfriend, who gives me more emotional support than anything else. He also is there if I need something like a ride, or if I just need a friend he's there. I also have many resources outside of people, such as our school counselors, or even something as simple as the library. I also am blessed enough to afford simple necessities like internet and laptops for school, and even college discounts help a lot with affording things."
2020,Fall,PHYS 0102,--,2,11,"I have many resources to support me whether it's for school, work, or personally. When it comes to school I have easy access to a laptop, books, etc. to help me gain access to school resources. This ultimately helps me study and eventually pass the course. Another resource is my friends and family. My friends help me study while my parents help me financially (books and tuition)."
2020,Fall,PHYS 0102,--,2,14,"I have my friends and family to support me, but most importantly I support myself. I think it is helpful to have external support to lean on, but I think to really be successful, I need to be the main person supporting myself. I am lucky to have financial and emotional support from my family. I am ask grateful to have emotional support from my friends, especially on days where it's harder to support myself. again I think it is nice having external support to lean on, but I think I've learned that I also need to be there for myself"
2020,Fall,PHYS 0102,--,2,1,"I feel as if have various resources that can support me not only academically, but also in life in general. First and most importantly, I have my family that is always by my side and ready to help me whenever possible. I very thankful to have them in my life and they help me out so much. In addition, I also have my friends that I met over the years to support me, whether it be with school or just to talk about life. For academics in particular, there are many resources that I have heard about on the SFSU campus that can assist with schoolwork and tutoring."
2020,Fall,PHYS 0102,--,2,4,"Reﬂection 5: What resources do I have to support me? 	 It all depends on what we are talking about. If we are talking about Academics, the resources I have are my colleagues, professors and counselors. From experience, I know that I wouldn’t have made it this far in my education with out the help of my colleagues, patience from my teachers and advice from my counselors. I actually learned this more and more through out my college years. You have to ask for help if you need it, asking questions is critical to get better understanding of anything.  	 Personal resources I have to support me are my husband, family and friends. If I had to be a student, mother and an employee all by myself, I don’t think I’ll be able to. As they say, it takes a village to raise children, alone is a big responsibility. Sometimes I have a really hard time with my mental health, my anxiety and maybe depression. Having my people to count on is really important."
2020,Fall,PHYS 0102,--,2,22,"Some of the resources that I can identify my are the people who I surround myself with. By having a group of supportive and encouraging friends, I am never short of some motivation to start a new task whenever I need to. Another resource that can support me are post-its. I usually am very schedule oriented and tend to use post-it notes to help schedule out my day. Someone who I can count on to keep me on track is my twin. Since we are both in college online and living in the same room, it is really convenient and helpful to cheer the other brother on and keep them ready and on track for all of the assignments needed.  "
