Year,Semester,Class,Type,Section,Alma ID,Essay: 3
2020,Spring,ASTR 0116,--,2,237,"When life gets challenging, I often find outlets for myself to relax. Usually I enjoy to work on my ceramics projects This is a good way for me to relieve stress because it is a creative outlet. I get to express myself in my clay and it's fun to see where my mind takes me. Additionally, I will take time to put things in perspective. A lot of the assignments and work that I get in college does not challenge me whatsoever. It is hard to find something that actually stimulates my brain, rather than just doing simple busy work or menial assignments. The real challenge here is figuring out my life, and how I will progress for the next couple of years. I hope that I can use all of the stress management lessons that I learn in class to aid my path in life. "
2020,Spring,ASTR 0116,--,2,248,"When life gets challenging, I think it's most important to take a step back. Stress management is essential to me since I get overwhelmed easily if I take on too much. I've always made it a point to plan my workload so that I don't have too much hanging over my head at any point, but things don't always go according to plan. Sometimes I do find myself with a lot on my plate, and I'm a procrastinator, which can make time management a lot harder. At that point I always think it's important to remove yourself from the stress for a little bit. Take a break, take care of myself, and take the time to put things into perspective. Sometimes when you're in the throws of a challenging period in your life, it's hard to see the bigger picture. That's why taking a step back to look at the situation objectively and readjusting your plan as needed is so crucial to stress management. "
2020,Spring,ASTR 0116,--,2,235,"When life gets challenging, I have trouble dealing with it. I tend to ignore things that go wrong and bottle up my emotions until I break. It is not a good habit, so recently I have been trying too break it. With all that is happening in the world, I have found myself more anxious than usual. However, in times of need I usually turn to religion and my faith. Even if I can't attend church, reading scripture and praying gets me through these challenging times."
2020,Spring,ASTR 0116,--,2,236,"When life gets challenging me, I will try to face the trouble and work it out. For example, I have a hard time studying my accounting major class. I used to think of changing my major to astronomy, so it might be easier for me. However, I found a lot of information about astronomy majors. Some people think astronomy is hard to learn and hard to find jobs in the future. When I told them I was in an accounting major, they hoped they could choose accounting major instead of astronomy because they will face more challenges in finding jobs in their future. Then I just realize, nothing is easy to get. When you have challenges in your life, you can't escape or find an easier way to get through it. Whatever the path you choose, there is always has challenge in the future. If you can't face it and get through it, you will always stay in the same spot and never succeed. Therefore, I should work hard in accounting majors instead of changing my major."
2020,Spring,ASTR 0116,--,2,245,"In all honest, when life gets challenging, I shut down. I procrastinate and stress for about 2 weeks and I don't get anything done. Especially with school work. I have a really bad habit of procrastinating a lot and never fully applying myself to work because I get so anxious and stressed that I just don't want to deal with anything and then I realize I have to get things finished and turned in. Kind of like this ""essay"". I've tried for years to change this, but its like my body goes into shook and I do anything to avoid my problems. Even though I stress about a lot of work, I stress ABOUT my stress as well. So I stress about work and then I stress about my procrastination. Its a really bad habit of mine and I really want to change that about myself. "
2020,Spring,ASTR 0116,--,2,250,"Due to the pandemic, a lot of changes have been made. It's made life a lot more challenging for me. I'm struggling to find a safe and stable home for me and my ESA cat after being removed from the dorms. I lost my job in SF due to the closing down of all businesses. However I am doing what I can to make the most of this stressful and difficult time. What I do when life gets stressful is listen to music. When I listen to music, I can just stop and breathe and not think about all the craziness that is going on. When things get challenging, I play the guitar or the piano in order to calm my nerves or whatever I may be feeling. When life gets challenging, I can play with my cat or distract myself with some of my favorite hobbies like painting, singing, music, and much more. Things are really hard but there's so many things I can do to get through it when life gets challenging. "
2020,Spring,ASTR 0116,--,2,249,"What do I do when life gets challenging? Recent months, I would say last year wasn't my year at all. I faced many challenges as well as many stressing moments. I am still solving some challenges currently. When I hear that things are not going as I planned first I panic and start to ask myself why is it happening to me and etc. But later I hold myself together and repeat to myself that it's just a challenge and it all for good. I remember past problems that I faced that it all vanished now I don't remember them. When I face new problems I remember that and say this one will be also in the past and I won't be even remembering later on so there is no point to panic or tone stressed. I am a religious person so I often refer to my religion to seek some sort of comfort and solution to my challenges. I think whatever happens to us is all for a good reason. I try to solve the challenges I try to make a best choice and I always try to stay calm however it is always hard. "
2020,Spring,ASTR 0116,--,2,241,"When life gets challenging, I try to take a break from homework or whatever I am doing. I usually will take a nap or listen to music and lay in bed. When I am getting overwhelmed with school, I try to plan study groups with my friends so I don’t feel too alone and it also gives us a space to relate to each other. Whenever I’m working, I enjoy my 15 minute/30-minute breaks because work can get stressful and chaotic. In other situations, I really like to think of the blessings I have in life.  Life will constantly get complicated and I’m okay with that because I like looking back at how resilient I can be in situations. Life has already presented me with the most challenging episodes; first-generation college student, learning English as my second language, and my dad’s incarceration. I am grateful for what I have in my life."
2020,Spring,ASTR 0116,--,2,242,"When times gets tough, I often begin by pondering why this situation is tough in the first place. By doing so I will be able to determine if the situation is actually hard, or if it's just the perception of the situation. If the situation is actually challenging, then I will first try to not think about it until it becomes pressing. When it does become such a heavy situation that can not be handled by my strength alone, I will pray and surrender the situation to God. After that I'll be chilling and won't give it as much thought, because I know that God will handle everything. In doing so all my stress, anxieties, and worries just go away because God's grace is sufficient. I trust in God for the peace in Him surpasses all human understanding. Like a glass sea, the stillness and peace in Him destroys all the negative things this world may hold on me."
2020,Spring,ASTR 0116,--,2,253,"What I do when life gets challenging, honestly when life really gets challenging I tend to be very negative with everything, like my outlook on life and with everything. I tend to go to a really dark place when I am very challenged in life, I often think about ending everything when life just sucks. When life throws challenges that i can often mentally and physically handle, I usually just try to get by it and try my best to overcome it but when life throws me challenges when I am at a bad mental state, even if it's really easy I tend to just think about everything that's negative and just thinking about ending everything. I always try to keep a positive mind but sometimes it's just really hard, but yea."
