Year,Semester,Class,Type,Section,Alma ID,Essay: 3
2020,Spring,PHYS 0242,--,3,506,"This is a circumstance that I have dealt with many times in my adult life. Earlier in my life when I faced a challenging situation, I used to let it stress me out to the point where I would have a complete breakdown. I did not know any other way to handle it. Over time, I realized that I could not let my emotions take control; I was in need of a way to handle this because it was taking a negative impact on me. At first, I seeked help from people who I consider to be really close to me. This helped because I was able to gain an outside perspective and made me see things in a way that I couldn’t come up with. Later on, I tried not to rely too much on others, so I began to write down what was troubling me and I would try to come up with solutions."
2020,Spring,PHYS 0242,--,3,505,"What would I do when life get challenging? That’s a really deep question. I had a lot of moments in life where it was really hard for me. For example growing without my parents. Since 4th grade I started living without my parents. For some family reasons they moved back to Turkey and I stayed here with my uncle and aunt. This was probably be the hardest challenge in my life. It was hard as a kid to get used it. But I held on to life and knew there was a reason behind everything. Always kept myself positive never thought negative. I knew if I led myself down it was going to change my life. This will affect my school and psychology. Never let that happened. Always stayed strong. If my parents saw me in a bad mood, they would have been worse than me since they were not with me, so I never let that happen. Always thought about positive thoughts how I’m going to finish school and go Turkey to see them. This always have worked, now I go to a great school, own what always wanted. Basically I have accomplished by dreams. And there is still more to come."
2020,Spring,PHYS 0242,--,3,512,"when life gets challenging, i usually make a list.  first, i write down everything i have to do, then i go down it and order each task from most important to least important.  but, i only do this about 70 percent of the time.  the only 30 percent i keep pushing off my tasks like they arent there.  this is bad and results with me having a mental breakdown, crying, procrastinating more, and eventually not doing the task or completing it with 50 percent effort.  "
2020,Spring,PHYS 0242,--,3,519,"When life gets challenging, I sit.I find a quiet place to sit with myself, I turn off my phone and my brain, and I sit with just myself, without the stress of what's happening in my environment and in my head.I do this for at least 5-10 minutes, and come out of it recentered and refocused. There is so much that is constantly happening at all times of the day that it's really easy to sort of let go and be pushed and pulled into the waves of it all. Sitting in silence and sort of muting it all out allows me to come back to the ground and get a better look at the big picture with a fresh perspective. Then when I come back to life's challenges, I can tackle them with a greater strength and figure out what changes I need to make to prevent myself from getting swept up from it all."
2020,Spring,PHYS 0242,--,3,509,"When life gets challenging I usually just like to take a step back and breathe. Right now I'm working on a pretty stressful computer science project. It's due in a week and I have no idea how I'm doing. I have a feeling a lot of people in the class don't know what they're doing. He didn't really teach us what we need to know in order to complete the assignment. However, there are so many people in the class who have done this kind of programming before which makes it a bit more stressful. I feel like the teacher is going to expecting too much from the rest of us. I have to do a ton of online research in order even begin to understand what he wants us to do.  However, I know that whenever I'm stressed or worried about something, I always have my friends to support me. My family is very supportive too. Just knowing that they are there for me no matter what happens takes a lot of the pressure off. It's been hard not being able to see any classmates of friends because of the pandemic, but at least we can talk online."
2020,Spring,PHYS 0242,--,3,504,When life gets challenging I personally try not to stress too much about it. I noticed when I stress too much about something I tend to actually do many times worse than if I calmed myself down before acting. It really helps the situation when I am able to sit back for a little while and work out a solution to solve whatever is bothering me at that moment. Being able to clearly think and decide on the options I have also relieves some of that stress as well. After deciding on what the best plan is I then try to execute it properly until the job is complete.   
2020,Spring,PHYS 0242,--,3,516,"I feel that when life gets challenging, I usually do one of two things, either feel a little demotivated, or go into a small panic. The panic is because it comes from the fear of failure and potentionaly make the problem worse. However I would then try to focus all my attention to calm down and figure what is the best possible strategy to continue. It's really at most my most dire do I put in the most effort to improve. I know that I always have the chance to improve, and dwelling in the mistakes is not going to help me succeed or be able to become a better person."
2020,Spring,PHYS 0242,--,3,527,"When life gets challenging, the first thing I do is try to clear my mind for a while. Whether I’m stressed about school or personal life problems, I stop whatever I’m doing and distract myself. I take a break and do an activity I enjoy. I will go for a walk at the beach, go to the gym, or listen to music. Once I do that, I usually come back to whatever problem I’m having and see how I can solve it. Another thing I do is think about all the great things that have happened throughout my life and be grateful for them. This usually gives me motivation to keep pushing even during the difficult times in life. If this doesn’t work, then I sometimes talk to someone about my problems. Sometimes it’s best to talk to someone to not keep all your feelings to yourself and you can get an opinion."
2020,Spring,PHYS 0242,--,3,503,"Life gets hard for everybody at some point in our lives, but we need to be able to overcome these challenges that life throws at us. I personally have been through a lot of hardships throughout my 22 years of life but I’ve never given up. When life gets challenging, I tend to motivate myself to become a better person than what I was yesterday. I remind myself that everyday that goes by, is an extra day closer to your dreams. I always aim to be a better person because being a bad person wont ever get you far in life, instead, it will take you to bad horrible places. I love motivating myself by thinking about my mother and my sisters who are the reason why I’m still going to school in order to become someone in life. I want to be an inspiration one day, where one day I can reflect back and say “I accomplished all of that”. "
2020,Spring,PHYS 0242,--,3,511,when life gets challenging i just take a minute and assess the situation to figure out what needs to be done first do that I can get everything done on time but sometimes i forget what that is. the other thing is because i get tunnel vision often i get things done rather quickly if i know what needs to be done. Also I just like math and the sciences so it is really easy for me to get things done when they involve them. I also cope with increases in challenge well if i have time to organize and will sacrifice sleep if i need to get things done.
2020,Spring,PHYS 0242,--,3,525,"Being honest with myself if one of the hardest things I deal with when life presents me with some challenges. I try excelling and going above and beyond when it comes to challenges and always try to see the positive side or rewarding aspect of a challenge. This pushes me to try my hardest and not stop doing what I am doing until I feel fulfilled or that I put my best work out. It can sometimes be difficult for me due to my lack of personal acceptance. I tend to not accept failure or fear it; thus, leading me to overwork myself and make the challenge harder than it should be. However, I love challenging myself as believe life is a consistent cycle of challenges that teach and reward you in ways that you have not thought before. At the end of the day, I feel like a deal with them the best way possible by always looking out for the bright light at the end of the tunnel."
