Year,Semester,Class,Type,Section,Alma ID,Essay: 4
2020,Spring,SCI 0215,SI,2,637,"For me, the times when I find myself most interested in what we are learning is when the information is related back to people. Our bodies are chemistry in action, whether that is the everyday on-goings of our internal systems or what we can create on the outside to learn more about the inside systems; which could lead to bettering ourselves. The most recent topic of Ksp, also known as the solubility product constant, didn’t seem like it would be anything too great, but if related back to the body it got a little more interesting. Since the Ksp is the solubility constant of a compound, how can knowing a Ksp of some compound, benefit us as humans? If a Ksp is less than one, it will be sparingly soluble. This is helpful in the medical field, in that compounds that have a low Ksp, and are non-toxic can be used in the human body for running imaging tests. When these compounds are ingested very little of the compound will dissolve when digested, this can create a more defined image. An example of a compound with a low Ksp used for this type of test is barium sulfate. Imaging tests like this, can aid in diagnosing Crohn's disease, and many other conditions.  "
2020,Spring,SCI 0215,SI,2,630,"As a freshman, this was the first chem sci class that I took in the college, setting up my confidence and impression. I enjoyed not only the curriculum but most importantly my peers and my facilitators. The course boosted my interest in science. I am anticipating to perform many chemistry through my study and carrer. Chemistry is important as science because often it is hard for people to imagine how theoretical concepts or how the material learned in the classroom setting apply to scientific inquiry or real life. This is a problem because I want to learn and study to apply my knowledge to work in life or in my career.for example in chem class we talked a lot about the acid base. NOt only it can neutralize to form water it can also form buffers. Buffer solutions are used as a means of keeping pH at a nearly constant value in a wide variety of chemical applications. In nature, there are many systems that use buffering for pH regulation. The desired buffer can be calculated using diffrent ways with specific properties necessary. Also by knowing how acid or bases behaives, we can understand what acid or base should be used for example to ake a dresing for the salad which is the best cleaning option. Example in us, the bicarbonate buffering system is used to regulate the pH of blood.The class was incredible investment of time. It was also where I developed a strong network of supporters through lab."
2020,Spring,SCI 0215,SI,2,642,"A topic that was covered in my last class was finding the molarity in mixed solutions. For this, I guess this is applicable in someones life if they are in a research lab trying to find out the different molarities to use during their experiment. Another way is if you are teaching chemistry to students. Teachers would show students the path of how to find the different molarity and students will get to learn and understand that concept like how we are doing in this class right now! For me, this topic is relevant because during my chemistry lab, our professor would always ask us to have the calculations ready before coming to lab. So learning how to find the different molarities has helped me be able to do my lab report. So what I am basically saying is that if you are a chemistry researcher in the lab, a teacher that teaches chemistry or a student that learns chemistry, then this is relevant.  "
2020,Spring,SCI 0215,SI,2,581,"The topic I want to cover is the idea of rate law. The question being, “why is rate law so important to an experiment and equation”? Ultimately, we know that the rate law finds the rate determining step. “According to the law of mass action, the rate of a chemical reaction at a constant temperature depends only on the concentrations of the substances that influence the rate. The substances that influence the rate of reaction are usually one or more of the reactants, but can occasionally include products” (chem.libretext.org). The determining step is the step in the experimental procedure that can determine how fast or slow the reaction can proceed (or possibly even stop). This also helps us find what chemical is the determinate. Granted, this all only happens when there is a set temperature. Temperature will change the outcome, usually with a higher temperature pushing the experiment to speed up whereas cooler temperatures will slow the process of the experiment. Of course, there are other factors that can relate to the rate law pushing the experiment faster or slower. If there is a catalyst in the reaction, it will lead to the experiment speeding up rather than slowing down or stopping."
2020,Spring,SCI 0215,SI,2,640,"As much as I dread Chemistry, I think it's applicable to life with the skills used to solve problems in this course, such as critical thinking, gathering information to determine which calculations are needed to use. In real life, we use stochiometry to convert into measurable quantities... like cooking or measure prices with the amount being bought/sold..... this week I was able to determine how much I saved getting a travel size of perfume vs. buying the normal size of perfume.When thinking about the human body, there is a complex function that can be picked out by learning about chemistry, biology, and other biological sciences. Our body runs in moderate homeostasis within set temperatures, pH, and in a microbiological level...... psychological reactions from chemicals made within our bodies can be applied through what we learn from chemistry. This semester, we've learned about acid/basic reactions, pH changes, and affect of temperature changes to cause different reactions...But relating back to my education goals and field of major, I am surprised how much different science courses can weave in between other science courses, like Physics, Genetics, or Biological Sciences. There were theories and ideas that tie back eventually with what I'm learning."
2020,Spring,SCI 0215,SI,2,635,"In lecture we went over the equilibrium of compounds and their solubility with relations to Ksp. The question is how to calculate the solubility of an ionic compound when a common ion is present. First we must know what compounds are going in what. For the sake of convenience we are going to use water and 0.0120 m of Na2CrO4 and we are trying to find the solubility of PbCrO4. To begin we are going to find solubility in water. First we create an ICE  table based on the reaction with water, and with our final equilibria we should have a value of x^2 since there are no moles being added or subtracted. Ksp is equal to the equilibrium so we then square it. The ksp value is the solution diluted at a certain temperature which is given or can be found. From the square root of the ksp you then multiply it by the molar mass of the PbCrO4. The result is the amount of solution in moles that is diluted in water. The same process is made with the Na2Cro4 with the exception of the stoichiometry and molarity of 0.012 m that it has. In a way you already know the value at which the solution can be diluted but here we are solving for what effects it has in different substances. In the real world this can be used to find how chemicals retain their reaction in a solution until it disappears, and find how much of the substance is used up."
2020,Spring,SCI 0215,SI,2,643,"For this journal entry, I decided to research how titrations could be relevant in medicine. Titration is the process or technique used to ascertain the concentration of a substance in a solution. The titration involves a known reagent being added to the solution of unknown concentration to accomplish this. When applied to real-world applications, titrations are heavily used in different industries depending on their chemical needs. Titrations are a fundamental tool in the medical and pharmaceutical industries. Regarding the medical industry, as stated in my question, titrations can be used to discover the correct dosage of anesthetic for patients undergoing surgical or other invasive medical procedures. Doctors employ titrations to achieve the correct mixture of medications to intravenously treat patients. Titrations can also be used to control blood sugar levels for diabetic patients and other examinations requiring urinalysis. Pharmaceutically, titrations can be used to obtain the correct mix of similar drugs when synthesizing a singular compound. There are several other applications for titrations in pharmaceuticals such as purity analysis, content analysis, precipitation titrations, and pH-stat titrations. These applications can be used primarily in drug testing and formulating to make sure drugs and viable before consumer consumption. This ensures quality control and drug safety when regulating dosages and packaged quantity."
2020,Spring,SCI 0215,SI,2,626,"What we have been learning in class towards the end until the exam is titration between acid and base. One question that I had was how you would sketch the graph of the titration curve? The way to be able to create the curve is first to find the volume of the titrant added into the base solution. Be able to calculate how much is being added. The thing you also have to do is look at the pH while adding acid into the base. Thus that will give an idea of what x and y values to input. In this case, the x-value would be the volume of titrant added and the y-value would be the pH level when adding volume. This will be beneficial to society because we are learning how chemicals work. It would be able to show us how much acid or base to make a solution that is used for everyday usage. If we add too much of something it can be harmful to use in everyday lives. The reason know what to mix with is extremely important because it's very hazardous. You see how many people mix cleaning supplies with not the right amount or even not knowing what they are mixing with. An example can be bleach which is a harsh chemical if not used correctly. Usually, a small amount can go a long way when cleaning that is why we should be careful what we mix bleach with. "
2020,Spring,SCI 0215,SI,2,76,"A topic that we covered in lecture class was about Titrations. The question is why are titrations important and what are the real life uses of titration? Titrations are important because they allow us to determine the concentration of a substance with something known reactant with it. It can also be used to determine the concentration of solids by dissolving it to create a solution. One way that we use titration in real life is in medicines. For example, pharmacists use it to get the proper mix for medicines. Such as, making sure to use the right amount of anesthesia during surgery, so it’s not too much or too little. Titration is also used in food and nutrition life for specific diets. It defines the saturated and unsaturated fatty acids of foods and the type of chain length. Short chain and medium chain fatty acids are used as energy where the fatty acids are stored. In the long chains, the bloodstream absorbs the fatty acids where it is stored in cells throughout the body. Titration can also determine salt and sugar concentration levels. One last example is how the use of titration allows to test the right pH levels in aquarium water in order for the fish to survive. It’s really interesting learning about all these topics in Chemistry and in other classes in general, because we don’t notice how much all these things relate to real life. "
2020,Spring,SCI 0215,SI,2,631,"One thing that I found important in class that is relevant to society is pH. pH is very important because there are many things in our bodies and in our lives that are able to work at specific pH levels. For example, our stomach acid is able to work at a pH of 1.5-3.5. When we get sick it could be because our pH balance is off in whatever area. We also see that pH is important for plants as soil can have different measurements of pH. Lots of different plants require different kinds of pH. One important thing that we learned about is buffers. Buffers allow biological systems to maintain a specific pH. Our blood used buffers so that the pH stays the same consistently. Buffering is what allows our bodies to have homeostasis. With out buffers, our bodies would keep changing pH and we would continue to be sick since there is no balance. "
