Year,Semester,Class,Type,Section,Alma ID,Essay: 2
2020,Fall,PHYS 0222,--,6,151,"Even though I don’t plan on working in any physics-related fields when I get my degree, the problem solving we do in this class is essential to my career as a computer scientist. My goal is to be a successful problem solver; I want to be able to at least figure out what I’m trying to accomplish and what I might try to get there. Life is a word problem--especially in STEM fields--and being able to pick out what we already know and what we’re looking for is vital to moving forward. Classes like calculus are obviously important in Computer Science, but it’s often more useful for calculating final answers than assessing the problem and its implications. Math is basically useless to me if it cannot be applied to the real world, and physics is the definition of real-world math application. So, in summary, this class can help me to achieve my goals by making me exercise my critical thinking and problem solving skills."
2020,Fall,PHYS 0222,--,6,164,"I, like many others, have things that they want to do before they die: travel the world, learn how to do x, etc but it's all a matter of financial stability and making sure you have everything you need in the moment to get you there. At this point in my life, I just want to be done with school so I can start making money but also not rush through life at the same time. This class ""helps"" me just because it is something that I am required to take and by completing this class, it brings me one step closer to completing my degree and with that, my in general goal of life. Who knows, but maybe I will pick up something along the way that I won’t know I’ll need until I finally use it but for now, I am just set out to complete this class."
2020,Fall,PHYS 0222,--,6,173,"My goal is to study physics and get a degree in astrophysics. This class will help me achieve that goal because it will help me learn more about physics and get a better understanding of the subject. I also would like to work for NASA and physics is something you will definitely need for getting spaceships out of our atmosphere and land them back safely on Earth. I have always been interested in physics, so another reason I chose to take this as my field of study is because of curiosity and wanting to learn more."
2020,Fall,PHYS 0222,--,6,153,"My main goal is to graduate from San Francisco State with a Computer Science Degree, and subsequently pursue a job in that field. To achieve that goal, I must learn more about Computer Science as a subject and finish other classes to graduate on time. I feel as though physics and computer science relate on some aspects are similar. Both subjects are very analytical and require the use of methodical approaches to solve problems. I can definitely see this class helping me hone these skills, which will in turn assist me in my future career. In addition to this, this class will give me credit towards completing my requirements for my degree."
2020,Fall,PHYS 0222,--,6,159,"My goals in life and I guess for my college career is to, first get my degree, and secondly get a job were I can use my degree and thirdly, become engineer. With these goals it is definitely going to take a long time, but I have to persevere, and if this is a goal I really want pursue (which it is) I'm not going to quit. Now how can this class help me achieve these three simple but lengthy goals. First, by passing this class it will put me one step closer to completing my college degree, and all the information I learn in this class will be important in my critical thinking skills that I may need for a job in the future. One thing I like about physics is that you don't really need to know all the equations and rules to succeed, if you can think of the issue in physics practically and with common sense everything will make sense, and when you use common sense to solve these problems in physics, its basically problem solving at a basic level and that's all I want to do for a job. Lastly to become an engineer I'm going to have to learn an abundance of physics concepts and since this is the first class of the set, this class will be the stepping stone to all my goals that I want to achieve."
2020,Fall,PHYS 0222,--,6,168,My goals in life is to start a family and to start my career which can lead me to starting my family and this class is a step towards that goal. I am currently a junior shooting for a bachelors degree in civil engineering. This class will help me with that goal because I would be learning the fundamentals of physics and how they apply to the real world. By passing this class it would be bringing me a step closer to achieving that goal since it is a prerequisite for my degree choice and without it I wont be able to graduate. 
2020,Fall,PHYS 0222,--,6,172,"My goal is to become a programmer. Programming can be fun and satisfying when you do something that was giving you problems. I've liked the feeling of this satisfaction ever since I was introduced to programming back in my junior year of high school. That's one of the reasons I got into this subject. The other being that it can pay very well if you are skilled enough. In order to reach this goal, I have to graduate with a Computer Science degree. In order to graduate with a CS degree, I have to pass all the classes required, and this is one of the classes. By passing this class, I am getting one step closer to my goal. I know the journey there will be VERY challenging, but I hope that I can make it out on the other side alive."
2020,Fall,PHYS 0222,--,6,174,"I feel like my goals are pretty simple. As of right now I’m just trying to pay my rent and get my degree. I’m working part time at a startup, so that’s half of it already squared away. In order to get my degree I’ve got to take all sorts of classes, physics (and the lab along with it) are a big part of those requirements. I find physics to be fairly interesting, but this class is a means to an end. I’m actually quite frustrated because my community college counselor told me I had the pick of physics or chemistry. So I took chemistry and then transferred and found out I never should have wasted my time on three chemistry classes. Now I have to stack my schedule to make up for missing these classes pre-transfer. That being said, I’m still grateful to be able to attend SFSU and work for the education I need in order to succeed in life, I just wish my community college counselor had known what they were talking about. Or that I could have had the foresight to not take their word for it."
2020,Fall,PHYS 0222,--,6,160,"Weimin ChenMy goal is to be a computer programmer. This class PHYS Lab can help me achieve the goal be a computer programmer. In the computer program, PHYS knowledge is used usually to make the program. So the lab class is very important because the lab can help me more understanding what I learn in PHYS class and it is necessary to have this class. If you don’t have the lab or the experience for the PHYS, you would not understand how the knowledge that you learned in PHYS class work and why it is work. PHYS is necessary to learn in a computer science major. If I have great PHYS knowledge, it can help me become a better computer programmer when I graduate the college and work in the future. So, the class PHYS lab can help me achieve my goal. This is why I learn the PHYS class needs the PHYS lab."
2020,Fall,PHYS 0222,--,6,152,"My goals are to succeed in college, having a deep understanding of how to apply my skills in computer science to my career. Succeeding in this course can help me have a better understanding of how to apply these skills in a real life situation. Assume I have a job where I have to work with electronic engineers and physicists to produce software for something like AI drones: If I were to have a poor understanding of physics, I couldn’t make reasonable calculations in my code for how much power to send to the motors. The software I would write would need to have realistic parameters and would need to consider the physics of everyday life. I would need to account for things like gravitational acceleration and wind forces on the drone in order to have some semblance of stabilization. Working with those around me, I would consider all possible scenarios to keep the drone safely capable of self-stabilizing or following its own set path without crashing. I hope I can learn several important physics formulas and theories to help make a good product. That’s how I hope this class will help with my goals."
