sentence,label,phrase,predicted_label
"with enough studying, i can most likely make it through physics without struggling too much.",0,['I hope in this class I am able to learn about many questions of why I have of how objects interact with each other. I hope that this course will help me to understand real world especially with what I want to do after college which has more to do with chemistry.'],0
in order to create a design i will need to understand the correct combination of materials in a formation which will give me enough strength to support the top load.,0,['I am here because I have this feeling I would like to be an architect and draw up residential buildings.'],0
"i quickly realized that if wanted to do this, i was going to have to return to college.",0,['I am now on track to earning a bachelors in civil engineering. I am here to continue paving the way to a successful and fulfilled future.'],0
"i always visited mexico and would see that when trying to access their form of a hospital or emergency room, it was always a struggle for families.",0,"['I am here because I want to further my education. I want to be able to continue my passion for learning because I think that it is amazing to have a growth mindset. I want to be able to do probono work for families in Mexico, while also being a PA in the US.']",0
i have two sisters and i love my family; my parents are the main reason im in college because i want to support them in the future and provide for them like they did with me.,0,"['My current goal for my life is to be a researcher, and to be honest I really dont know what to yet.']",0
"moreover, the more deeper i get into this field, the more i understand its importance in the very existence of our society that depends on technology.",0,"['So the greatest reason for me to go in this field, is to contribute my part as best i can to this global society that will flourish with moral technological advancement.']",0
why am i here?,0,"['I am trying to go towards the medical field later, whether it be a Physicians Assistant, Physician, or a more specific doctor, I need to take these classes in order to head in that direction. Although I have not taken physics yet due to taking other courses like kinesiology and human anatomy in high school, I want to do well and learn as much as possible. So overall all, I am here to learn as much as possible that way i can succeed and continue on my path towards my future endeavors.']",0
"due to this, i have a deep respect for the subject even though it doesn't capture my imagination like chemistry does.",0,['I look forward to spending the semester learning more through this course and applying that knowledge in my career and daily life.'],0
i come to this class not as a past failure but as someone with experience and understanding of what to expect.,0,['I am here for my third time and am motivated and confident in passing this course as well as actually understanding the subject. I am motivated to becoming a physical therapist and this class has been a huge barrier but nonetheless I will overcome it.'],0
i want to be able to work together with my peers during lab so that i can learn from them and develop my skills as an engineer.,0,['I am here at SF State taking Physics 222 because I want to pursue a career in engineering. I want to graduate with a Bachelor of Science degree in Civil Engineering.'],1
i also want to make a lot of money.,0,['I also want to make a lot of money.'],0
i am here in physics 102 to complete as one of my requirements towards my major.,0,['I am here to learn about the body and movements in order to help others become healthier and stronger. I am here at this university to help me further my education and to be able to have bachelors degree to hold a successful job.'],0
"being biracial has been a huge part of my identity and experience of who i am growing up and so learning that sfsu was so hyperaware (example, i took a mixed race identity class) was a huge reason why i love sfsu. also",0,['And I am pursuing veterinary school.'],1
i always feel like when im asked why im here i think there is a lot of pressure for me to answer that question a certain way.,0,"[""I want to get a degree in Biology emphasizing in Marine Biology. I am here in this class also to learn more about Physics because to be honest I feel like I know very little about Physics. I hopefully will figure out more of my purpose at SF State the longer I'm here.""]",0
i am taking this sci 215 class because i feel that it would be great to receive more assistance in understanding the concepts taught in the lectures.,0,['We are all here to help each other pass the lecture class of physics 121.'],0
"i still have about two semesters left, it has been a different experience for me going from community college to sfsu.",0,"[""I guess I'm here today (in this physics course) to fulfill my requirements to graduate and become a vet. I decided I wanted to be a vet or ta least a vet tech almost only a year ago.""]",0
"after you finish your essays, we will provide some class time to discuss your thoughts, to the extent that you feel comfortable sharing.",0,['I hope to use this skill for my current classes and see how this impacts my ability to learn and understand.'],0
the reason i am here at this class because i really wanted the unit to get a minimum of 12 units for my cal grant then my first time coming to this class felt really helpful.,0,['I am here to get help on Chem 180 and to pass the class with a B or higher I heard from my friends that the class is difficult.'],0
"throughout the semester, i have gone through almost a month changing into this major, while i had many frustrations with time and juggling multiple other assignments, i still feel very happy to explain and share the things i learned in this class to my other friends and such.",0,"['I am here as a biomajor because I believe that just like anyone of us in this classroom, we are all able to become scientists. I still get really hard on myself each time I slip up, but I hope I can be more of a best friend to myself in some way.']",0
i am here to help the environment!,0,['I plan to enter a field of environmental sciences and zoology once I graduate.'],1
"though its only the second week of class, i already notice and understand how physics is present in our everyday lives.",0,"['Im taking physics because I want to major in Biology and its a necessary course. Im here so that I can graduate, pursue my career and expand my knowledge in life.']",0
"to answer why i am in a physics course, it is simply because it is a prerequisite for my engineering courses.",0,"['This means that I cannot waste my life and have to live my life to the fullest, whether that be doing something that I love for the rest of my life or just experiencing new things and having fun in general.']",0
this is not meant to be a formal essay.,0,"['Im here in physics 111 to learn to analyze raw data, keep a lab notebook and improve my critical thinking skills to further my progress in environmental science.']",0
we read about many basic physics stuffs which can be used in our daily lives.,0,['I am here to know physics a little better.'],0
physics is mother fucking hard as shit.,0,"['I am here to get wicked good at math and stuff. I want to get so good at math that it becomes an autopilot situation. I may also try and get a math minor, I heard its pretty easy when you take the CS coursework.']",0
my community help me to understand chem so thank you!,0,['I am here to actually understand what I am being taught in lecture'],0
"i am here to make new friends, and just enjoy the beauty of math.",1,['I am here because I want to improve my calculus 2 skills and I want to get better grades and the only way to do it is by actually coming to this class. I am here because I want to do my best to graduate in four years.'],1
"i am here because i am on that path towards my success, and i believe with my own efforts i can make it there.",0,"['As of where I stand currently, I have been all the way through grade school and I by going to college here at SFSU I have chosen the path to pursue my education even further and get my degree']",0
"i believe that everyone in the world can learn by giving attention to the ideas, cultures, and opinions of others because it can be a valuable contribution to ones way of thinking.",0,"['I am here to excel in school and make my parents and myself proud by demonstrating that I am able to obtain a higher education and work at my dream job as a clinical lab scientist. I am here to enjoy life as well and learn as much as I can inside and outside of school. Finally, I am here to love, laugh, and share life with those who uplift me and contribute to my happiness.']",0
now i'm here and am using sci resources to get better in ochem,0,"[""Now I'm here and am using sci resources to get better in ochem""]",0
