Original Sentence,Duplicate Sentence,Similarity Score
this is why i'm here.,this is why i am here.,90
this is why i'm here.,this is why i am here.,90
this is why i'm here.,this is why i am here.,90
this is why i'm here.,that is why im here.,89
that's why i'm here.,that is why im here.,89
that's why i'm here.,thats why i am here.,89
that's why i'm here.,thats why i am here.,89
that's why i'm here.,well thats why im here,87
i also know that the time allotted for the professors are not enough to begin with.,you so know that the time allotted for the professors are not enough to begin with.,91
im here because i want to be.,i am here because i want to be.,93
im here because i want to be.,i am here because i want to be here.,86
you so know that the time allotted for the professors are not enough to begin with.,i also know that the time allotted for the professors are not enough to begin with.,91
i am here to learn more about physics.,"so, i am here to learn more about physics.",96
i am here to learn more about physics.,i am here to learn about physics.,93
i am here to learn more about physics.,i am also here to learn about physics.,86
i am here to get a degree.,i am here to get my degree.,90
i find the field to be very interesting to me and i can see myself enjoying it for the rest of my life.,i find the field to be very interesting and i can see myself enjoying it for the rest of my life.,97
"math always gives me a little trouble, but i get a hang of it after pushing myself to do the best i can.","math always seems to give me a little bit of trouble, but i get a hang of it after pushing myself to do the best i can.",92
looking forwards to a great and productive semester.,looking forward to a great and productive semester!,99
this is why i am here.,this is why i'm here.,90
this is why i am here.,this is why i'm here.,90
this is why i am here.,that is why i am here.,90
this is why i am here.,that is why i am here.,90
this is why i am here.,thats why i am here.,85
this is why i am here.,thats why i am here.,85
"also, i am an african american male, and there is not a great representation in the stem fields, and i want to help change that perception.","in addition, i am an african american male and there is not a large representation in the stem fields and i want to help change that perception.",90
i am taking both a physics111 sci course and chemistry115 sci course.,i am taking both a physics121 sci course and chemistry215 sci course.,97
why am i attending san francisco state university?,why am i at san francisco state university?,92
i am here to gain the skills i need to pass the physics portion of the mcat and enter medical school.,why am i herei am here to gain the skills i need to pass the physics portion of the mcat and enter medical school.,94
"i also want to get a better educations, get a better job, prferably one with advancement opportunities.","i also want to get a better educations, get a better job, preferably one with advancement opportunities.",100
i am here because this is a prerequisite class for my major in computer engineering.,"in addition, this class is also a prerequisite for my major in computer engineering.",87
i am here at sfsu because i want to make a difference in the world.,i am here because i want to make a positive difference in this world.,88
i would like to be a cardiothoracic surgeon.,i want to be a cardiothoracic surgeon.,85
i am in physics because it is required by my major.,i am here in physics because it is a requirement for my major.,85
i am here because i want to further my education and expand my knowledge.,i am here to further my education and expand my boarders of knowledge.,87
i am here in this physics class because it is a prerequisite for my major.,i am here in this physics class because it is a requirement for my major.,92
i am here in this physics class because it is a prerequisite for my major.,i am here because this class is a prerequisite for my major.,89
i am here in this physics class because it is a prerequisite for my major.,i am here in this class because it is a prerequisite for my major which is biology (physiology).,86
i am here in this physics class because it is a prerequisite for my major.,i am here because this class is a prerequisite for my kinesiology major.,85
i am here in this physics lab because it's a requirement for my major.,i am here in physics because it is a requirement for my major.,91
i am here in this physics lab because it's a requirement for my major.,i am here in this physics class because it is a requirement for my major.,91
i am here because i want to be.,im here because i want to be.,93
i am here because i want to be.,im here because i want to be.,93
i am here because i want to be.,im here because i want to be.,93
i am here because i want to be.,i am here because i want to be here.,92
i am here because i want to be.,i am here because i want to be successful.,85
i am here for a list of reasons.,i am here for a lot of reasons.,95
i am here for a list of reasons.,i am here for a lot of reasons.,95
i am here for a list of reasons.,i am here for a multitude of reasons.,90
