Year,Semester,Class,Type,Section,Alma ID,Essay: Why I am here?
2021,Fall,PHYS 0232,--,8,1994,"As best I can tell, tech/industry are often too efficient (to the detriment of the people; think Amazon and small business owners) and politics are often too inefficient (to the detriment of the people; think basically of all politicians). I’m a STEM major (and seeking to also study Political Economics) because I think one component of helping everyone progress / improve more equally is through the access and implementation of technology, but without the knowledge of the consequences and best ways leverage tech to raise as many people as equally as possible can have the potential to be harmful."
2021,Fall,PHYS 0232,--,8,1995,"I didn't really know what I wanted to do for most of my k-12 experience. I only knew that I was good in the STEM field, maybe because it was the environment I grew up in or because I didn't like interpreting things. When I found Computer Science though, I fell in love instantly, and I realized that the problem solving aspects drew me in. I thought about the time when I loved puzzles, and compared how similar computer science felt to me. Programming was like creating problems for yourself, and finding ways to solve them. The amount of freedom and creativity could be endless. And that's why I love programming. It combined the ability to be creative, and the ability to problem solve. That's why I'm really passionate about computer science. And in the end, it is possible to create a product that you can be proud of, and show off."
2021,Fall,PHYS 0232,--,8,1996,"Why do I want to go into the STEM field? When it comes to why I wanted to go into the STEM field, there were several reasons that made me do it. First, most of my family were engineers, doctors, etc including my mother so I looked up to her. Another reason was because of gaming but how did that happen? Simply I was fascinated with the graphics and the very high-speed networks needed to play online games without too much lag, so I decided that I wanted to learn more about how networks work from A to Z. In the beginning, I thought I made a mistake by going into the STEM field since I am not the best when it comes to math and physics, and I also don’t like them that much. But after spending some time on them, I found out that I can pass them even if I had a hard time. I hope that I can graduate with my bachelors’ degree, get a nice job, and continue graduate studies if it’s possible. I guess I have also made my family proud by just going into the STEM field."
2021,Fall,PHYS 0232,--,8,1996,Karim%20Hashem%20Why%20do%20I%20want%20to%20go%20into%20the%20STEM%20field.docx
2021,Fall,PHYS 0232,--,8,1997,"My name is Karell Kouakou and I am from  Ivory Coast which is located in the west side of Africa. I decided to go into the Stem field for many reasons. In fact, since my childhood I had in mind that I will do a job that women are not used to do. In my country for example women like to work as secretary, office assistant, nurse, or teacher. From my part I am inspired by the type of work which allows me to be on the move instead of staying in one place. In addition, as I had always loved and been good at math and physique during high school, I decided then to go into the STEM field. The STEM field is also the path that will help me do the job I want. Among the numerous disciplines in engineering I chose to pursue my study in civil engineering because I have always been fascinated by the creativity used to construct big bridges."
2021,Fall,PHYS 0232,--,8,1998,"I want to go into the stem field because I want to learn more about coding and that I want to go and get a job in the Information and Technology Field. I think this field will help me improve my skills in problem solving and to learn how the new technology works. In this field I can learn new things and that it will help better prepare me for future jobs. What made me interested in Information Technology is learning about computer parts, problem solving skills in helping customers fix their computers and getting tickets done. I think that learning how to code is pretty fun because it can make many things with code and that you can learn many coding languages. There are a lot of subjects that everyone can be interested in going into the STEM field. In this field you can interact with many things like technology and science. "
2021,Fall,PHYS 0232,--,8,1999,"I was a senior in high school when I declared my major to be Civil Engineering. At the time I was not only good but I exceed math and science classes. These subjects came easily to me. When there was a chapter that I was having trouble understanding- I loved the challenge of learning the material. I didn't get frustrated when I was having a hard time solving a problem instead I loved the challenge. Also, I hated writing essays... but I knew I wanted to do something that included math and science. I did some research and stumbled upon the idea of majoring in engineering and I was up for the challenge! Eventually, the math and science classes got harder and life got in the way a little bit but I am slowly finding my way back to my passion of learning and sitting with a difficult problem. My mother and father were beyond proud and felt extreme pride that their oldest daughter was studying to become an engineer. Personally, I want to go into the STEM field because there are many advantages. The pay is good. There is great job security. I think it's kind of a flex. And most importantly I find what I am studying to be extremely intriguing. There is a lot I can do with a Civil Engineering degree. I can travel to different states or countries if I found the right job. I am not sitting at a desk all day. My job sites will change constantly. I won't be doing the same thing every single day. There is an excitement about becoming a civil engineer in many aspects. I have also found a great group of women that support each other in this male-dominated field. Really this major has already evolved me into a better person all around and I could not be more thankful for who I am today. And I could not be more excited for my first internship, when the time comes! "
2021,Fall,PHYS 0232,--,8,2000,"""Why do I want to go into the STEM field?"", this is a question that I asked myself when I was choosing my major. I chose computer science because I have a parent that work in that field and he seems to enjoy and I have heard STEM field jobs has a good salary. I wanted to go into STEM field because I was good at math but when I first did a computer science class, it kind of clicked to me easily, but maybe that was just the beginning. I was always better at math and science compared to history and English classes. Since STEM jobs have good salary I would also be happy that I can support myself."
2021,Fall,PHYS 0232,--,8,2001,"I want to go into the STEM field because it has subjects that I actually enjoy and would like to learn more about. I am majoring in Biology Concentration in Physiology because I like learning about the human body. I particularly enjoy understanding the why and how of things, which was always my struggle in Math and Science classes with teachers that emphasized memorization rather than understanding. I can't grasp a subject or if I don't know the WHY. In the STEM field though I have found that a lot of the way things are taught and learned focus more on Why and providing explanations; this intrigued me even more because that is exactly why and how I like to learn about the world. Since coming to college I have come to enjoy the STEM field even more than before because now I’m surrounded with more people who prefer comprehension to just memorizing; I feel like I’m the right place to be for who I am and what I am choosing to study and be."
2021,Fall,PHYS 0232,--,8,2002,"Growing up, I was raised by my mother and Bibi (Swahili for grandmother) for the most pivotal parts of my childhood. They did not want me to grow up thinking that all I was meant to do was fulfill the woman stereotype. As an African-American daughter of a teenage mother, they did not want me thinking all I was meant for in life was to be a mother and caretaker that only knew how to cook, clean, cater to a man, and take care of kids. So in third grade as a birthday gift, my Bibi got me a set of the small Legos, and I fell in love with building things. After years of playing with Legos, I decided I wanted to be a Mechanical Engineer, and after taking ENGR 100, I decided to add Civil Engineering. I want to break stereotypes while making the world a better and more productive place. I want little girls and even my peers to look up to me and be like, “Wow, we can do it too, nothing is going to keep us down.”I want to change the world, and I’m using this as my first stepping stone. I plan to change a lot of things and hope I get to help make these changes soon."
2021,Fall,PHYS 0232,--,8,2003,"The reason I want to go into the STEM field is because it is an amazing topic for me, especially the electronic and computers parts. Ever since I was little I would always be fascinated by how technology works, I would always ask my dad to let me use his phone just to mess with it. It would always be the phone at first but then one day he had brought back a computer that allowed me to run programs. I would always use it just to type and draw on an empty document on the desktop. I found it fun how it would work and I was able to write and draw without any pencil or markers. Over time, I started wondering how this all works and how it all comes along. As a high schooler I took my first computer science class and I found it really interesting being able to create a small game or a website that allowed people to check out the ratings of certain movies. This made me even more interested to push my coding knowledge into college and make it into something I want to do for the rest of my life."
