Year,Semester,Class,Type,Section,Alma ID,Essay: Why I am here?
2020,Spring,ASTR 0116,--,2,231,"I am here because my mom gave birth to me. She decided when she was 18 she wanted a baby, so she had one. I wish she hadn’t because her life would have turned out so much differently and would have been much easier if she had not had me. She did not finish college because she found a job that payed well and spent time focusing on that; this made her want to send me to college because she did not get that opportunity. That is why I am here at SFSU. I could have been at my dream school in Chicago, but i chose this school because if was less expensive and I like the city of San Francisco. I am here in this Astronomy lab because it fulfills my GE for a lab and I could not take a lab for the biological anthropology. "
2020,Spring,ASTR 0116,--,2,232,"I am in this class because i am taking astronomy 115 and this lab coincides with that class. Also, it takes care of the lab requirement for credit. ive always loved science and astronomy growing up but never really ventured outside of elementary, middle, high school classes. here at SFSU we get to focus a lot more on the stars, planets, go more in depth about Earth, the sun, the moon and its phases. additionally, i get to learn about how and why we learned various discoveries such as moon phases, earth's axis and how it gives us the seasons. solar and lunar eclipses as a result of the moon shadow castes upon earth. how we discovered when planets seem to move backwards, calling it retrograde motion. how to navigate using the north star polaris. the difference between heliocentric and geocentric theories and how one became to trusted as opposed to the other. whats cool about taking this class here is that we have a planetarium and telescope on the roof of the science building."
2020,Spring,ASTR 0116,--,2,233,"I am here because I exist. If I did not exist, I would not be here. Everyone is here for the same reason. Because everybody exists. Everybody is living their life, because life exists. What is the meaning of life? There are many... many meanings to life. There is the each individual’s purpose for life, from their dreams and aspirations. There is society’s purpose for life, which is to get a job and pay taxes. And there’s Biology’s purpose for life, which is to mate and reproduce, to pass on your genes and keep the chain going. Many ask why we exist in the first place. What is the meaning of our existence, why and how do we exist? Some people believe in God, and that God put us here. Some believe that we..."
2020,Spring,ASTR 0116,--,2,234,"Why am i here?It is a really interesting question. I feel like i have asked this question to myself a lot of times but never had the perfect answer. I know there is no perfect answer for it, we just have live this life to know why we are her and to what purpose we serve. As for why am i in the astronomy lab, it is because i have always been curious about astronomy and wanted to know what it feels like to learn and be taught about it and visit the planetarium.Being here feels nice as there are people to interact and share stories with, there are places to connect to and there are memories made and moments lived. As for why i am on this. planet?, i don't know but i feel like everyone serves a purpose for there existence and one day even i will know the purpose i am here and what is my purpose of existence. For now i will say i am here to live a happy and fun life. A life full of mistakes and lessons to learn form the mistakes, fall a nd get back up, wake up with a smile and end the day satisfied with how i spent it, i want to be here and not be worried about unnecessary things like bad vibes. i just want be here and be joyful."
2020,Spring,ASTR 0116,--,2,235,"I believe I am here for a reason, only God knows. I think as I grow up, I'm starting to come to a better understanding of what my purpose is here on Earth, but I do not completely understand yet. Sometimes, I feel as if I am here simply to be an aid to others. I am the friend you come to when you need advice. I am the peace maker. I am the one who always remains calm. I think that these type of characteristics must somehow. be tied into the big question, ""why am I here?"" Maybe I was placed on this Earth so I can help other people. These type of thoughts influence literally everything I do. I have chosen my career path based on this assumption as well. I just want to be someone others can count on, because in my darkest moments I have felt so alone. I Never want anyone to feel that way, so I make sure that no matter who enters my life, I become someone they can trust and confide in. "
2020,Spring,ASTR 0116,--,2,236,"I’m in this astronomy lab because I want to learn more about astronomy. And also, I’m good at astronomy when I’m in high school. If it’s possible, I might choose astronomy as my minor major in SFSU. Im here to learn more things that I haven’t know about astronomy, so I can decide should I choose astronomy as my minor major. Therefore, I hope I can do well in this class. "
2020,Spring,ASTR 0116,--,2,237,"I am here purely by chance. Random events have transpired throughout the course of time to bring me to where I am today. However in the grand scheme of things, many of my personal actions are meaningless, and my existence is completely insignificant to reality. I feel that I as a person exist solely within my head, and my physical body is just a vessel for my consciousness. I am aware of my existence, and give myself meaning and purpose by looking outwards. Yet, given this many of the things that give my life meaning are superficial, and its hard to grasp what exactly my purpose is other than to simply exist."
2020,Spring,ASTR 0116,--,2,238,"I am here to be the best version of myself. My goal in life is to succeed and accomplish every goal I set for myself by the age of 60 years old. I am here to give my parents in return everything they ever did for me. I am here today in Astronomy Lab simply because it's general education course I have to fulfill in order to continue on with upper division courses or to even graduate. I do not like being here because this course does not relate to my major and I'm failing the class. I am stressing and failing a course I do not need for my future plans. I am here to be the best at everything I do but that only includes things that interest me and topics that relate to my life. I do not like feeling like I'm wasting my time in class simply because I don't need this course, not because the class itself is so bad. I hope after taking this course this semester that I at least get something out of it, anything, even as small as knowing a moon phase. "
2020,Spring,ASTR 0116,--,2,239,"Why am I here? That is such a broad question. Universally I think we are here to create something out of nothingness. Each one of us has a unique opportunity to find what makes us happy and what makes us want to be a part of existence. I think we are here to do anything and everything we want to. Globally, we are here creating a civilization out of the millions of us on the planet. Personally, I am here at SF state pursuing a higher education. In this class I am here to learn about laboratory procedures through astronomy of the sky and universe. Each of us has a difference purpose, which all amounts to finding what makes us happy. We are all here with our individual likes and dislikes so we can find what drives us. I'm not sure why exactly we were put here, on Earth, but I think it's important to make something out of nothing."
2020,Spring,ASTR 0116,--,2,240,"I think about this a lot. I feel like I am on this Earth to let stories be heard, whether it be my stories or other folks’ stories. I’m a big advocate for having proper/accurate representation, especially in media. That’s why I am studying at SF State, because of the nice cinema program offered there. While I was there, I appreciated a new setting compared to suburban San Diego. I am the first out of my siblings to attend a university so I am really trying to make them and my parents proud and also learn more about myself and other perspectives while in university. To me, this is my first step into becoming financially independent, since having a degree helps with getting a good job, although in my field, it would mostly be freelancing opportunities. I am here to make not only my name known, but the stories marginalized communities all around to spread awareness and perspective."
