Year,Semester,Class,Type,Section,Alma ID,Essay: Why I am here?
2021,Summer,PHYS 0232,--,1,3040,"I want to go into the STEM field because it is genuinely what I am interested in. I have other hobbies too, but I feel that going into STEM is the best choice for me. For several years, I have dealt with self-deprecating thoughts of not being good enough, or that I will not achieve the level I want to reach. However, after exploring my interests a bit more, I have become more comfortable with STEM.STEM is such a broad field, in which there are many different areas of specialization within any STEM major. Even if a student loses interest in the major they are pursuing, or wants to learn more about another field, there is the opportunity to do so. In addition, everyday life is greatly affected by professionals from STEM programs. Science, technology, engineering, and math play a role in almost everything in the world that has become more and more technology-based.I want to pursue my STEM major because I would love to innovate and create new projects for the future, which will assist and change the world for the better. AR/VR, web development, and even some hardware are some topics that interest me. I also love meeting people who share the same ideas as me and learning new materials/how they work. As I learn, and as time changes, I will also be adapting to what is coming."
2021,Summer,PHYS 0232,--,1,3041,"I want to go into medicine so I can help people. I want a skillset that is applicable where ever I go. These days medicine is much more than a STEM field. In order to ethically and equitably apply clinical knowledge, a physician must understand the social and cultural aspects of their patients lives. Biology cannot be untied from the sociocultural realm in which patients live. I am naturally a fuzzy, not a tech-y. I love nothing more than when the social sciences and the hard sciences merge. I am here to learn the foundations from which to build my knowledge of the human body. "
2021,Summer,PHYS 0232,--,1,3042,"I want to go into the STEM field to develop efficient programs for healthcare. This is personal, but the main reason I want to become a software developer in healthcare is because my grandpa passed away due to cancer. I only had two months with him after he was diagnosed. When I visited him, the hospital he was staying at seemed very unorganized electronically. One time they almost forgot to feed him, but luckily my family was there to check up on him. With my knowledge in computer science I hope to make a lasting impact by creating useful programs that can help healthcare workers stay more organized. "
2021,Summer,PHYS 0232,--,1,2126,"I want to go in the STEM field because I know it would lead me to a successful career and I know I would enjoy the job the I get. I chose mechanical engineering because I always wondered how things work and I like to build. My dad works in construction, so I think that where I got my passion from. He would sometimes take me to work, and I would see all the projects that him and his co-workers are building. I know that it will not be easy to get my degree, but I am willing to put in all my effort to get as far as possible into my field because I want to help my parents financially along with myself. I’m still thinking about getting my master’s degree because I know that some companies pay your tuition to get your master’s. So far, my classes have been great because I’m learning the fundamentals.  "
2021,Summer,PHYS 0232,--,1,3043,"Personally I do better with Maths where theres more clearly defined answers, than something a bit more not as defined like english or writing. I also like the idea that by working in STEM, we are furthering technological advances, and it would slowly both help us understand the world better as well as potentially raise the standard of living. It could also make things previously impossible, possible. I have a mostly CS background, and I've decided to pursue computer engineering, so I could dabble a bit into hardware. And for example, if we look at crypto mining, we could see the advances from CPU to GPU to stuff I don't remember to ant miner, etc. And its those advancements in hardware where it made it a bit more sensible for cryptocurrencies to be able to be mined. Nowadays there are other consensus mechanisms, however the new hardware really made the idea of decentralized currencies out as a possibility. So maybe in the future we could design hardware to support impossible ideas, and then use software/algorithms to efficientize that process."
2021,Summer,PHYS 0232,--,1,3044,"The reason I would like to go into a STEM field is since I was in elementary school my favorite subject was science. I was excited for science days and I was always engaged, one of the reasons was because it was hands on. I was felt like I learned better that way and it just made it that much more interesting. I later got into high school and my love for had not changed, the only difference was that since I went to a low income private catholic school we did not have any classes or after school programs that allowed me to expand my love for science. I later decided to major in biology when I got to college without any real grasp of what I wanted to do when I graduated and soon found out I did not enjoy it as much as I though. I started to dabble in programming, and I was always interested even as a small child, I just never had the resources to fully learn. Now that I am in college I have the resources to change my major and learn that way, I love programming. I enjoy being able to make webpages, and hoping one day I can create a video game, an app or even just a couple of websites!"
2021,Summer,PHYS 0232,--,1,3045,"The STEM field was one of the biggest career fields being developed and expanded over the years. As it includes not only science, but also technology, engineering and mathematics. I chose to enter the STEM field for a few reasons. First reason is that I see myself interested in continuously exploring and converting my skills into a product that I wish to make, since I am always interested in learning how technology works. The relationship between science, engineering and mathematics also persuaded me into developing my success, because I was always very confused about how each of these topics can be related to each other. Third reason is that I always tend to do better in mathematics and technology courses compared to other subjects, such as english and history, as I find those a little bit boring and redundant to learn. Because of these reasons, I decided to enter the STEM field and Computer Science has become my major for studying at SFSU."
2021,Summer,PHYS 0232,--,1,3046,"Why do I want to get in STEM filled? That is also a question I'm still asking myself. In my junior year of high school, I was confused about what suppose I do after graduate; And eventually, I chose a ""correct answer,"" computer engineering. At that moment, I thought the computer might be the only thing I'm interested in since I learned how to code in Python by myself, and I wrote some script for fun in high school. I believe the computer is the future of the world. The only thing I'm not sure about is should I focus on the software or hardware. I took computer and systems engineering as my major because it contained both software and hardware knowledge. Then after I get deeper into the professional area, I'm able to choose which part I should focus on. But when I step into this field, I realized my patient with the computer was not strong as I thought. I feel tired of sitting in front of the laptop all day long; I'm don't think I hate it, but I'm not sure if the computer is something I want to work with the rest of my life."
2021,Summer,PHYS 0232,--,1,3047,"I want to go into the STEM field because I have always really been interested in chemistry and biology. I have always had a passion for marine biology and I took a course my sophomore year of high school and it is still my favorite class I have ever taken. I know this would be a good field for me because even though I completed this course 4 years ago I still remember so many facts from it. I live next to the beach and love to tidepool and when I go with my friends I am able to share what I know with them and appreciate the experience so much more for knowing how hard it is to survive in a tide pool. It is also fun to be able to look at the organisms and be able to understand how they work, what they eat, and why they are built the way they are. When it comes to chemistry I love thinking about the molecular level and how everything we know is made up of these tiny atoms all interacting with each other.  I love thinking about intermolecular interactions between everything especially in living things and how all of this life became possible from random mutations. Organisms are built out of so many things with enzymes that are able to be turned on and off my signals from its surrounding and somehow all of that came to be through random changes. So overall, I want to go into STEM because I think its so cool and the more I learn the more curious I become and the more questions I have that I want to know the answers to. I think that is exactly why someone should want to go into a field. They love it and it gives them a passion for what they do and leaves them excited to come in and learn more."
2021,Summer,PHYS 0232,--,1,3048,"Originally, I chose to go into the STEM field was because I realized that I love math. My first major was Dental Hygiene, although after taking math classes for the general ed requirement, I thought that math could be something that I would enjoy doing and as a career. Therefore, I looked into what types of careers I could pursue that involve math and eventually was led to Civil Engineering. I then ultimately decided on switching my major to Civil Engineering. I also was never interested in the Liberal Arts classes because I strongly dislike writing essays, that is why I focused more on STEM. I enjoy STEM classes more, and enjoy learning in these types of classes. "
