Year,Semester,Class,Type,Section,Alma ID,Essay: Why I am here?
2020,Fall,PHYS 0112,--,2,1281,"I am a second year Pre-Biology major. This class is one the required pre-requisites for my major and any Biology concentration I would want to pursue. I think this class is required because it enables you to think critically about how things work. This curiosity to learn will benefit me in the future because Biology is centered around composing experiments and observing the living world. Additionally, terms in Physics will appear in future classes or career situations I experience. The STEM subjects are all intertwined in some way, so knowledge of Physics will surely aid my understanding of Chemistry and other topics. Physics will allow me to understand concepts like distance, speed, and motion, which are involved in daily life, so it will broaden my understanding of the world overall. By the end of this semester, hopefully I will understand the scientific explanation behind common actions like throwing a ball or dropping something from a high height. "
2020,Fall,PHYS 0112,--,2,1282,"Why am I here?I honestly wonder this to myself all the time. Why are we all here? Some people argue that we are all here for a purpose and some say we’re here by chance. Maybe we’re really here for no reason, which is why early humans decided to build civilizations. To feel like we have a purpose. Because when you think about it, the only reason why we’re here in college, is to get a job that pays better than average. Money is man made. The idea of money is all in our heads. Do we all really have to be working everyday in our lives? Do we have to be educated on topics we’re never even using again? It all revolves around money. Because it seems like the more you have, the more successful you are. According to who? I’m majoring in environmental science, hoping to learn more about our home and how we can help repair the damage we’ve done. I know I can’t singlehandedly solve anything, change only happens if we all contribute to it so I’d rather try and be a contributor rather than not. Majoring in this has made me think about the so called leaders (politicians) of our country and their stances against climate change. So when I think about the reason why I’m here, I know there’s no reason but that’s the exact same reason why I try to live purposefully. "
2020,Fall,PHYS 0112,--,2,1283,"I am currently in physics 112 because it is a requirement for my major, but honestly I do enjoy physics. It's a subject I have found interesting since high school and am glad I had the opportunity to take it again. This course is part of the path I have to take to achieve my career goals. I have wanted to become a doctor for as long as I can remember, and taking courses in subjects such as physics and chemistry (aside from biology of course) are part of that journey. Because of my career interest, going to college is just something I have always expected of myself.Since it has been a while since I have taken physics, and courses are online this semester, I am a bit nervous but also excited to see what this semester and class will bring. While some of the material may be review, I am excited to learn new things and refresh my memory. I'm looking forward to the rest of this semester!"
2020,Fall,PHYS 0112,--,2,1284,"Tiffany Chang  PHYS 112-02  9/1/2020  Why Am I Here?   I am here because I want to be able to gain a solid education which will eventually get me into the Kinesiology program here at San Francisco State University. The knowledge gained from going to SFSU is being able to pursue a career as either a physical therapist or occupational therapists. I also want to be able to gain the experience as a college student and by doing so, I would need to expand my horizons by connecting with others from different backgrounds and ages. My goal for myself is being able to gain either a Bachelors or Master’s degree in Kinesiology. Although that is not until 4-5 years, I want to be able to meet new close friends here at SFSU. I am here taking this class not only because I need it for my pre-reqs, but I genuinely need and want to learn about physics, although it is quite difficult. I have absolutely no knowledge of physics coming to college since I never took it back in high school but I did take conceptual physics last fall. Although it wasn’t too difficult, I had to put a lot of effort into that course. This will be the time for me to learn more about what causes some objects to move and solving math problems using physics. I am here at SFSU to be able to grow and mature and step out of my comfort zone. This will be the time for me to learn many life lessons either the hard way or the easy way.    "
2020,Fall,PHYS 0112,--,2,1285,"Why Am I Here?     First and foremost I am taking this class because I need it to graduate. However, If I have learned anything from my other classes, even if you are not trying to have a career in this field it can still help you. I do believe physics can play a role in the Physical Therapy field which is what I am trying to go into. In physical therapy patients manipulate objects with forces. This helps the therapist determine what someone’s range of motion is, how deep their injury goes, or how advanced they are in their therapy. Another way Physics can be useful is because the body constantly uses torque and forces just to move. Knowing how these forces are applied and their effects can help a patient. Therefore even though I wouldn’t have necessarily taken this class if it wasn’t required, I am glad that I am in this class because it will be beneficial."
2020,Fall,PHYS 0112,--,2,1286,"Why am I here? Personally, I'm taking this class because it is a major and general requirement in order for me to pass college. Of course, if there's a deeper meaning then it is because I am a first generation college student for my family and seeing how hard they've worked to provide for me and my siblings, I definitely want to return the favor ten fold by earning a degree and getting a good pay jobing. They've always told me throughout the years that they don't want me to end up like them, having to work everyday and be exhausted just to make a living. I would also very much like to provide for my family once I get a job so they're not exhausted everyday and can enjoy the rest of their life relaxing or having fun because as the oldest daughter, I also had to play the role of being a parent towards my siblings when they faced hardships. I thought long and hard about what kind of job I truly take an interest in (women's health) would enjoy going to everyday for the rest of my life and pays well at the same time with the possibility of climbing up to a higher position which would be an ultrasound technician hopefully in an OBGYN or Neonatal setting."
2020,Fall,PHYS 0112,--,2,1287,Gladis Perez At moment I am still trying to figure out what my purpose is in my life. That being said I haven’t decided what major I like. I’ve been taking the class for a bio major but I don’t seem to be more passionate about the major. I don’t know where I see myself in 5 years. I still don’t know what I want to be doing as a career. I have been doing research however due to covid I haven’t been able to do any internship to figure out what I want to be doing and discover what I like. Everything is a process and learning process. I just hope I do figure out what I like to do and what is my purpose in life. I don't want to be stuck with a major and be unhappy. I really do hope these whole covid things is over so I can do internship and decided what I want to for my life  
2020,Fall,PHYS 0112,--,2,1288,"Physics Lab Reflective Journal #1Why am I here?I am here because it is a class that I need to take in order to get my degree. However, I am also very interested in what this class will give me. The reason for that is because I have not taken physics at all, not even in highschool. The only classes that I would take would be chem classes. There are things that I learned in chemistry that I have seen in physics. So there are some things that I am familiar with. These things are like converting units, calculating speed, velocity, acceleration, etc. Furthermore, some of the things in these physics classes are new to me, however, it is very interesting to learn these things. I am taking this physics class because I need it to graduate, but I am also always open to new knowledge. I am very open to learning new things that I have never seen or was taught before. "
2020,Fall,PHYS 0112,--,2,1289,"Katya Candray 1 September 2020 Professor Ghosh Physics 112.02 Reflective Journaling 1 The reason that I’m here is because I believe that physics is an important subject to learn in order to help us think critically and also to get a basic understanding as to why and how the world works around us. I’m also here because I need to take this class as a  prerequisite for my biology major. I do enjoy physics and I believe that everyone should have a basic understanding of it. Physics turns people into problem solvers and that there’s more than one way to think and get an answer. I want to become a surgeon and I still think that physics is important because it helps people get an understanding of how much force to use and at what angle to use tools, such as how one should angle a blade or saw and how much pressure to use. Physics is an important subject, and I’m glad that I’m here to learn more and get a deeper understanding of the world around us."
2020,Fall,PHYS 0112,--,2,615,"I am here in this class because it's co-requisite along PHYS 111. So I am here to learn more about the physics world, I have never in my life not even in high school taken physics. The concept of physics is new to me but I am interested in learning more about it. Also, I am excited to meet some of my classmates as some of them may have more knowledge about physics than I do so they can possibly help out if I don't understand something before I ask you. Overall, I am excited to be in this class to further my knowledge about what physics is about and to help me out with the lecture portion of it."
